Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  0 ,  0 ,  1 ,  0 ,  5 ,  34 , 1 010 ,  643 , 1 004 ,  500 ,  513 ,  0 , 3 71
Baja California ,  1 ,  4 ,  9 ,  20 ,  34 ,  139 , 2 922 , 1 600 , 3 645 , 1 513 , 2 088 ,  33 , 12 008
Baja California Sur ,  0 ,  0 ,  0 ,  4 ,  2 ,  32 ,  771 ,  315 ,  724 ,  271 ,  369 ,  1 , 2 489
Campeche ,  3 ,  11 ,  11 ,  7 ,  11 ,  30 ,  575 ,  284 ,  475 ,  213 ,  251 ,  0 , 1 871
Coahuila ,  0 ,  0 ,  11 ,  22 ,  26 ,  96 , 2 652 , 1 697 , 3 787 , 1 987 , 2 698 ,  33 , 13 009
Colima ,  0 ,  0 ,  0 ,  0 ,  1 ,  1 ,  509 ,  318 ,  680 ,  318 ,  469 ,  0 , 2 296
Chiapas ,  0 ,  2 ,  1 ,  9 ,  26 ,  72 , 2 468 , 1 854 , 3 298 , 1 351 , 2 233 ,  28 , 11 342
Chihuahua ,  0 ,  2 ,  4 ,  3 ,  21 ,  111 , 3 931 , 2 061 , 4 926 , 1 983 , 3 524 ,  5 , 16 571
Distrito Federal ,  0 ,  0 ,  0 ,  4 ,  45 ,  289 , 6 427 , 5 152 , 10 253 , 4 841 , 7 484 ,  6 , 34 501
Durango ,  0 ,  0 ,  0 ,  0 ,  0 ,  47 , 1 352 ,  878 , 1 931 ,  818 , 1 373 ,  0 , 6 399
Guanajuato ,  0 ,  0 ,  2 ,  5 ,  25 ,  154 , 3 459 , 2 194 , 4 217 , 2 006 , 3 305 ,  47 , 15 414
Guerrero ,  0 ,  2 ,  2 ,  4 ,  18 ,  91 , 2 805 , 1 790 , 3 875 , 1 634 , 2 953 ,  78 , 13 252
Hidalgo ,  0 ,  1 ,  2 ,  1 ,  18 ,  61 , 1 603 , 1 086 , 1 983 ,  851 , 1 483 ,  2 , 7 091
Jalisco ,  21 ,  17 ,  30 ,  65 ,  124 ,  300 , 6 346 , 4 133 , 9 161 , 4 610 , 8 439 ,  112 , 33 358
México ,  9 ,  9 ,  22 ,  40 ,  149 ,  413 , 10 031 , 6 909 , 14 075 , 7 097 , 10 660 ,  104 , 49 518
Michoacán ,  0 ,  0 ,  1 ,  1 ,  12 ,  79 , 2 087 , 1 673 , 3 423 , 1 873 , 3 219 ,  42 , 12 410
Morelos ,  0 ,  1 ,  6 ,  5 ,  10 ,  86 , 1 905 , 1 534 , 3 167 , 1 592 , 2 430 ,  26 , 10 762
Nayarit ,  0 ,  0 ,  0 ,  1 ,  8 ,  36 ,  624 ,  396 ,  918 ,  478 ,  970 ,  2 , 3 433
Nuevo León ,  1 ,  2 ,  6 ,  26 ,  65 ,  163 , 3 759 , 2 083 , 4 354 , 1 905 , 2 992 ,  48 , 15 404
Oaxaca ,  0 ,  4 ,  1 ,  4 ,  25 ,  102 , 2 825 , 1 830 , 3 393 , 1 417 , 2 394 ,  16 , 12 011
Puebla ,  0 ,  4 ,  0 ,  8 ,  31 ,  83 , 3 022 , 2 146 , 5 034 , 3 068 , 5 071 ,  21 , 18 488
Querétaro ,  0 ,  0 ,  0 ,  0 ,  0 ,  18 , 1 145 ,  598 , 1 238 ,  432 ,  731 ,  0 , 4 162
Quintana Roo ,  0 ,  0 ,  0 ,  0 ,  2 ,  35 ,  897 ,  446 ,  828 ,  256 ,  383 ,  3 , 2 850
San Luis Potosí ,  0 ,  0 ,  0 ,  0 ,  4 ,  80 , 2 576 , 1 415 , 2 843 , 1 094 , 2 085 ,  0 , 10 097
Sinaloa ,  2 ,  1 ,  6 ,  5 ,  24 ,  127 , 2 678 , 1 992 , 4 705 , 2 091 , 3 687 ,  22 , 15 340
Sonora ,  2 ,  1 ,  4 ,  8 ,  18 ,  66 , 1 803 , 1 096 , 2 655 , 1 106 , 2 014 ,  15 , 8 788
Tabasco ,  0 ,  2 ,  2 ,  8 ,  19 ,  75 , 2 184 , 1 316 , 2 212 ,  823 , 1 306 ,  13 , 7 960
Tamaulipas ,  53 ,  1 ,  2 ,  6 ,  12 ,  60 , 2 960 , 1 755 , 3 440 , 1 439 , 2 375 ,  15 , 12 118
Tlaxcala ,  0 ,  0 ,  0 ,  0 ,  5 ,  21 ,  738 ,  530 , 1 193 ,  522 ,  942 ,  7 , 3 958
Veracruz ,  0 ,  0 ,  4 ,  3 ,  34 ,  184 , 5 084 , 2 952 , 6 609 , 2 649 , 4 513 ,  10 , 22 042
Yucatán ,  0 ,  0 ,  0 ,  1 ,  11 ,  37 , 2 003 , 1 104 , 2 871 , 1 336 , 2 192 ,  6 , 9 561
Zacatecas ,  0 ,  0 ,  0 ,  0 ,  1 ,  35 ,  965 ,  525 , 1 221 ,  517 ,  893 ,  4 , 4 161
T OTAL GLOBAL ,  92 ,  64 ,  127 ,  260 ,  786 , 3 157 , 84 116 , 54 305 , 114 138 , 52 591 , 86 039 ,  699 , 396 374
