Estado ,"","","","","","","","","","","","",Total
"",< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign.,""
Aguascalientes ,  0 ,  0 ,  0 ,  0 ,  0 ,  27 , 1 311 ,  874 , 1 656 ,  802 , 1 270 ,  0 , 5 940
Baja California ,  0 ,  0 ,  7 ,  16 ,  69 ,  189 , 3 901 , 2 293 , 5 069 , 2 186 , 2 875 ,  32 , 16 637
Baja California Sur ,  0 ,  0 ,  0 ,  2 ,  5 ,  34 ,  627 ,  250 ,  505 ,  159 ,  224 ,  0 , 1 806
Campeche ,  0 ,  0 ,  0 ,  6 ,  11 ,  32 ,  700 ,  452 ,  635 ,  246 ,  281 ,  2 , 2 365
Coahuila ,  0 ,  1 ,  6 ,  14 ,  13 ,  80 , 2 783 , 1 915 , 3 384 , 2 032 , 3 024 ,  9 , 13 261
Colima ,  0 ,  0 ,  0 ,  0 ,  4 ,  16 ,  458 ,  248 ,  521 ,  209 ,  330 ,  1 , 1 787
Chiapas ,  0 ,  2 ,  2 ,  5 ,  27 ,  102 , 2 572 , 1 896 , 4 163 , 1 795 , 2 937 ,  13 , 13 514
Chihuahua ,  5 ,  10 ,  8 ,  38 ,  60 ,  149 , 4 232 , 2 376 , 5 493 , 2 110 , 3 510 ,  9 , 18 000
Distrito Federal ,  1 ,  2 ,  6 ,  29 ,  50 ,  292 , 6 114 , 4 614 , 8 908 , 4 457 , 6 117 ,  17 , 30 607
Durango ,  0 ,  1 ,  1 ,  2 ,  0 ,  52 , 1 855 , 1 346 , 2 793 , 1 121 , 2 107 ,  0 , 9 278
Guanajuato ,  1 ,  4 ,  2 ,  13 ,  34 ,  145 , 3 939 , 2 250 , 4 637 , 1 875 , 3 044 ,  2 , 15 946
Guerrero ,  5 ,  7 ,  6 ,  22 ,  27 ,  102 , 3 024 , 2 150 , 4 157 , 1 752 , 2 753 ,  64 , 14 069
Hidalgo ,  0 ,  1 ,  3 ,  2 ,  16 ,  102 , 1 725 , 1 168 , 2 415 , 1 107 , 1 678 ,  110 , 8 327
Jalisco ,  1 ,  0 ,  3 ,  13 ,  88 ,  364 , 6 829 , 4 012 , 9 781 , 4 298 , 8 085 ,  70 , 33 544
México ,  21 ,  14 ,  18 ,  59 ,  123 ,  516 , 12 016 , 8 531 , 17 056 , 8 095 , 11 493 ,  185 , 58 127
Michoacán ,  1 ,  4 ,  9 ,  3 ,  19 ,  109 , 2 483 , 1 641 , 3 479 , 1 795 , 3 184 ,  31 , 12 758
Morelos ,  14 ,  35 ,  24 ,  33 ,  55 ,  305 , 2 136 , 1 841 , 3 459 , 1 723 , 2 300 ,  5 , 11 930
Nayarit ,  0 ,  2 ,  1 ,  5 ,  7 ,  43 ,  779 ,  497 , 1 183 ,  537 , 1 016 ,  1 , 4 071
Nuevo León ,  3 ,  22 ,  14 ,  35 ,  59 ,  167 , 4 255 , 2 312 , 4 871 , 2 067 , 3 084 ,  67 , 16 956
Oaxaca ,  1 ,  1 ,  4 ,  3 ,  29 ,  97 , 2 992 , 1 901 , 3 482 , 1 324 , 2 151 ,  16 , 12 001
Puebla ,  0 ,  0 ,  3 ,  4 ,  38 ,  101 , 2 981 , 2 097 , 4 940 , 2 140 , 4 021 ,  68 , 16 393
Querétaro ,  0 ,  0 ,  0 ,  0 ,  5 ,  31 , 1 277 ,  722 , 1 520 ,  478 ,  856 ,  2 , 4 891
Quintana Roo ,  1 ,  1 ,  0 ,  11 ,  24 ,  69 , 1 051 ,  540 ,  881 ,  285 ,  378 ,  1 , 3 242
San Luis Potosí ,  1 ,  0 ,  0 ,  1 ,  15 ,  96 , 2 880 , 1 736 , 3 376 , 1 503 , 2 502 ,  0 , 12 110
Sinaloa ,  3 ,  3 ,  4 ,  11 ,  36 ,  100 , 3 111 , 2 015 , 5 000 , 2 149 , 3 607 ,  6 , 16 045
Sonora ,  2 ,  8 ,  2 ,  10 ,  23 ,  63 , 2 337 , 1 324 , 3 044 , 1 198 , 1 953 ,  2 , 9 966
Tabasco ,  0 ,  1 ,  4 ,  8 ,  24 ,  77 , 2 218 , 1 195 , 2 433 ,  889 , 1 283 ,  9 , 8 141
Tamaulipas ,  0 ,  0 ,  2 ,  6 ,  63 ,  205 , 2 913 , 2 081 , 3 612 , 2 130 , 2 642 ,  17 , 13 671
Tlaxcala ,  3 ,  3 ,  4 ,  1 ,  4 ,  14 ,  693 ,  531 , 1 134 ,  523 ,  844 ,  1 , 3 755
Veracruz ,  2 ,  2 ,  5 ,  11 ,  44 ,  220 , 5 435 , 3 495 , 7 715 , 3 530 , 5 760 ,  28 , 26 247
Yucatán ,  0 ,  0 ,  0 ,  0 ,  9 ,  62 , 1 444 ,  862 , 1 957 ,  882 , 1 447 ,  2 , 6 665
Zacatecas ,  0 ,  0 ,  1 ,  0 ,  4 ,  44 , 1 229 ,  709 , 1 523 ,  589 ,  974 ,  2 , 5 075
TOTAL GLOBAL ,  65 ,  124 ,  139 ,  363 ,  985 , 4 005 , 92 300 , 59 874 , 124 782 , 55 986 , 87 730 ,  772 , 427 125
