"",< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign.,""
Aguascalientes ,  0 ,  0 ,  0 ,  0 ,  0 ,  31 , 1 468 , 1 057 , 2 119 , 1 266 , 1 663 ,  0 , 7 604
Baja California ,  1 ,  3 ,  4 ,  17 ,  45 ,  163 , 3 899 , 2 260 , 4 819 , 2 119 , 3 012 ,  21 , 16 363
Baja California Sur ,  0 ,  0 ,  0 ,  2 ,  5 ,  47 ,  903 ,  347 ,  693 ,  191 ,  246 ,  0 , 2 434
Campeche ,  0 ,  1 ,  1 ,  5 ,  3 ,  27 ,  696 ,  398 ,  585 ,  204 ,  288 ,  1 , 2 209
Coahuila ,  3 ,  3 ,  1 ,  15 ,  10 ,  138 , 3 465 , 2 422 , 3 608 , 2 141 , 2 670 ,  22 , 14 498
Colima ,  0 ,  0 ,  0 ,  0 ,  3 ,  15 ,  475 ,  282 ,  525 ,  218 ,  301 ,  0 , 1 819
Chiapas ,  2 ,  5 ,  4 ,  11 ,  43 ,  92 , 2 620 , 1 684 , 3 753 , 1 648 , 2 683 ,  10 , 12 555
Chihuahua ,  1 ,  3 ,  9 ,  16 ,  46 ,  168 , 4 452 , 2 509 , 5 695 , 2 149 , 3 447 ,  2 , 18 497
Distrito Federal ,  0 ,  1 ,  2 ,  22 ,  58 ,  252 , 5 553 , 4 134 , 8 214 , 4 202 , 5 595 ,  7 , 28 040
Durango ,  0 ,  0 ,  0 ,  0 ,  0 ,  39 , 1 423 , 1 144 , 2 365 , 1 029 , 1 699 ,  0 , 7 699
Guanajuato ,  0 ,  1 ,  0 ,  8 ,  37 ,  148 , 3 657 , 2 044 , 4 076 , 1 626 , 2 752 ,  7 , 14 356
Guerrero ,  0 ,  1 ,  6 ,  8 ,  29 ,  92 , 2 725 , 1 771 , 3 653 , 1 584 , 2 468 ,  30 , 12 367
Hidalgo ,  0 ,  2 ,  0 ,  7 ,  25 ,  119 , 1 956 , 1 363 , 2 787 , 1 211 , 1 912 ,  6 , 9 388
Jalisco ,  6 ,  7 ,  10 ,  33 ,  79 ,  319 , 6 276 , 3 495 , 8 707 , 3 981 , 7 677 ,  58 , 30 648
México ,  2 ,  0 ,  2 ,  5 ,  256 ,  589 , 12 648 , 8 347 , 17 236 , 7 832 , 11 671 ,  157 , 58 745
Michoacán ,  0 ,  0 ,  0 ,  0 ,  38 ,  177 , 2 257 , 1 594 , 3 169 , 1 630 , 2 913 ,  23 , 11 801
Morelos ,  0 ,  1 ,  2 ,  19 ,  15 ,  122 , 1 666 , 1 330 , 2 938 , 1 619 , 2 315 ,  7 , 10 034
Nayarit ,  1 ,  0 ,  1 ,  2 ,  6 ,  37 ,  765 ,  457 , 1 206 ,  656 , 1 380 ,  8 , 4 519
Nuevo León ,  0 ,  0 ,  6 ,  9 ,  27 ,  169 , 4 128 , 2 270 , 4 782 , 1 872 , 2 363 ,  4 , 15 630
Oaxaca ,  4 ,  3 ,  7 ,  23 ,  24 ,  102 , 2 869 , 1 900 , 3 639 , 1 540 , 2 533 ,  172 , 12 816
Puebla ,  0 ,  0 ,  3 ,  7 ,  34 ,  92 , 2 977 , 2 031 , 4 545 , 1 877 , 3 666 ,  8 , 15 240
Querétaro ,  0 ,  0 ,  0 ,  0 ,  12 ,  47 , 1 565 ,  806 , 1 608 ,  562 ,  934 ,  0 , 5 534
Quintana Roo ,  0 ,  0 ,  0 ,  1 ,  5 ,  28 ,  973 ,  497 ,  819 ,  301 ,  303 ,  2 , 2 929
San Luis Potosí ,  0 ,  0 ,  0 ,  0 ,  12 ,  90 , 2 808 , 1 683 , 3 431 , 1 471 , 2 261 ,  0 , 11 756
Sinaloa ,  0 ,  1 ,  7 ,  10 ,  45 ,  121 , 3 532 , 2 259 , 5 528 , 2 364 , 3 787 ,  13 , 17 667
Sonora ,  3 ,  2 ,  3 ,  11 ,  25 ,  64 , 2 478 , 1 393 , 3 214 , 1 224 , 1 796 ,  14 , 10 227
Tabasco ,  0 ,  1 ,  6 ,  8 ,  19 ,  78 , 2 246 , 1 260 , 2 534 ,  939 , 1 406 ,  9 , 8 506
Tamaulipas ,  0 ,  0 ,  2 ,  15 ,  59 ,  254 , 3 357 , 2 290 , 3 915 , 2 230 , 2 587 ,  35 , 14 744
Tlaxcala ,  0 ,  1 ,  0 ,  4 ,  8 ,  27 ,  752 ,  558 , 1 308 ,  533 ,  807 ,  1 , 3 999
Veracruz ,  0 ,  2 ,  2 ,  18 ,  39 ,  212 , 5 363 , 3 562 , 7 487 , 3 743 , 5 843 ,  36 , 26 307
Yucatán ,  2 ,  7 ,  3 ,  18 ,  15 ,  67 , 1 327 ,  925 , 1 665 ,  875 , 1 262 ,  4 , 6 170
Zacatecas ,  0 ,  0 ,  0 ,  0 ,  1 ,  43 , 1 017 ,  725 , 1 320 ,  487 ,  791 ,  8 , 4 392
TOTAL GLOBAL ,  25 ,  45 ,  81 ,  294 , 1 023 , 3 969 , 92 296 , 58 797 , 121 943 , 55 324 , 85 031 ,  665 , 419 493
