Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,0 ,0 ,0 ,0 ,1 ,34 ,850 ,460 ,900 ,433 ,688 ,6 ,3372
Baja California ,0 ,1 ,3 ,5 ,22 ,48 ,1291 ,571 ,1448 ,740 ,1162 ,14 ,5305
Baja California Sur ,0 ,0 ,0 ,4 ,3 ,11 ,227 ,121 ,270 ,122 ,191 ,0 ,949
Campeche ,0 ,0 ,1 ,0 ,1 ,11 ,186 ,109 ,254 ,105 ,141 ,0 ,808
Coahuila ,3 ,2 ,2 ,4 ,5 ,35 ,1269 ,806 ,1925 ,915 ,1411 ,4 ,6381
Colima ,0 ,0 ,0 ,0 ,0 ,3 ,166 ,97 ,197 ,94 ,133 ,0 ,690
Chiapas ,1 ,5 ,9 ,4 ,13 ,32 ,890 ,597 ,1200 ,615 ,916 ,8 ,4290
Chihuahua ,0 ,0 ,3 ,3 ,12 ,63 ,1094 ,617 ,1381 ,788 ,1424 ,5 ,5390
Distrito Federal ,0 ,1 ,1 ,0 ,9 ,67 ,2952 ,2131 ,4307 ,2339 ,3915 ,22 ,15744
Durango ,0 ,0 ,0 ,0 ,0 ,15 ,685 ,494 ,1124 ,651 ,1052 ,7 ,4028
Guanajuato ,0 ,0 ,0 ,1 ,5 ,50 ,1482 ,764 ,1940 ,1007 ,1847 ,2 ,7098
Guerrero ,0 ,1 ,1 ,0 ,3 ,25 ,1195 ,783 ,1605 ,765 ,1205 ,18 ,5601
Hidalgo ,0 ,0 ,0 ,0 ,2 ,10 ,476 ,293 ,607 ,321 ,530 ,1 ,2240
Jalisco ,11 ,5 ,12 ,16 ,44 ,72 ,2570 ,1604 ,4191 ,2278 ,4189 ,70 ,15062
México ,16 ,4 ,4 ,8 ,28 ,111 ,3557 ,2585 ,4561 ,2781 ,3707 ,58 ,17420
Michoacán ,0 ,0 ,0 ,1 ,1 ,48 ,705 ,449 ,818 ,487 ,943 ,3 ,3455
Morelos ,0 ,0 ,0 ,1 ,1 ,17 ,674 ,647 ,1154 ,649 ,960 ,44 ,4147
Nayarit ,0 ,0 ,0 ,0 ,4 ,4 ,281 ,225 ,490 ,252 ,542 ,5 ,1803
Nuevo León ,6 ,6 ,3 ,5 ,10 ,65 ,1242 ,714 ,1463 ,769 ,1166 ,42 ,5491
Oaxaca ,0 ,0 ,0 ,2 ,3 ,49 ,839 ,513 ,945 ,495 ,676 ,18 ,3540
Puebla ,55 ,1 ,2 ,3 ,14 ,49 ,1305 ,967 ,1969 ,1178 ,2048 ,28 ,7619
Querétaro ,0 ,0 ,0 ,1 ,1 ,9 ,560 ,268 ,553 ,236 ,389 ,1 ,2018
Quintana Roo ,0 ,0 ,0 ,0 ,1 ,6 ,220 ,93 ,138 ,59 ,59 ,1 ,577
San Luis Potosí ,0 ,0 ,0 ,0 ,2 ,22 ,942 ,546 ,1103 ,597 ,984 ,17 ,4213
Sinaloa ,0 ,0 ,0 ,0 ,0 ,27 ,728 ,710 ,1491 ,849 ,1327 ,13 ,5145
Sonora ,0 ,0 ,0 ,3 ,8 ,25 ,800 ,445 ,1117 ,585 ,940 ,18 ,3941
Tabasco ,0 ,1 ,1 ,6 ,5 ,37 ,777 ,406 ,766 ,325 ,468 ,3 ,2795
Tamaulipas ,21 ,41 ,33 ,14 ,10 ,25 ,1271 ,657 ,1507 ,736 ,1138 ,11 ,5464
Tlaxcala ,0 ,0 ,0 ,0 ,2 ,4 ,262 ,158 ,334 ,123 ,237 ,3 ,1123
Veracruz ,2 ,5 ,5 ,7 ,7 ,35 ,1397 ,864 ,1786 ,844 ,1238 ,10 ,6200
Yucatán ,0 ,0 ,0 ,1 ,5 ,8 ,648 ,383 ,931 ,421 ,777 ,3 ,3177
Zacatecas ,0 ,0 ,0 ,0 ,0 ,21 ,425 ,232 ,487 ,221 ,443 ,1 ,1830
T OTAL GLOBAL ,115 ,73 ,80 ,89 ,222 ,1038 ,31966 ,20309 ,42962 ,22780 ,36846 ,436 ,156916
