Estado,"","","","","","","","","","","","",""
"",< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  0 ,  0 ,  0 ,  0 ,  0 ,  8 ,  592 ,  447 ,  918 ,  557 ,  752 ,  0 , 3 274
Baja California ,  0 ,  1 ,  1 ,  11 ,  23 ,  44 , 1 780 ,  939 , 2 108 ,  948 , 1 361 ,  10 , 7 226
Baja California Sur ,  0 ,  0 ,  0 ,  0 ,  1 ,  20 ,  380 ,  153 ,  318 ,  102 ,  127 ,  0 , 1 101
Campeche ,  0 ,  1 ,  0 ,  3 ,  1 ,  5 ,  254 ,  146 ,  238 ,  82 ,  124 ,  0 ,  854
Coahuila ,  3 ,  0 ,  0 ,  5 ,  5 ,  64 , 1 451 , 1 018 , 1 556 , 1 008 , 1 211 ,  12 , 6 333
Colima ,  0 ,  0 ,  0 ,  0 ,  0 ,  6 ,  226 ,  129 ,  257 ,  111 ,  167 ,  0 ,  896
Chiapas ,  0 ,  1 ,  3 ,  4 ,  16 ,  28 ,  939 ,  579 , 1 365 ,  685 , 1 031 ,  6 , 4 657
Chihuahua ,  1 ,  1 ,  6 ,  5 ,  15 ,  53 , 1 816 , 1 010 , 2 229 ,  938 , 1 427 ,  2 , 7 503
Distrito Federal ,  0 ,  1 ,  0 ,  10 ,  17 ,  89 , 2 460 , 1 875 , 3 500 , 1 905 , 2 414 ,  5 , 12 276
Durango ,  0 ,  0 ,  0 ,  0 ,  0 ,  12 ,  536 ,  453 ,  946 ,  447 ,  703 ,  0 , 3 097
Guanajuato ,  0 ,  0 ,  0 ,  5 ,  13 ,  57 , 1 567 ,  831 , 1 677 ,  767 , 1 237 ,  2 , 6 156
Guerrero ,  0 ,  1 ,  2 ,  6 ,  9 ,  34 , 1 066 ,  664 , 1 501 ,  676 , 1 081 ,  11 , 5 051
Hidalgo ,  0 ,  0 ,  0 ,  2 ,  6 ,  49 ,  714 ,  519 , 1 040 ,  502 ,  773 ,  1 , 3 606
Jalisco ,  3 ,  6 ,  3 ,  12 ,  22 ,  116 , 2 761 , 1 437 , 3 746 , 1 670 , 3 410 ,  35 , 13 221
México ,  1 ,  0 ,  1 ,  1 ,  96 ,  188 , 5 112 , 3 432 , 6 995 , 3 459 , 4 811 ,  65 , 24 161
Michoacán ,  0 ,  0 ,  0 ,  0 ,  19 ,  70 ,  944 ,  655 , 1 324 ,  733 , 1 271 ,  4 , 5 020
Morelos ,  0 ,  0 ,  0 ,  7 ,  9 ,  55 ,  706 ,  583 , 1 219 ,  719 ,  992 ,  4 , 4 294
Nayarit ,  0 ,  0 ,  0 ,  1 ,  3 ,  18 ,  325 ,  181 ,  501 ,  266 ,  563 ,  7 , 1 865
Nuevo León ,  0 ,  0 ,  2 ,  5 ,  12 ,  50 , 1 745 ,  938 , 2 082 ,  892 , 1 086 ,  1 , 6 813
Oaxaca ,  0 ,  2 ,  4 ,  13 ,  9 ,  37 , 1 040 ,  710 , 1 366 ,  621 ,  959 ,  66 , 4 827
Puebla ,  0 ,  0 ,  1 ,  4 ,  10 ,  29 , 1 133 ,  745 , 1 716 ,  744 , 1 470 ,  5 , 5 857
Querétaro ,  0 ,  0 ,  0 ,  0 ,  2 ,  16 ,  655 ,  343 ,  643 ,  269 ,  389 ,  0 , 2 317
Quintana Roo ,  0 ,  0 ,  0 ,  1 ,  2 ,  9 ,  417 ,  218 ,  331 ,  132 ,  112 ,  1 , 1 223
San Luis Potosí ,  0 ,  0 ,  0 ,  0 ,  2 ,  24 , 1 082 ,  620 , 1 346 ,  615 , 1 001 ,  0 , 4 690
Sinaloa ,  0 ,  1 ,  2 ,  4 ,  15 ,  43 , 1 294 ,  864 , 2 178 , 1 034 , 1 670 ,  6 , 7 111
Sonora ,  1 ,  1 ,  1 ,  3 ,  6 ,  19 ,  958 ,  611 , 1 337 ,  582 ,  823 ,  2 , 4 344
Tabasco ,  0 ,  1 ,  4 ,  4 ,  9 ,  24 ,  873 ,  520 , 1 045 ,  399 ,  599 ,  3 , 3 481
Tamaulipas ,  0 ,  0 ,  1 ,  7 ,  13 ,  73 , 1 379 ,  943 , 1 602 , 1 016 , 1 167 ,  15 , 6 216
Tlaxcala ,  0 ,  1 ,  0 ,  2 ,  0 ,  7 ,  303 ,  228 ,  540 ,  254 ,  366 ,  0 , 1 701
Veracruz ,  0 ,  1 ,  0 ,  4 ,  16 ,  65 , 2 005 , 1 325 , 2 895 , 1 538 , 2 349 ,  17 , 10 215
Yucatán ,  1 ,  2 ,  1 ,  10 ,  7 ,  21 ,  533 ,  390 ,  684 ,  371 ,  559 ,  1 , 2 580
Zacatecas ,  0 ,  0 ,  0 ,  0 ,  0 ,  14 ,  427 ,  244 ,  498 ,  217 ,  355 ,  4 , 1 759
TOTAL GLOBAL ,  10 ,  21 ,  32 ,  129 ,  358 , 1 347 , 37 473 , 23 750 , 49 701 , 24 259 , 36 360 ,  285 , 173 725
