"",< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,N.A. ,N.A. ,N.A. ,  0 ,  0 ,  13 ,  565 ,  364 ,  761 ,  547 ,  742 ,  0 , 2 992
Baja California ,N.A. ,N.A. ,N.A. ,  12 ,  16 ,  57 , 1 781 , 1 093 , 2 231 , 1 046 , 1 515 ,  6 , 7 757
Baja California Sur ,N.A. ,N.A. ,N.A. ,  0 ,  2 ,  7 ,  323 ,  137 ,  272 ,  103 ,  129 ,  0 ,  973
Campeche ,N.A. ,N.A. ,N.A. ,  0 ,  3 ,  5 ,  206 ,  118 ,  220 ,  100 ,  137 ,  0 ,  789
Coahuila ,N.A. ,N.A. ,N.A. ,  3 ,  10 ,  52 , 1 025 ,  651 , 1 182 ,  638 ,  946 ,  11 , 4 518
Colima ,N.A. ,N.A. ,N.A. ,  1 ,  2 ,  7 ,  218 ,  120 ,  252 ,  113 ,  153 ,  4 ,  870
Chiapas ,N.A. ,N.A. ,N.A. ,  2 ,  3 ,  20 ,  873 ,  536 , 1 400 ,  609 , 1 020 ,  16 , 4 479
Chihuahua ,N.A. ,N.A. ,N.A. ,  0 ,  3 ,  34 , 1 423 ,  854 , 1 755 ,  650 , 1 136 ,  1 , 5 856
Distrito Federal ,N.A. ,N.A. ,N.A. ,  1 ,  10 ,  67 , 2 528 , 1 784 , 3 414 , 1 753 , 2 268 ,  20 , 11 845
Durango ,N.A. ,N.A. ,N.A. ,  0 ,  0 ,  22 ,  520 ,  385 , 1 368 ,  453 ,  697 ,  0 , 3 445
Guanajuato ,N.A. ,N.A. ,N.A. ,  7 ,  5 ,  51 , 1 406 ,  795 , 1 636 ,  731 , 1 205 ,  6 , 5 842
Guerrero ,N.A. ,N.A. ,N.A. ,  2 ,  7 ,  26 , 1 185 ,  754 , 1 461 ,  716 , 1 058 ,  6 , 5 215
Hidalgo ,N.A. ,N.A. ,N.A. ,  2 ,  3 ,  34 ,  667 ,  465 ,  912 ,  452 ,  738 ,  4 , 3 277
Jalisco ,N.A. ,N.A. ,N.A. ,  3 ,  4 ,  98 , 2 427 , 1 296 , 3 242 , 1 563 , 2 872 ,  47 , 11 552
México ,N.A. ,N.A. ,N.A. ,  0 ,  54 ,  233 , 5 058 , 3 291 , 7 087 , 3 377 , 4 932 ,  64 , 24 096
Michoacán ,N.A. ,N.A. ,N.A. ,  0 ,  0 ,  32 ,  867 ,  593 , 1 457 ,  857 , 1 321 ,  8 , 5 135
Morelos ,N.A. ,N.A. ,N.A. ,  90 ,  78 ,  50 ,  737 ,  589 , 1 395 ,  760 , 1 191 ,  16 , 4 906
Nayarit ,N.A. ,N.A. ,N.A. ,  0 ,  0 ,  9 ,  233 ,  172 ,  450 ,  233 ,  436 ,  2 , 1 535
Nuevo León ,N.A. ,N.A. ,N.A. ,  5 ,  8 ,  56 , 1 873 ,  950 , 2 173 ,  885 , 1 107 ,  2 , 7 059
Oaxaca ,N.A. ,N.A. ,N.A. ,  0 ,  0 ,  31 , 1 013 ,  560 , 1 278 ,  487 ,  898 ,  14 , 4 281
Puebla ,N.A. ,N.A. ,N.A. ,  1 ,  12 ,  35 , 1 011 ,  649 , 1 596 ,  747 , 1 294 ,  8 , 5 353
Querétaro ,N.A. ,N.A. ,N.A. ,  1 ,  0 ,  14 ,  572 ,  276 ,  590 ,  207 ,  384 ,  0 , 2 044
Quintana Roo ,N.A. ,N.A. ,N.A. ,  1 ,  2 ,  15 ,  435 ,  237 ,  386 ,  142 ,  192 ,  0 , 1 410
San Luis Potosí ,N.A. ,N.A. ,N.A. ,  0 ,  0 ,  35 , 1 044 ,  569 , 1 367 ,  536 , 1 022 ,  0 , 4 573
Sinaloa ,N.A. ,N.A. ,N.A. ,  0 ,  0 ,  45 , 1 344 ,  856 , 2 233 ,  944 , 1 668 ,  0 , 7 090
Sonora ,N.A. ,N.A. ,N.A. ,  0 ,  3 ,  21 ,  937 ,  555 , 1 377 ,  608 ,  800 ,  2 , 4 303
Tabasco ,N.A. ,N.A. ,N.A. ,  2 ,  10 ,  21 ,  821 ,  461 ,  894 ,  365 ,  525 ,  0 , 3 099
Tamaulipas ,N.A. ,N.A. ,N.A. ,  4 ,  10 ,  31 , 1 140 ,  664 , 1 588 , 1 187 , 1 417 ,  25 , 6 066
Tlaxcala ,N.A. ,N.A. ,N.A. ,  0 ,  1 ,  6 ,  254 ,  198 ,  506 ,  252 ,  340 ,  0 , 1 557
Veracruz ,N.A. ,N.A. ,N.A. ,  0 ,  11 ,  51 , 2 003 , 1 220 , 3 068 , 1 518 , 2 338 ,  51 , 10 260
Yucatán ,N.A. ,N.A. ,N.A. ,  2 ,  2 ,  18 ,  462 ,  407 ,  724 ,  292 ,  447 ,  12 , 2 366
Zacatecas ,N.A. ,N.A. ,N.A. ,  0 ,  0 ,  11 ,  407 ,  229 ,  482 ,  218 ,  330 ,  0 , 1 677
TOTAL GLOBAL ,  0 ,  0 ,  0 ,  139 ,  259 , 1 207 , 35 358 , 21 828 , 48 757 , 23 089 , 35 258 ,  325 , 166 220
