Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  0 ,  0 ,  0 ,  0 ,  4 ,  10 ,  678 ,  385 ,  822 ,  369 ,  500 ,  1 , 2 769
Baja California ,  2 ,  1 ,  24 ,  42 ,  63 ,  196 , 1 710 , 1 003 , 1 965 ,  948 , 1 213 ,  4 , 7 171
Baja California Sur ,  0 ,  1 ,  0 ,  0 ,  4 ,  14 ,  311 ,  182 ,  293 ,  102 ,  186 ,  0 , 1 093
Campeche ,  1 ,  1 ,  4 ,  3 ,  3 ,  25 ,  566 ,  354 ,  626 ,  260 ,  255 ,  1 , 2 099
Coahuila ,  0 ,  3 ,  4 ,  8 ,  18 ,  108 , 2 124 , 1 447 , 2 894 , 1 476 , 1 957 ,  4 , 10 043
Colima ,  0 ,  0 ,  0 ,  0 ,  0 ,  10 ,  281 ,  159 ,  367 ,  154 ,  259 ,  1 , 1 231
Chiapas ,  1 ,  6 ,  7 ,  11 ,  19 ,  55 , 1 889 , 1 336 , 2 384 , 1 168 , 1 703 ,  12 , 8 591
Chihuahua ,  6 ,  4 ,  3 ,  3 ,  9 ,  95 , 1 653 ,  912 , 2 323 , 1 021 , 1 867 ,  21 , 7 917
Distrito Federal ,  0 ,  0 ,  0 ,  1 ,  27 ,  208 , 4 723 , 3 474 , 6 935 , 3 252 , 5 843 ,  10 , 24 473
Durango ,  0 ,  0 ,  0 ,  0 ,  0 ,  42 , 1 406 , 1 154 , 2 011 , 1 217 , 1 819 ,  2 , 7 651
Guanajuato ,  0 ,  0 ,  0 ,  0 ,  8 ,  95 , 2 630 , 1 470 , 3 431 , 1 565 , 2 646 ,  50 , 11 895
Guerrero ,  0 ,  0 ,  1 ,  1 ,  12 ,  61 , 2 007 , 1 210 , 2 409 , 1 017 , 1 971 ,  15 , 8 704
Hidalgo ,  0 ,  0 ,  1 ,  0 ,  3 ,  20 ,  777 ,  574 , 1 046 ,  472 ,  783 ,  0 , 3 676
Jalisco ,  10 ,  7 ,  8 ,  27 ,  39 ,  87 , 3 475 , 2 213 , 6 091 , 3 025 , 5 217 ,  115 , 20 314
México ,  1 ,  5 ,  9 ,  17 ,  42 ,  216 , 5 468 , 4 085 , 7 924 , 4 057 , 5 895 ,  26 , 27 745
Michoacán ,  0 ,  0 ,  0 ,  2 ,  14 ,  22 , 1 162 ,  740 , 1 580 ,  751 , 1 375 ,  8 , 5 654
Morelos ,  0 ,  0 ,  1 ,  2 ,  1 ,  23 , 1 220 ,  999 , 1 674 ,  828 , 1 260 ,  10 , 6 018
Nayarit ,  0 ,  0 ,  0 ,  1 ,  7 ,  17 ,  410 ,  345 ,  753 ,  344 ,  585 ,  0 , 2 462
Nuevo León ,  1 ,  2 ,  3 ,  7 ,  22 ,  97 , 1 869 , 1 181 , 2 259 ,  965 , 1 669 ,  61 , 8 136
Oaxaca ,  0 ,  0 ,  0 ,  0 ,  2 ,  106 , 1 653 , 1 182 , 1 937 ,  944 , 1 188 ,  10 , 7 022
Puebla ,  1 ,  1 ,  0 ,  10 ,  28 ,  103 , 2 028 , 1 502 , 3 500 , 1 821 , 3 690 ,  30 , 12 714
Querétaro ,  0 ,  0 ,  0 ,  0 ,  3 ,  15 ,  727 ,  395 ,  822 ,  301 ,  532 ,  0 , 2 795
Quintana Roo ,  0 ,  0 ,  0 ,  0 ,  1 ,  9 ,  290 ,  182 ,  277 ,  102 ,  124 ,  0 ,  985
San Luis Potosí ,  0 ,  0 ,  0 ,  0 ,  9 ,  74 , 1 645 , 1 068 , 2 102 ,  958 , 1 520 ,  8 , 7 384
Sinaloa ,  1 ,  0 ,  2 ,  6 ,  10 ,  79 , 1 176 , 1 090 , 2 327 , 1 046 , 1 660 ,  49 , 7 446
Sonora ,  1 ,  0 ,  0 ,  0 ,  12 ,  41 , 1 270 ,  909 , 1 928 ,  767 , 1 215 ,  19 , 6 162
Tabasco ,  4 ,  1 ,  5 ,  4 ,  9 ,  63 , 1 224 ,  760 , 1 153 ,  448 ,  570 ,  6 , 4 247
Tamaulipas ,  1 ,  5 ,  2 ,  3 ,  17 ,  51 , 1 929 , 1 109 , 2 195 ,  942 , 1 435 ,  10 , 7 699
Tlaxcala ,  0 ,  1 ,  0 ,  0 ,  2 ,  16 ,  426 ,  344 ,  623 ,  288 ,  425 ,  5 , 2 130
Veracruz ,  0 ,  0 ,  2 ,  7 ,  19 ,  99 , 2 851 , 1 726 , 3 303 , 1 249 , 1 922 ,  18 , 11 196
Yucatán ,  0 ,  0 ,  2 ,  9 ,  7 ,  29 ,  994 ,  689 , 1 509 ,  615 , 1 072 ,  5 , 4 931
Zacatecas ,  0 ,  0 ,  0 ,  0 ,  1 ,  18 ,  553 ,  321 ,  716 ,  301 ,  499 ,  4 , 2 413
TOTAL GLOBAL ,  30 ,  38 ,  78 ,  164 ,  415 , 2 104 , 51 125 , 34 500 , 70 179 , 32 773 , 52 855 ,  505 , 244 766
