Estado ,< 1 ,1 - 4 ,5 - 9 ,10 - 14 ,15 - 19 ,20 - 24 ,25 - 44 ,45 - 49 ,50 - 59 ,60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,1 ,0 ,1 ,0 ,4 ,32 ,539 ,382 ,597 ,274 ,325 ,4 ,2 159
Baja California ,0 ,2 ,3 ,6 ,27 ,85 ,1 639 ,976 ,1 935 ,818 ,1 144 ,34 ,6 669
Baja California Sur ,0 ,0 ,1 ,1 ,9 ,20 ,420 ,199 ,391 ,133 ,182 ,2 ,1 358
Campeche ,0 ,0 ,1 ,0 ,4 ,17 ,464 ,268 ,465 ,190 ,238 ,1 ,1 648
Coahuila ,0 ,3 ,4 ,4 ,15 ,80 ,1 780 ,1 096 ,2 591 ,1 182 ,1 560 ,5 ,8 320
Colima ,0 ,0 ,0 ,0 ,0 ,0 ,267 ,188 ,421 ,157 ,261 ,0 ,1 294
Chiapas ,3 ,3 ,4 ,9 ,18 ,67 ,1 714 ,1 224 ,2 515 ,925 ,1 610 ,14 ,8 106
Chihuahua ,1 ,2 ,3 ,0 ,14 ,86 ,2 200 ,1 177 ,2 832 ,1 175 ,1 834 ,10 ,9 334
Distrito Federal ,0 ,0 ,0 ,1 ,17 ,195 ,4 283 ,3 471 ,6 958 ,3 194 ,4 928 ,4 ,23 051
Durango ,0 ,0 ,0 ,0 ,0 ,38 ,1 017 ,637 ,1 297 ,560 ,827 ,0 ,4 376
Guanajuato ,0 ,0 ,0 ,3 ,8 ,89 ,2 180 ,1 169 ,2 608 ,1 107 ,1 929 ,3 ,9 096
Guerrero ,0 ,3 ,1 ,0 ,8 ,60 ,2 031 ,1 264 ,2 394 ,1 008 ,1 748 ,6 ,8 523
Hidalgo ,0 ,0 ,0 ,1 ,9 ,23 ,823 ,671 ,1 116 ,499 ,724 ,1 ,3 867
Jalisco ,10 ,6 ,13 ,28 ,78 ,200 ,3 704 ,2 567 ,5 811 ,2 796 ,5 023 ,52 ,20 288
México ,3 ,9 ,3 ,13 ,74 ,258 ,5 932 ,4 276 ,8 849 ,4 401 ,6 311 ,48 ,30 177
Michoacán ,0 ,0 ,2 ,4 ,14 ,67 ,1 321 ,986 ,2 085 ,1 086 ,2 036 ,20 ,7 621
Morelos ,0 ,1 ,0 ,0 ,5 ,29 ,1 517 ,1 053 ,1 915 ,849 ,1 393 ,23 ,6 785
Nayarit ,0 ,0 ,0 ,0 ,1 ,33 ,348 ,276 ,576 ,336 ,571 ,7 ,2 148
Nuevo León ,0 ,4 ,3 ,8 ,31 ,113 ,2 080 ,1 269 ,2 739 ,1 240 ,1 850 ,73 ,9 410
Oaxaca ,0 ,1 ,0 ,2 ,10 ,71 ,1 633 ,1 204 ,2 091 ,878 ,1 389 ,8 ,7 287
Puebla ,0 ,2 ,2 ,8 ,21 ,79 ,1 860 ,1 299 ,2 961 ,1 300 ,2 594 ,14 ,10 140
Querétaro ,0 ,0 ,0 ,0 ,1 ,20 ,686 ,421 ,701 ,281 ,460 ,0 ,2 570
Quintana Roo ,0 ,0 ,0 ,0 ,4 ,18 ,489 ,216 ,415 ,108 ,150 ,2 ,1 402
San Luis Potosí ,0 ,0 ,0 ,0 ,5 ,27 ,1 619 ,958 ,1 843 ,732 ,1 240 ,0 ,6 424
Sinaloa ,0 ,4 ,0 ,0 ,11 ,59 ,1 535 ,1 235 ,2 876 ,1 176 ,2 150 ,3 ,9 049
Sonora ,0 ,5 ,1 ,0 ,8 ,51 ,1 084 ,691 ,1 504 ,614 ,1 069 ,0 ,5 027
Tabasco ,0 ,0 ,0 ,6 ,16 ,63 ,1 451 ,908 ,1 397 ,481 ,739 ,3 ,5 064
Tamaulipas ,0 ,0 ,4 ,8 ,12 ,60 ,2 109 ,1 453 ,2 678 ,1 159 ,1 674 ,6 ,9 163
Tlaxcala ,0 ,0 ,1 ,0 ,8 ,11 ,463 ,256 ,593 ,248 ,478 ,2 ,2 060
Veracruz ,0 ,1 ,2 ,6 ,27 ,112 ,3 347 ,1 955 ,4 338 ,1 711 ,2 624 ,8 ,14 131
Yucatán ,1 ,0 ,3 ,3 ,11 ,18 ,1 103 ,676 ,1 773 ,717 ,1 285 ,12 ,5 602
Zacatecas ,0 ,0 ,0 ,0 ,0 ,16 ,682 ,358 ,727 ,294 ,473 ,3 ,2 553
TOTAL GLOBAL ,19 ,46 ,52 ,111 ,470 ,2 097 ,52 320 ,34 779 ,71 992 ,31 629 ,50 819 ,368 ,244 702
