"",Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,"",  0 ,  0 ,  0 ,  0 ,  0 ,  17 ,  698 ,  470 ,  854 ,  356 ,  691 ,  0 , 3 086
Baja California ,"",  0 ,  0 ,  3 ,  6 ,  20 ,  102 , 1 811 , 1 061 , 2 499 , 1 018 , 1 495 ,  8 , 8 023
Baja California Sur ,"",  0 ,  0 ,  0 ,  2 ,  4 ,  7 ,  333 ,  129 ,  284 ,  89 ,  129 ,  0 ,  977
Campeche ,"",  0 ,  0 ,  1 ,  0 ,  2 ,  16 ,  428 ,  238 ,  401 ,  148 ,  181 ,  4 , 1 419
Coahuila ,"",  0 ,  2 ,  2 ,  8 ,  19 ,  83 , 1 670 , 1 206 , 2 302 , 1 127 , 1 706 ,  72 , 8 197
Colima ,"",  0 ,  0 ,  0 ,  0 ,  1 ,  7 ,  231 ,  139 ,  284 ,  98 ,  143 ,  1 ,  904
Chiapas ,"",  0 ,  1 ,  1 ,  2 ,  19 ,  58 , 1 719 , 1 204 , 2 436 , 1 019 , 1 628 ,  25 , 8 112
Chihuahua ,"",  1 ,  10 ,  3 ,  10 ,  22 ,  63 , 2 707 , 1 459 , 3 387 , 1 413 , 2 269 ,  52 , 11 396
Distrito Federal ,"",  0 ,  0 ,  5 ,  15 ,  28 ,  122 , 3 617 , 2 655 , 5 660 , 2 721 , 4 122 ,  4 , 18 949
Durango ,"",  0 ,  0 ,  0 ,  0 ,  0 ,  31 ,  997 ,  703 , 1 628 ,  610 , 1 243 ,  0 , 5 212
Guanajuato ,"",  0 ,  0 ,  0 ,  7 ,  21 ,  101 , 2 290 , 1 361 , 2 792 , 1 122 , 1 786 ,  0 , 9 480
Guerrero ,"",  0 ,  1 ,  0 ,  0 ,  11 ,  90 , 1 744 , 1 305 , 2 428 ,  903 , 1 539 ,  84 , 8 105
Hidalgo ,"",  0 ,  0 ,  2 ,  2 ,  9 ,  51 ,  928 ,  624 , 1 258 ,  610 ,  912 ,  2 , 4 398
Jalisco ,"",  0 ,  0 ,  0 ,  17 ,  34 ,  159 , 3 571 , 2 151 , 5 024 , 2 408 , 4 268 ,  95 , 17 727
México ,"",  6 ,  4 ,  7 ,  20 ,  107 ,  355 , 6 812 , 4 789 , 9 948 , 4 720 , 7 029 ,  106 , 33 903
Michoacán ,"",  0 ,  0 ,  0 ,  0 ,  1 ,  46 , 1 393 , 1 160 , 2 434 , 1 333 , 2 328 ,  6 , 8 701
Morelos ,"",  0 ,  1 ,  2 ,  15 ,  13 ,  43 ,  944 ,  659 , 1 802 ,  792 , 1 364 ,  4 , 5 639
Nayarit ,"",  0 ,  0 ,  0 ,  0 ,  3 ,  15 ,  377 ,  308 ,  687 ,  207 ,  478 ,  0 , 2 075
Nuevo León ,"",  0 ,  0 ,  1 ,  13 ,  33 ,  101 , 2 084 , 1 246 , 2 697 , 1 042 , 1 681 ,  5 , 8 903
Oaxaca ,"",  0 ,  0 ,  4 ,  5 ,  14 ,  87 , 1 914 , 1 186 , 2 302 ,  956 , 1 706 ,  2 , 8 176
Puebla ,"",  0 ,  0 ,  1 ,  6 ,  17 ,  61 , 1 778 , 1 340 , 2 994 , 1 340 , 2 365 ,  34 , 9 936
Querétaro ,"",  0 ,  0 ,  0 ,  0 ,  2 ,  18 ,  814 ,  452 ,  956 ,  375 ,  604 ,  0 , 3 221
Quintana Roo ,"",  0 ,  0 ,  0 ,  1 ,  10 ,  20 ,  536 ,  257 ,  467 ,  156 ,  222 ,  0 , 1 669
San Luis Potosí ,"",  0 ,  0 ,  0 ,  2 ,  5 ,  57 , 1 614 , 1 053 , 1 933 ,  822 , 1 487 ,  0 , 6 973
Sinaloa ,"",  0 ,  0 ,  0 ,  0 ,  18 ,  70 , 1 514 , 1 087 , 2 805 ,  975 , 1 606 ,  4 , 8 079
Sonora ,"",  1 ,  1 ,  1 ,  3 ,  10 ,  52 , 1 307 ,  773 , 1 865 ,  615 , 1 101 ,  5 , 5 734
Tabasco ,"",  1 ,  2 ,  1 ,  1 ,  3 ,  41 , 1 171 ,  712 , 1 329 ,  454 ,  725 ,  5 , 4 445
Tamaulipas ,"",  0 ,  0 ,  3 ,  5 ,  15 ,  138 , 1 849 , 1 261 , 2 356 , 1 303 , 1 692 ,  4 , 8 626
Tlaxcala ,"",  0 ,  0 ,  1 ,  0 ,  6 ,  10 ,  427 ,  318 ,  696 ,  293 ,  524 ,  6 , 2 281
Veracruz ,"",  0 ,  0 ,  3 ,  9 ,  39 ,  126 , 3 180 , 2 130 , 4 455 , 1 827 , 2 905 ,  12 , 14 686
Yucatán ,"",  0 ,  0 ,  0 ,  0 ,  7 ,  19 ,  909 ,  563 , 1 594 ,  718 , 1 152 ,  3 , 4 965
Zacatecas ,"",  0 ,  0 ,  0 ,  0 ,  0 ,  24 ,  599 ,  372 ,  767 ,  292 ,  473 ,  1 , 2 528
TOTAL GLOBAL ,"",  9 ,  22 ,  41 ,  149 ,  493 , 2 190 , 51 966 , 34 371 , 73 324 , 31 862 , 51 554 ,  544 , 246 525
