Estado,"","","","","","","","","","","","",""
"",< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  0 ,  0 ,  0 ,  0 ,  0 ,  17 ,  758 ,  481 ,  911 ,  462 ,  736 ,  0 , 3 365
Baja California ,  0 ,  0 ,  4 ,  7 ,  29 ,  139 , 2 134 , 1 316 , 2 886 , 1 207 , 1 574 ,  13 , 9 309
Baja California Sur ,  0 ,  0 ,  0 ,  2 ,  3 ,  21 ,  349 ,  133 ,  286 ,  73 ,  109 ,  0 ,  976
Campeche ,  0 ,  0 ,  0 ,  3 ,  5 ,  23 ,  461 ,  273 ,  365 ,  142 ,  160 ,  0 , 1 432
Coahuila ,  0 ,  1 ,  4 ,  9 ,  5 ,  51 , 1 573 , 1 155 , 1 929 , 1 096 , 1 805 ,  2 , 7 630
Colima ,  0 ,  0 ,  0 ,  0 ,  2 ,  12 ,  267 ,  136 ,  281 ,  103 ,  174 ,  1 ,  976
Chiapas ,  0 ,  1 ,  2 ,  3 ,  15 ,  59 , 1 547 , 1 192 , 2 582 , 1 119 , 1 841 ,  10 , 8 371
Chihuahua ,  4 ,  5 ,  3 ,  19 ,  33 ,  105 , 2 541 , 1 424 , 3 252 , 1 247 , 2 079 ,  6 , 10 718
Distrito Federal ,  0 ,  2 ,  3 ,  17 ,  29 ,  186 , 3 231 , 2 507 , 5 035 , 2 422 , 3 364 ,  2 , 16 798
Durango ,  0 ,  1 ,  0 ,  1 ,  0 ,  34 , 1 093 ,  796 , 1 688 ,  610 , 1 211 ,  0 , 5 434
Guanajuato ,  0 ,  3 ,  2 ,  8 ,  22 ,  95 , 2 307 , 1 366 , 2 726 , 1 034 , 1 720 ,  0 , 9 283
Guerrero ,  2 ,  4 ,  3 ,  9 ,  19 ,  66 , 1 843 , 1 370 , 2 523 , 1 057 , 1 632 ,  42 , 8 570
Hidalgo ,  0 ,  0 ,  1 ,  1 ,  11 ,  68 , 1 094 ,  746 , 1 462 ,  636 ,  981 ,  110 , 5 110
Jalisco ,  1 ,  0 ,  3 ,  6 ,  51 ,  240 , 3 947 , 2 289 , 5 653 , 2 366 , 4 441 ,  34 , 19 031
México ,  14 ,  7 ,  16 ,  36 ,  87 ,  344 , 7 168 , 5 076 , 10 082 , 4 534 , 6 676 ,  95 , 34 135
Michoacán ,  0 ,  2 ,  4 ,  2 ,  12 ,  71 , 1 478 ,  982 , 2 097 , 1 026 , 1 817 ,  4 , 7 495
Morelos ,  5 ,  18 ,  11 ,  18 ,  27 ,  128 , 1 187 ,  963 , 1 910 ,  944 , 1 299 ,  3 , 6 513
Nayarit ,  0 ,  1 ,  1 ,  2 ,  6 ,  24 ,  451 ,  292 ,  723 ,  278 ,  576 ,  0 , 2 354
Nuevo León ,  2 ,  9 ,  7 ,  17 ,  33 ,  106 , 2 482 , 1 374 , 2 788 , 1 083 , 1 757 ,  50 , 9 708
Oaxaca ,  1 ,  0 ,  3 ,  2 ,  20 ,  65 , 1 842 , 1 179 , 2 213 ,  793 , 1 316 ,  10 , 7 444
Puebla ,  0 ,  0 ,  2 ,  1 ,  24 ,  57 , 1 891 , 1 328 , 3 139 , 1 265 , 2 345 ,  62 , 10 114
Querétaro ,  0 ,  0 ,  0 ,  0 ,  4 ,  20 ,  764 ,  424 ,  871 ,  274 ,  493 ,  1 , 2 851
Quintana Roo ,  0 ,  1 ,  0 ,  2 ,  19 ,  47 ,  589 ,  349 ,  541 ,  173 ,  200 ,  0 , 1 921
San Luis Potosí ,  1 ,  0 ,  0 ,  0 ,  12 ,  65 , 1 747 , 1 045 , 2 101 ,  924 , 1 453 ,  0 , 7 348
Sinaloa ,  0 ,  1 ,  0 ,  5 ,  27 ,  71 , 1 887 , 1 252 , 3 060 , 1 190 , 1 945 ,  3 , 9 441
Sonora ,  1 ,  4 ,  0 ,  5 ,  15 ,  46 , 1 485 ,  778 , 1 863 ,  622 , 1 061 ,  2 , 5 882
Tabasco ,  0 ,  1 ,  4 ,  5 ,  18 ,  49 , 1 283 ,  715 , 1 420 ,  494 ,  729 ,  3 , 4 721
Tamaulipas ,  0 ,  0 ,  1 ,  5 ,  48 ,  127 , 1 762 , 1 263 , 2 146 , 1 152 , 1 422 ,  8 , 7 934
Tlaxcala ,  2 ,  1 ,  1 ,  0 ,  2 ,  11 ,  412 ,  336 ,  649 ,  283 ,  453 ,  1 , 2 151
Veracruz ,  0 ,  1 ,  1 ,  9 ,  31 ,  138 , 3 473 , 2 200 , 4 829 , 2 144 , 3 411 ,  13 , 16 250
Yucatán ,  0 ,  0 ,  0 ,  0 ,  9 ,  39 ,  784 ,  524 , 1 177 ,  509 ,  832 ,  1 , 3 875
Zacatecas ,  0 ,  0 ,  1 ,  0 ,  2 ,  28 ,  785 ,  490 ,  954 ,  309 ,  525 ,  0 , 3 094
TOTAL GLOBAL ,  33 ,  63 ,  77 ,  194 ,  620 , 2 552 , 54 615 , 35 754 , 74 142 , 31 571 , 50 137 ,  476 , 250 234
