"",< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,N.A. ,N.A. ,N.A. ,  0 ,  0 ,  21 ,  764 ,  481 , 1 057 ,  680 ,  980 ,  0 , 3 983
Baja California ,N.A. ,N.A. ,N.A. ,  5 ,  28 ,  91 , 2 192 , 1 375 , 3 023 , 1 372 , 1 843 ,  5 , 9 934
Baja California Sur ,N.A. ,N.A. ,N.A. ,  0 ,  0 ,  17 ,  389 ,  169 ,  350 ,  85 ,  111 ,  0 , 1 121
Campeche ,N.A. ,N.A. ,N.A. ,  0 ,  3 ,  14 ,  381 ,  185 ,  326 ,  114 ,  192 ,  2 , 1 217
Coahuila ,N.A. ,N.A. ,N.A. ,  5 ,  11 ,  99 , 1 450 ,  967 , 1 772 ,  768 , 1 265 ,  15 , 6 352
Colima ,N.A. ,N.A. ,N.A. ,  0 ,  0 ,  8 ,  223 ,  126 ,  284 ,  114 ,  149 ,  0 ,  904
Chiapas ,N.A. ,N.A. ,N.A. ,  1 ,  5 ,  66 , 1 523 , 1 101 , 2 248 ,  872 , 1 536 ,  10 , 7 362
Chihuahua ,N.A. ,N.A. ,N.A. ,  3 ,  3 ,  77 , 1 996 , 1 181 , 2 793 ,  944 , 1 610 ,  0 , 8 607
Distrito Federal ,N.A. ,N.A. ,N.A. ,  2 ,  32 ,  147 , 2 985 , 2 094 , 4 508 , 2 060 , 3 025 ,  21 , 14 874
Durango ,N.A. ,N.A. ,N.A. ,  0 ,  0 ,  34 ,  777 ,  690 , 1 288 ,  584 ,  967 ,  0 , 4 340
Guanajuato ,N.A. ,N.A. ,N.A. ,  1 ,  9 ,  116 , 1 987 , 1 144 , 2 291 ,  930 , 1 435 ,  1 , 7 914
Guerrero ,N.A. ,N.A. ,N.A. ,  1 ,  14 ,  72 , 1 972 , 1 300 , 2 467 ,  977 , 1 532 ,  10 , 8 345
Hidalgo ,N.A. ,N.A. ,N.A. ,  4 ,  14 ,  57 , 1 162 ,  845 , 1 563 ,  687 , 1 106 ,  4 , 5 442
Jalisco ,N.A. ,N.A. ,N.A. ,  0 ,  3 ,  142 , 3 331 , 1 786 , 4 428 , 1 866 , 3 454 ,  49 , 15 059
México ,N.A. ,N.A. ,N.A. ,  1 ,  94 ,  486 , 6 817 , 4 680 , 9 639 , 4 290 , 6 536 ,  35 , 32 578
Michoacán ,N.A. ,N.A. ,N.A. ,  0 ,  1 ,  45 , 1 298 ,  962 , 2 089 , 1 030 , 1 732 ,  8 , 7 165
Morelos ,N.A. ,N.A. ,N.A. ,  46 ,  50 ,  76 ,  967 ,  902 , 1 915 ,  959 , 1 547 ,  16 , 6 478
Nayarit ,N.A. ,N.A. ,N.A. ,  0 ,  4 ,  20 ,  374 ,  255 ,  567 ,  276 ,  645 ,  3 , 2 144
Nuevo León ,N.A. ,N.A. ,N.A. ,  4 ,  18 ,  98 , 2 413 , 1 352 , 2 642 ,  995 , 1 371 ,  2 , 8 895
Oaxaca ,N.A. ,N.A. ,N.A. ,  0 ,  0 ,  89 , 1 599 , 1 121 , 2 109 ,  863 , 1 498 ,  21 , 7 300
Puebla ,N.A. ,N.A. ,N.A. ,  4 ,  20 ,  80 , 1 588 , 1 142 , 2 425 , 1 113 , 1 716 ,  19 , 8 107
Querétaro ,N.A. ,N.A. ,N.A. ,  0 ,  0 ,  33 ,  794 ,  384 ,  902 ,  250 ,  470 ,  0 , 2 833
Quintana Roo ,N.A. ,N.A. ,N.A. ,  0 ,  4 ,  19 ,  684 ,  358 ,  589 ,  165 ,  215 ,  0 , 2 034
San Luis Potosí ,N.A. ,N.A. ,N.A. ,  0 ,  0 ,  50 , 1 502 ,  949 , 2 032 ,  723 , 1 319 ,  0 , 6 575
Sinaloa ,N.A. ,N.A. ,N.A. ,  0 ,  0 ,  88 , 2 217 , 1 435 , 3 423 , 1 274 , 2 081 ,  2 , 10 520
Sonora ,N.A. ,N.A. ,N.A. ,  1 ,  1 ,  48 , 1 355 ,  879 , 1 805 ,  626 , 1 011 ,  14 , 5 740
Tabasco ,N.A. ,N.A. ,N.A. ,  1 ,  9 ,  40 , 1 194 ,  694 , 1 329 ,  483 ,  656 ,  1 , 4 407
Tamaulipas ,N.A. ,N.A. ,N.A. ,  5 ,  18 ,  78 , 1 675 , 1 053 , 2 170 , 1 338 , 1 560 ,  39 , 7 936
Tlaxcala ,N.A. ,N.A. ,N.A. ,  1 ,  1 ,  11 ,  396 ,  316 ,  674 ,  283 ,  393 ,  3 , 2 078
Veracruz ,N.A. ,N.A. ,N.A. ,  0 ,  17 ,  128 , 3 136 , 2 159 , 4 553 , 1 890 , 3 167 ,  2 , 15 052
Yucatán ,N.A. ,N.A. ,N.A. ,  0 ,  4 ,  25 ,  676 ,  488 , 1 003 ,  408 ,  615 ,  5 , 3 224
Zacatecas ,N.A. ,N.A. ,N.A. ,  0 ,  1 ,  25 ,  625 ,  433 ,  738 ,  227 ,  402 ,  1 , 2 452
TOTAL GLOBAL ,  0 ,  0 ,  0 ,  85 ,  364 , 2 400 , 50 442 , 33 006 , 69 002 , 29 246 , 46 139 ,  288 , 230 972
