Estado ,SSA ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEDEMAR ,OTRAS ,Total
Aguascalientes ,1859 ,1159 ,579 ,0 ,0 ,0 ,0 ,0 ,142 ,3739
Baja California ,2443 ,7866 ,705 ,105 ,0 ,0 ,39 ,2 ,634 ,11794
Baja California Sur ,646 ,1366 ,157 ,0 ,0 ,0 ,21 ,17 ,0 ,2207
Campeche ,1188 ,624 ,223 ,104 ,51 ,13 ,1 ,49 ,104 ,2357
Coahuila ,1346 ,9021 ,4153 ,184 ,6 ,0 ,4 ,0 ,961 ,15675
Colima ,802 ,580 ,18 ,0 ,1 ,0 ,28 ,3 ,17 ,1449
Chiapas ,3959 ,4615 ,2125 ,882 ,0 ,13 ,34 ,23 ,271 ,11922
Chihuahua ,1707 ,8924 ,958 ,169 ,0 ,0 ,0 ,0 ,1712 ,13470
Distrito Federal ,16112 ,6882 ,17188 ,0 ,0 ,204 ,1138 ,219 ,1594 ,43337
Durango ,2116 ,5721 ,3175 ,201 ,0 ,0 ,133 ,0 ,21 ,11367
Guanajuato ,8456 ,7612 ,769 ,0 ,0 ,25 ,144 ,0 ,86 ,17092
Guerrero ,6823 ,4392 ,3646 ,0 ,0 ,0 ,13 ,125 ,43 ,15042
Hidalgo ,3107 ,1355 ,484 ,582 ,0 ,43 ,2 ,0 ,60 ,5633
Jalisco ,7080 ,12692 ,725 ,0 ,313 ,11 ,284 ,81 ,7977 ,29163
México ,13591 ,13154 ,5122 ,0 ,3143 ,4 ,286 ,0 ,3572 ,38872
Michoacán ,4721 ,3207 ,2133 ,833 ,0 ,0 ,0 ,25 ,0 ,10919
Morelos ,2566 ,3775 ,3566 ,0 ,0 ,0 ,0 ,0 ,0 ,9907
Nayarit ,1275 ,885 ,1532 ,121 ,164 ,0 ,32 ,2 ,20 ,4031
Nuevo León ,4284 ,4991 ,695 ,0 ,0 ,8 ,42 ,0 ,5040 ,15060
Oaxaca ,3545 ,1215 ,1921 ,939 ,6 ,120 ,694 ,60 ,79 ,8579
Puebla ,3578 ,7608 ,2805 ,538 ,48 ,14 ,43 ,0 ,1426 ,16060
Querétaro ,1695 ,3196 ,63 ,0 ,0 ,0 ,0 ,0 ,26 ,4980
Quintana Roo ,734 ,478 ,568 ,0 ,0 ,0 ,15 ,26 ,0 ,1821
San Luis Potosi ,2527 ,5843 ,1266 ,559 ,0 ,12 ,136 ,0 ,44 ,10387
Sinaloa ,2798 ,4318 ,556 ,191 ,558 ,8 ,184 ,67 ,1672 ,10352
Sonora ,3446 ,4587 ,12 ,0 ,0 ,0 ,310 ,38 ,877 ,9270
Tabasco ,2970 ,2300 ,1055 ,0 ,0 ,104 ,152 ,27 ,928 ,7536
Tamaulipas ,4032 ,7696 ,1586 ,294 ,0 ,179 ,54 ,43 ,116 ,14000
Tlaxcala ,1387 ,1097 ,403 ,0 ,0 ,0 ,0 ,0 ,3 ,2890
Veracruz ,7452 ,8009 ,721 ,1327 ,181 ,570 ,211 ,83 ,2 ,18556
Yucatán ,1369 ,5425 ,539 ,468 ,62 ,0 ,0 ,0 ,364 ,8227
Zacatecas ,1755 ,1832 ,476 ,438 ,134 ,0 ,1 ,0 ,2 ,4638
TOTAL GLOBAL ,121369 ,152425 ,59924 ,7935 ,4667 ,1328 ,4001 ,890 ,27793 ,380332
