Estado ,Salud ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,Otras ,Total
Aguascalientes ,1558,1346,373,S/R ,26,S/R ,122,S/R ,173, 1 551
Baja California ,4030,7188,647,129,S/R ,S/R ,27,0,1044,500
Baja California Sur ,569,1497,150,S/R ,S/R ,S/R ,0,17,S/R ,421
Campeche ,1094,711,229,188,24,6,6,27,23, 1 008
Coahuila ,1624,7615,1827,454,11,S/R ,32,S/R ,4765, 1 827
Colima ,919,977,53,S/R ,1,S/R ,0,21,65,471
Chiapas ,4714,2969,2303,1355,S/R ,145,12,32,0,567
Chihuahua ,4360,9667,963,253,S/R ,S/R ,375,S/R ,4018, 4 415
Distrito Federal ,11835,10509,9402,48,547,240,542,82,1656, 13 930
Durango ,1016,3448,1976,281,1,S/R ,22,S/R ,285,428
Guanajuato ,7714,8666,606,23,S/R ,35,210,S/R ,1090, 4 779
Guerrero ,5548,3875,3441,79,S/R ,S/R ,16,11,S/R ,853
Hidalgo ,3572,1980,1666,533,0,101,11,S/R ,32, 2 276
Jalisco ,6808,14870,1243,28,137,43,25,5,8019, 10 357
Mí©xico ,22277,20237,5050,19,4823,S/R ,416,S/R ,4963, 6 187
Michoacíçn ,4044,4976,4144,1040,S/R ,S/R ,0,16,S/R , 1 979
Morelos ,2824,5827,3207,32,S/R ,S/R ,77,S/R ,S/R ,216
Nayarit ,1115,971,1287,106,52,S/R ,0,90,72,823
Nuevo Leí_n ,2527,9561,374,6,S/R ,160,81,S/R ,6185, 2 937
Oaxaca ,5311,2768,2135,1574,89,161,290,63,133,767
Puebla ,3381,7164,4047,1060,987,133,3,S/R ,1176, 2 010
Querí©taro ,2068,2285,482,25,71,S/R ,62,S/R ,110, 1 102
Quintana Roo ,1115,1341,1139,S/R ,S/R ,S/R ,40,11,S/R ,994
San Luis Potosí_ ,3534,5080,1683,1113,S/R ,6,62,S/R ,84, 5 749
Sinaloa ,6747,4999,656,178,463,10,6,67,1763, 3 477
Sonora ,1850,5860,800,7,S/R ,S/R ,65,18,88, 3 199
Tabasco ,3196,2869,995,S/R ,S/R ,807,12,15,996, 2 704
Tamaulipas ,3985,6489,1855,256,0,403,63,110,125, 3 789
Tlaxcala ,1373,1599,906,6,1,S/R ,6,S/R ,66, 1 140
Veracruz ,6918,10381,1635,2365,102,560,185,402,S/R , 1 832
Yucatíçn ,2231,4883,1089,459,45,S/R ,0,2,851, 5 571
Zacatecas ,1808,1938,277,495,82,S/R ,0,S/R ,28,811
TOTAL GLOBAL , 39 084 , 5 864 , 7 192 , 1 168 ,177,252,469,45, 34 419 , 88 670
