"","","","","","","",n,"","","",""
"","","","","",Institución,"","","","","",""
"","","","","","","","","","","",Total
Estado ,Salud ,IMSS-Ord ,ISSSTE ,IMSS-Op ,DIF ,PEMEX ,"",SEDENA ,SEMAR ,Otras,""
Aguascalientes , 1 754 , 1 060 ,  311 ,S/R ,  47 ,S/R ,"",  0 ,S/R , 2 271 , 5 443
Baja California , 4 273 , 7 963 ,  898 ,  172 ,S/R ,S/R ,"",  8 ,  18 , 1 541 , 14 873
Baja California Sur ,  578 , 1 066 ,  155 ,S/R ,S/R ,S/R ,"",  17 ,  8 ,S/R , 1 824
Campeche , 1 212 ,  582 ,  288 ,  178 ,  15 ,  13 ,"",  1 ,  23 ,  14 , 2 326
Coahuila , 1 034 , 7 256 , 2 117 ,  361 ,  4 ,S/R ,"",  62 ,S/R , 2 967 , 13 801
Colima ,  833 ,  739 ,  30 ,S/R ,  2 ,S/R ,"",  31 ,  21 ,  55 , 1 711
Chiapas , 4 701 , 3 391 , 3 015 , 1 187 ,S/R ,  167 ,"",  1 ,  31 ,  348 , 12 841
Chihuahua , 4 289 , 9 343 , 1 062 ,  313 ,S/R ,S/R ,"",  39 ,S/R , 3 985 , 19 031
Distrito Federal , 11 350 , 10 051 , 9 553 ,  4 ,  346 ,  235 ,"",  408 ,  48 , 1 299 , 33 294
Durango , 1 363 , 3 367 , 3 210 ,  276 ,  0 ,S/R ,"",  4 ,S/R ,  332 , 8 552
Guanajuato , 8 031 , 5 996 ,  750 ,  31 ,S/R ,  112 ,"",  99 ,S/R , 1 039 , 16 058
Guerrero , 5 493 , 3 314 , 4 142 ,  95 ,S/R ,S/R ,"",  74 ,  105 ,S/R , 13 223
Hidalgo , 3 326 , 1 898 , 1 081 ,  677 ,  0 ,  96 ,"",  0 ,S/R ,  51 , 7 129
Jalisco , 7 401 , 13 069 , 3 224 ,  16 ,  106 ,  74 ,"",  51 ,  3 , 7 255 , 31 199
México , 23 694 , 17 126 , 6 032 ,  17 , 4 968 ,S/R ,"",  899 ,S/R , 4 918 , 57 654
Michoacán , 3 510 , 4 725 , 5 496 , 1 260 ,S/R ,S/R ,"",  0 ,  28 ,S/R , 15 019
Morelos , 2 451 , 4 970 , 2 299 ,  25 ,S/R ,S/R ,"",  63 ,S/R ,S/R , 9 808
Nayarit ,  948 ,  958 , 1 496 ,  77 ,  42 ,S/R ,"",  0 ,  28 ,  46 , 3 595
Nuevo León , 2 840 , 8 429 ,  606 ,  23 ,S/R ,  111 ,"",  52 ,S/R , 3 908 , 15 969
Oaxaca , 6 250 , 2 338 , 2 768 , 1 527 ,  83 ,  150 ,"",  15 ,  3 ,  53 , 13 187
Puebla , 3 484 , 6 343 , 3 690 , 1 423 ,  140 ,  130 ,"",  0 ,S/R , 1 372 , 16 582
Querétaro , 2 741 , 1 899 ,  589 ,  11 ,  134 ,S/R ,"",  75 ,S/R ,  71 , 5 520
Quintana Roo , 1 009 , 1 308 ,  682 ,S/R ,S/R ,S/R ,"",  9 ,  6 ,S/R , 3 014
San Luis Potosí , 3 850 , 4 691 , 1 816 , 1 163 ,S/R ,  12 ,"",  90 ,S/R ,  124 , 11 746
Sinaloa , 6 181 , 5 001 ,  598 ,  274 ,  396 ,  2 ,"",  4 ,  37 , 1 311 , 13 804
Son ra , 2 186 , 6 423 ,  833 ,  8 ,S/R ,S/R ,"",  10 ,  45 ,  259 , 9 764
Tabasco , 2 843 , 3 017 ,  794 ,S/R ,S/R ,  380 ,"",  37 ,  6 ,  689 , 7 766
Tamaulipas , 3 759 , 5 993 , 4 246 ,  282 ,  0 ,  344 ,"",  11 ,  44 ,  53 , 14 732
Tlaxcala , 1 221 , 1 467 , 1 163 ,  69 ,  0 ,S/R ,"",  0 ,S/R ,  38 , 3 958
Veracruz , 7 189 , 10 134 , 2 602 , 2 164 ,  64 ,  941 ,"",  122 ,  733 ,  5 , 23 954
Yucatán , 1 710 , 4 233 , 1 397 ,  500 ,  50 ,S/R ,"",  0 ,  1 ,  490 , 8 381
Zacatecas , 1 490 , 1 734 ,  292 ,  598 ,  60 ,S/R ,"",  0 ,S/R ,  100 , 4 274
TOTAL GLOBAL , 132 994 , 159 884 , 67 235 , 12 731 , 6 457 , 2 767 ,"", 2 182 , 1 188 , 34 594 , 420 032
