"","","","","",Institución,"","","","",""
Estado ,"","","","","","","","","",Total
"",Salud ,IMSS-Ord ,ISSSTE ,IMSS-Op ,DIF ,PEMEX ,SEDENA ,SEMAR ,Otras,""
Aguascalientes , 1 849 , 1 274 ,  955 ,S.R. ,  2 ,S.R. ,  3 ,S.R. , 1 857 , 5 940
Baja California , 5 365 , 8 514 ,  963 ,  241 ,S.R. ,S.R. ,  14 ,  12 , 1 528 , 16 637
Baja California Sur ,  750 ,  926 ,  126 ,S.R. ,S.R. ,S.R. ,  3 ,  1 ,S.R. , 1 806
Campeche , 1 243 ,  547 ,  241 ,  250 ,  3 ,  48 ,  3 ,  29 ,  1 , 2 365
Coahuila , 1 009 , 3 666 , 6 510 ,  328 ,  4 ,S.R. ,  3 ,S.R. , 1 741 , 13 261
Colima ,  935 ,  750 ,  20 ,S.R. ,  7 ,S.R. ,  6 ,  5 ,  64 , 1 787
Chiapas , 4 920 , 3 613 , 3 152 , 1 253 ,S.R. ,  57 ,  226 ,  42 ,  251 , 13 514
Chihuahua , 4 392 , 8 301 , 1 082 ,  335 ,S.R. ,S.R. ,  108 ,S.R. , 3 782 , 18 000
Distrito Federal , 12 288 , 7 629 , 7 820 ,  34 ,  290 ,  299 ,  354 ,  125 , 1 768 , 30 607
Durango , 1 238 , 3 168 , 3 586 ,  421 ,  0 ,S.R. ,  5 ,S.R. ,  860 , 9 278
Guanajuato , 8 155 , 5 626 ,  999 ,  77 ,S.R. ,  112 ,  101 ,S.R. ,  876 , 15 946
Guerrero , 6 663 , 3 288 , 3 636 ,  142 ,S.R. ,S.R. ,  134 ,  206 ,  0 , 14 069
Hidalgo , 4 083 , 1 929 , 1 237 ,  925 ,  0 ,  112 ,  4 ,S.R. ,  37 , 8 327
Jalisco , 6 790 , 13 860 , 3 824 ,  35 ,  114 ,  19 ,  44 ,  33 , 8 825 , 33 544
México , 24 858 , 11 812 , 5 961 ,  205 , 5 123 ,S.R. ,  702 ,S.R. , 9 466 , 58 127
Michoacán , 4 251 , 3 767 , 3 277 , 1 455 ,S.R. ,S.R. ,  0 ,  8 ,S.R. , 12 758
Morelos , 2 551 , 5 126 , 4 200 ,  41 ,S.R. ,S.R. ,  12 ,S.R. ,S.R. , 11 930
Nayarit , 1 026 , 1 078 , 1 486 ,  359 ,  54 ,S.R. ,  0 ,  3 ,  65 , 4 071
Nuevo León , 3 251 , 8 843 ,  652 ,  13 ,S.R. ,  87 ,  107 ,S.R. , 4 003 , 16 956
Oaxaca , 5 043 , 2 211 , 2 222 , 2 143 ,  81 ,  164 ,  29 ,  23 ,  85 , 12 001
Puebla , 4 686 , 6 449 , 2 166 , 1 590 ,  91 ,  81 ,  7 ,S.R. , 1 323 , 16 393
Querétaro , 2 293 , 1 784 ,  572 ,  5 ,  60 ,S.R. ,  28 ,S.R. ,  149 , 4 891
Quintana Roo , 1 575 , 1 265 ,  401 ,S.R. ,S.R. ,S.R. ,  1 ,  0 ,  0 , 3 242
San Luis Potosí , 4 382 , 4 501 , 1 575 , 1 399 ,S.R. ,  14 ,  77 ,S.R. ,  162 , 12 110
Sinaloa , 7 500 , 5 859 ,  654 ,  398 ,  394 ,  9 ,  9 ,  65 , 1 157 , 16 045
Sonora , 2 422 , 6 320 ,  940 ,  21 ,S.R. ,S.R. ,  1 ,  8 ,  254 , 9 966
Tabasco , 2 932 , 3 062 ,  823 ,S.R. ,S.R. ,  510 ,  146 ,  36 ,  632 , 8 141
Tamaulipas , 4 023 , 5 007 , 3 734 ,  381 ,  4 ,  311 ,  20 ,  117 ,  74 , 13 671
Tlaxcala , 1 148 , 1 523 ,  877 ,  31 ,  119 ,S.R. ,  4 ,S.R. ,  53 , 3 755
Veracruz , 7 741 , 10 182 , 3 465 , 2 848 ,  79 ,  923 ,  349 ,  591 ,  69 , 26 247
Yucatán , 1 409 , 3 096 , 1 038 ,  588 ,  26 ,S.R. ,  80 ,  0 ,  428 , 6 665
Zacatecas , 1 861 , 1 719 ,  284 ,  919 ,  75 ,S.R. ,  5 ,S.R. ,  212 , 5 075
TOTAL GLOBAL , 142 632 , 146 695 , 68 478 , 16 437 , 6 526 , 2 746 , 2 585 , 1 304 , 39 722 , 427 125
