"",Salud ,IMSS-Ord ,ISSSTE ,IMSS-Op ,DIF ,PEMEX ,SEDENA ,SEMAR ,Otras,""
Aguascalientes , 1 811 , 1 937 , 1 398 ,S.R. ,  13 ,S.R. ,  1 ,S.R. , 1 815 , 6 975
Baja California , 5 441 , 7 796 , 1 237 ,  94 ,S.R. ,S.R. ,  11 ,  73 , 3 039 , 17 691
Baja California Sur ,  841 , 1 060 ,  189 ,S.R. ,S.R. ,S.R. ,  4 ,  0 ,S.R. , 2 094
Campeche ,  916 ,  490 ,  261 ,  244 ,  0 ,  56 ,  0 ,  37 ,  2 , 2 006
Coahuila , 1 153 , 4 714 , 2 781 ,  317 ,  389 ,S.R. ,  41 ,S.R. , 1 475 , 10 870
Colima ,  713 ,  891 ,  52 ,S.R. ,  19 ,S.R. ,  3 ,  26 ,  70 , 1 774
Chiapas , 5 197 , 3 273 , 1 842 , 1 225 ,S.R. ,  28 ,  0 ,  28 ,  248 , 11 841
Chihuahua , 4 457 , 5 077 , 1 125 ,  306 ,S.R. ,S.R. ,  17 ,S.R. , 3 481 , 14 463
Distrito Federal , 11 822 , 6 111 , 6 425 ,  76 ,  179 ,  221 ,  175 ,  90 , 1 620 , 26 719
Durango , 1 046 , 2 357 , 3 155 ,  421 ,  0 ,S.R. ,  133 ,  0 ,  673 , 7 785
Guanajuato , 6 570 , 5 119 ,  788 ,  100 ,S.R. ,  155 ,  65 ,S.R. ,  959 , 13 756
Guerrero , 8 263 , 2 639 , 2 299 ,  226 ,S.R. ,S.R. ,  37 ,  96 ,  0 , 13 560
Hidalgo , 4 714 , 1 891 , 1 266 ,  716 ,  0 ,  87 ,  0 ,S.R. ,  45 , 8 719
Jalisco , 6 621 , 8 828 , 3 665 ,  40 ,  163 ,  22 ,  24 ,  1 , 7 247 , 26 611
México , 27 699 , 11 004 , 6 075 ,  129 , 4 046 ,S.R. ,  176 ,S.R. , 7 545 , 56 674
Michoacán , 3 737 , 3 550 , 3 884 , 1 085 ,S.R. ,S.R. ,  0 ,  44 ,S.R. , 12 300
Morelos , 2 506 , 4 965 , 3 838 ,  30 ,S.R. ,S.R. ,  45 ,S.R. ,S.R. , 11 384
Nayarit ,  920 ,  998 , 1 481 ,  158 ,  67 ,S.R. ,  0 ,  0 ,  55 , 3 679
Nuevo León , 3 270 , 9 112 ,  405 ,  11 ,S.R. ,  102 ,  6 ,S.R. , 3 048 , 15 954
Oaxaca , 5 555 , 1 592 , 2 115 , 1 800 ,  132 ,  224 ,  2 ,  18 ,  143 , 11 581
Puebla , 5 108 , 4 542 , 1 072 , 1 017 ,  65 ,  49 ,  0 ,S.R. , 1 607 , 13 460
Querétaro , 2 530 , 1 724 ,  275 ,  9 ,  10 ,S.R. ,  14 ,S.R. ,  315 , 4 877
Quintana Roo , 1 656 , 1 426 ,  358 ,S.R. ,S.R. ,S.R. ,  0 ,  4 ,  0 , 3 444
San Luis Potosí , 3 034 , 4 667 , 1 946 , 1 083 ,S.R. ,  11 ,  17 ,S.R. ,  390 , 11 148
Sinaloa , 9 679 , 4 554 ,  842 ,  359 ,  210 ,  9 ,  19 ,  38 , 1 900 , 17 610
Sonora , 2 370 , 6 106 , 1 106 ,  7 ,S.R. ,S.R. ,  70 ,  2 ,  382 , 10 043
Tabasco , 2 857 , 2 297 , 1 040 ,S.R. ,S.R. ,  384 ,  18 ,  3 ,  907 , 7 506
Tamaulipas , 4 141 , 4 951 , 3 897 ,  325 ,  1 ,  373 ,  0 ,  69 ,  245 , 14 002
Tlaxcala , 1 261 , 1 495 ,  718 ,  31 ,  120 ,S.R. ,  10 ,S.R. ,  0 , 3 635
Veracruz , 6 393 , 10 405 , 4 568 , 2 407 ,  152 ,  851 ,  360 ,  137 ,  39 , 25 312
Yucatán , 1 501 , 1 779 , 1 373 ,  649 ,  11 ,S.R. ,  0 ,  0 ,  277 , 5 590
Zacatecas , 1 461 , 1 433 ,  290 ,  607 ,  112 ,S.R. ,  14 ,S.R. ,  212 , 4 129
TOTAL GLOBAL , 145 243 , 128 783 , 61 766 , 13 472 , 5 689 , 2 572 , 1 262 ,  666 , 37 739 , 397 192
