Estado ,SSA ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEDEMAR ,OTRAS ,Total
Aguascalientes ,657 ,522 ,253 ,0 ,0 ,0 ,0 ,0 ,59 ,1491
Baja California ,999 ,3186 ,300 ,34 ,0 ,0 ,12 ,1 ,272 ,4804
Baja California Sur ,286 ,554 ,76 ,0 ,0 ,0 ,11 ,9 ,0 ,936
Campeche ,307 ,255 ,97 ,35 ,13 ,9 ,0 ,15 ,50 ,781
Coahuila ,475 ,3474 ,1802 ,73 ,0 ,0 ,0 ,0 ,323 ,6147
Colima ,279 ,273 ,7 ,0 ,1 ,0 ,10 ,0 ,9 ,579
Chiapas ,1219 ,1734 ,844 ,249 ,0 ,11 ,19 ,6 ,87 ,4169
Chihuahua ,550 ,3429 ,397 ,60 ,0 ,0 ,0 ,0 ,614 ,5050
Distrito Federal ,5699 ,2980 ,7395 ,0 ,0 ,94 ,329 ,68 ,656 ,17221
Durango ,709 ,2136 ,1339 ,65 ,0 ,0 ,60 ,0 ,9 ,4318
Guanajuato ,2757 ,3241 ,373 ,0 ,0 ,11 ,77 ,0 ,40 ,6499
Guerrero ,2328 ,1843 ,1575 ,0 ,0 ,0 ,6 ,33 ,17 ,5802
Hidalgo ,1010 ,665 ,236 ,204 ,0 ,18 ,0 ,0 ,25 ,2158
Jalisco ,2538 ,5394 ,289 ,0 ,118 ,7 ,108 ,32 ,3310 ,11796
México ,4454 ,5443 ,2190 ,0 ,1329 ,3 ,111 ,0 ,1790 ,15320
Michoacán ,1657 ,1357 ,897 ,263 ,0 ,0 ,0 ,12 ,0 ,4186
Morelos ,907 ,1498 ,1709 ,0 ,0 ,0 ,0 ,0 ,0 ,4114
Nayarit ,496 ,377 ,584 ,44 ,70 ,0 ,12 ,1 ,11 ,1595
Nuevo León ,1473 ,2080 ,233 ,0 ,0 ,2 ,21 ,0 ,2058 ,5867
Oaxaca ,1149 ,537 ,964 ,280 ,0 ,58 ,180 ,14 ,35 ,3217
Puebla ,1145 ,2966 ,1131 ,170 ,21 ,8 ,15 ,0 ,611 ,6067
Querétaro ,526 ,1271 ,25 ,0 ,0 ,0 ,0 ,0 ,8 ,1830
Quintana Roo ,224 ,218 ,250 ,0 ,0 ,0 ,7 ,6 ,0 ,705
San Luis Potosi ,877 ,2207 ,514 ,167 ,0 ,6 ,76 ,0 ,13 ,3860
Sinaloa ,963 ,1856 ,256 ,71 ,186 ,6 ,92 ,24 ,620 ,4074
Sonora ,1169 ,1800 ,8 ,0 ,0 ,0 ,115 ,9 ,388 ,3489
Tabasco ,1046 ,955 ,466 ,0 ,0 ,67 ,62 ,7 ,368 ,2971
Tamaulipas ,1671 ,2993 ,676 ,105 ,0 ,114 ,25 ,15 ,33 ,5632
Tlaxcala ,492 ,457 ,184 ,0 ,0 ,0 ,0 ,0 ,2 ,1135
Veracruz ,2283 ,3248 ,316 ,404 ,53 ,255 ,70 ,15 ,0 ,6644
Yucatán ,396 ,1937 ,225 ,141 ,12 ,0 ,0 ,0 ,204 ,2915
Zacatecas ,630 ,784 ,212 ,144 ,28 ,0 ,0 ,0 ,1 ,1799
TOTAL GLOBAL ,41371 ,61670 ,25823 ,2509 ,1831 ,669 ,1418 ,267 ,11613 ,147171
