Estado ,SALUD ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,OTRAS ,Total
Aguascalientes ,2095 ,526 ,684 ,0 ,0 ,0 ,0 ,0 ,67 ,3372
Baja California ,1106 ,3717 ,235 ,12 ,0 ,0 ,6 ,0 ,229 ,5305
Baja California Sur ,275 ,517 ,142 ,0 ,0 ,0 ,8 ,7 ,0 ,949
Campeche ,339 ,190 ,167 ,37 ,6 ,9 ,20 ,27 ,13 ,808
Coahuila ,507 ,3439 ,1871 ,73 ,0 ,0 ,0 ,0 ,491 ,6381
Colima ,299 ,353 ,15 ,0 ,0 ,0 ,8 ,1 ,14 ,690
Chiapas ,1301 ,1730 ,689 ,256 ,0 ,11 ,80 ,3 ,220 ,4290
Chihuahua ,611 ,3865 ,215 ,49 ,0 ,0 ,0 ,0 ,650 ,5390
Distrito Federal ,5727 ,3172 ,5570 ,0 ,48 ,108 ,403 ,50 ,666 ,15744
Durango ,774 ,1604 ,1519 ,105 ,0 ,0 ,9 ,0 ,17 ,4028
Guanajuato ,1808 ,4728 ,421 ,0 ,0 ,31 ,24 ,0 ,86 ,7098
Guerrero ,2240 ,1671 ,1587 ,0 ,0 ,0 ,31 ,72 ,0 ,5601
Hidalgo ,1014 ,679 ,302 ,152 ,0 ,20 ,10 ,0 ,63 ,2240
Jalisco ,2735 ,7889 ,368 ,0 ,77 ,31 ,135 ,0 ,3827 ,15062
México ,4455 ,6061 ,2352 ,0 ,1513 ,110 ,509 ,0 ,2420 ,17420
Michoacán ,1459 ,1080 ,643 ,270 ,0 ,0 ,0 ,3 ,0 ,3455
Morelos ,899 ,1466 ,1782 ,0 ,0 ,0 ,0 ,0 ,0 ,4147
Nayarit ,510 ,493 ,614 ,62 ,91 ,0 ,14 ,0 ,19 ,1803
Nuevo León ,1416 ,2227 ,232 ,0 ,0 ,15 ,31 ,0 ,1570 ,5491
Oaxaca ,1119 ,729 ,1115 ,310 ,0 ,58 ,136 ,25 ,48 ,3540
Puebla ,1830 ,3651 ,1117 ,185 ,18 ,4 ,8 ,0 ,806 ,7619
Querétaro ,679 ,1253 ,58 ,0 ,3 ,0 ,0 ,0 ,25 ,2018
Quintana Roo ,212 ,146 ,209 ,0 ,0 ,0 ,7 ,3 ,0 ,577
San Luis Potosí ,1218 ,2207 ,386 ,245 ,0 ,0 ,145 ,0 ,12 ,4213
Sinaloa ,1190 ,2180 ,174 ,59 ,180 ,12 ,229 ,32 ,1089 ,5145
Sonora ,1159 ,2002 ,94 ,2 ,0 ,0 ,79 ,9 ,596 ,3941
Tabasco ,1316 ,924 ,148 ,0 ,0 ,69 ,75 ,3 ,260 ,2795
Tamaulipas ,1451 ,3026 ,650 ,200 ,0 ,101 ,18 ,2 ,16 ,5464
Tlaxcala ,461 ,464 ,168 ,0 ,0 ,0 ,29 ,0 ,1 ,1123
Veracruz ,2442 ,2627 ,270 ,509 ,57 ,229 ,50 ,16 ,0 ,6200
Yucatán ,574 ,1882 ,222 ,169 ,3 ,0 ,0 ,0 ,327 ,3177
Zacatecas ,536 ,936 ,156 ,169 ,20 ,0 ,10 ,0 ,3 ,1830
TOTAL GLOBAL ,43757 ,67434 ,24175 ,2864 ,2016 ,808 ,2074 ,253 ,13535 ,156916
