Estado ,SALUD ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,Otras ,Total
Aguascalientes ,566 ,397 ,72 ,N.A. ,6 ,N.A. ,70 ,N.A. ,264 ,1 375
Baja California ,1 488 ,2 592 ,243 ,26 ,N.A. ,N.A. ,56 ,0 ,367 ,4 772
Baja California Sur ,453 ,491 ,124 ,N.A. ,N.A. ,N.A. ,2 ,2 ,N.A. ,1 072
Campeche ,371 ,362 ,104 ,51 ,4 ,2 ,1 ,9 ,7 ,911
Coahuila ,478 ,2 965 ,1 276 ,111 ,84 ,N.A. ,27 ,N.A. ,686 ,5 627
Colima ,388 ,578 ,13 ,N.A. ,3 ,N.A. ,8 ,35 ,30 ,1 055
Chiapas ,1 559 ,1 654 ,913 ,275 ,N.A. ,74 ,40 ,0 ,172 ,4 687
Chihuahua ,1 151 ,3 140 ,320 ,49 ,N.A. ,N.A. ,70 ,N.A. ,1 313 ,6 043
Distrito Federal ,5 823 ,3 767 ,4 932 ,47 ,94 ,44 ,667 ,50 ,779 ,16 203
Durango ,411 ,1 355 ,812 ,127 ,0 ,N.A. ,23 ,N.A. ,83 ,2 811
Guanajuato ,2 505 ,2 513 ,380 ,2 ,N.A. ,19 ,21 ,N.A. ,284 ,5 724
Guerrero ,2 416 ,2 037 ,1 011 ,12 ,N.A. ,N.A. ,78 ,2 ,0 ,5 556
Hidalgo ,1 072 ,741 ,422 ,129 ,0 ,53 ,8 ,N.A. ,105 ,2 530
Jalisco ,2 978 ,5 376 ,1 247 ,7 ,62 ,5 ,44 ,12 ,3 832 ,13 563
México ,6 558 ,6 881 ,1 458 ,3 ,2 205 ,N.A. ,273 ,N.A. ,2 177 ,19 555
Michoacán ,1 282 ,1 485 ,1 904 ,353 ,N.A. ,N.A. ,0 ,14 ,N.A. ,5 038
Morelos ,910 ,2 058 ,1 588 ,1 ,N.A. ,N.A. ,119 ,N.A. ,N.A. ,4 676
Nayarit ,589 ,224 ,541 ,55 ,74 ,N.A. ,0 ,2 ,12 ,1 497
Nuevo León ,995 ,3 399 ,117 ,2 ,0 ,24 ,41 ,N.A. ,2 287 ,6 865
Oaxaca ,1 783 ,949 ,1 228 ,455 ,44 ,53 ,37 ,21 ,56 ,4 626
Puebla ,1 382 ,3 001 ,1 212 ,280 ,44 ,3 ,8 ,N.A. ,583 ,6 513
Querétaro ,595 ,910 ,144 ,1 ,11 ,N.A. ,N.A. ,N.A. ,54 ,1 715
Quintana Roo ,320 ,563 ,129 ,N.A. ,N.A. ,N.A. ,14 ,0 ,N.A. ,1 026
San Luis Potosí ,1 395 ,1 593 ,341 ,265 ,N.A. ,3 ,38 ,N.A. ,74 ,3 709
Sinaloa ,2 462 ,2 145 ,262 ,75 ,202 ,7 ,121 ,24 ,719 ,6 017
Sonora ,657 ,2 230 ,237 ,10 ,N.A. ,N.A. ,25 ,2 ,78 ,3 239
Tabasco ,1 450 ,750 ,211 ,N.A. ,N.A. ,205 ,29 ,8 ,758 ,3 411
Tamaulipas ,1 972 ,2 676 ,749 ,96 ,0 ,90 ,12 ,1 ,39 ,5 635
Tlaxcala ,565 ,517 ,295 ,0 ,13 ,N.A. ,0 ,N.A. ,25 ,1 415
Veracruz ,3 026 ,3 763 ,215 ,482 ,181 ,217 ,43 ,77 ,N.A. ,8 004
Yucatán ,734 ,1 836 ,449 ,233 ,3 ,N.A. ,0 ,0 ,400 ,3 655
Zacatecas ,676 ,459 ,153 ,175 ,45 ,N.A. ,0 ,N.A. ,35 ,1 543
