"","","","","",Institución,"","","","",""
"","","","","","","","","","",Total
Estado ,Salud ,IMSS-Ord ,ISSSTE ,IMSS-Op ,DIF ,PEMEX ,SEDENA ,SEMAR ,Otras,""
Aguascalientes ,  682 ,  484 ,  136 ,S/R ,  25 ,S/R ,  0 ,S/R , 1 030 , 2 357
Baja California , 1 735 , 3 631 ,  369 ,  74 ,S/R ,S/R ,  5 ,  8 , 1 028 , 6 850
Baja California Sur ,  236 ,  521 ,  77 ,S/R ,S/R ,S/R ,  11 ,  2 ,S/R ,  847
Campeche ,  424 ,  259 ,  137 ,  63 ,  5 ,  4 ,  0 ,  8 ,  7 ,  907
Coahuila ,  338 , 3 002 ,  833 ,  120 ,  1 ,S/R ,  18 ,S/R , 1 292 , 5 604
Colima ,  346 ,  386 ,  14 ,S/R ,  1 ,S/R ,  14 ,  11 ,  35 ,  807
Chiapas , 1 569 , 1 433 , 1 144 ,  336 ,S/R ,  99 ,  0 ,  13 ,  135 , 4 729
Chihuahua , 1 574 , 3 899 ,  479 ,  109 ,S/R ,S/R ,  20 ,S/R , 1 554 , 7 635
Distrito Federal , 4 660 , 4 528 , 4 176 ,  2 ,  124 ,  119 ,  178 ,  21 ,  537 , 14 345
Durango ,  493 , 1 341 , 1 255 ,  91 ,  0 ,S/R ,  2 ,S/R ,  158 , 3 340
Guanajuato , 2 982 , 2 697 ,  342 ,  8 ,S/R ,  51 ,  34 ,S/R ,  464 , 6 578
Guerrero , 1 898 , 1 453 , 1 676 ,  22 ,S/R ,S/R ,  22 ,  47 ,S/R , 5 118
Hidalgo , 1 111 ,  839 ,  491 ,  208 ,  0 ,  53 ,  0 ,S/R ,  29 , 2 731
Jalisco , 2 807 , 6 064 , 1 318 ,  3 ,  34 ,  14 ,  14 ,  1 , 3 217 , 13 472
México , 8 955 , 7 453 , 2 505 ,  6 , 1 907 ,S/R ,  403 ,S/R , 2 522 , 23 751
Michoacán , 1 300 , 2 148 , 2 445 ,  417 ,S/R ,S/R ,  0 ,  8 ,S/R , 6 318
Morelos ,  897 , 2 142 , 1 088 ,  8 ,S/R ,S/R ,  34 ,S/R ,S/R , 4 169
Nayarit ,  361 ,  453 ,  622 ,  21 ,  22 ,S/R ,  0 ,  17 ,  24 , 1 520
Nuevo León , 1 042 , 3 884 ,  264 ,  12 ,S/R ,  62 ,  10 ,S/R , 1 792 , 7 066
Oaxaca , 2 110 , 1 082 , 1 147 ,  528 ,  27 ,  77 ,  13 ,  0 ,  27 , 5 011
Puebla , 1 251 , 2 672 , 1 606 ,  404 ,  67 ,  63 ,  0 ,S/R ,  583 , 6 646
Querétaro , 1 065 ,  894 ,  238 ,  1 ,  38 ,S/R ,  30 ,S/R ,  33 , 2 299
Quintana Roo ,  373 ,  632 ,  335 ,S/R ,S/R ,S/R ,  4 ,  1 ,S/R , 1 345
San Luis Potosí , 1 408 , 2 036 ,  825 ,  414 ,S/R ,  3 ,  27 ,S/R ,  60 , 4 773
Sinaloa , 2 311 , 2 316 ,  262 ,  101 ,  168 ,  1 ,  1 ,  13 ,  552 , 5 725
Sonora ,  769 , 2 781 ,  342 ,  0 ,S/R ,S/R ,  4 ,  24 ,  110 , 4 030
Tabasco , 1 025 , 1 426 ,  354 ,S/R ,S/R ,  176 ,  19 ,  2 ,  319 , 3 321
Tamaulipas , 1 357 , 2 528 , 1 918 ,  107 ,  0 ,  157 ,  5 ,  18 ,  16 , 6 106
Tlaxcala ,  467 ,  668 ,  496 ,  33 ,  0 ,S/R ,  0 ,S/R ,  13 , 1 677
Veracruz , 2 367 , 4 501 , 1 014 ,  659 ,  18 ,  430 ,  25 ,  252 ,  2 , 9 268
Yucatán ,  576 , 1 722 ,  561 ,  175 ,  12 ,S/R ,  0 ,  1 ,  369 , 3 416
Zacatecas ,  543 ,  816 ,  138 ,  199 ,  15 ,S/R ,  0 ,S/R ,  35 , 1 746
TOTAL GLOBAL , 49 032 , 70 691 , 28 607 , 4 121 , 2 464 , 1 309 ,  893 ,  447 , 15 943 , 173 507
