Estado ,SALUD ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,OTRAS ,Total
Aguascalientes , 1 217 , 1 098 ,  51 ,  0 ,  16 ,  0 ,  60 ,  0 ,  359 , 2 801
Baja California , 2 562 , 4 369 ,  516 ,  42 ,  0 ,  0 ,  38 ,  0 ,  578 , 8 105
Baja California Sur ,  609 ,  428 ,  69 ,  0 ,  0 ,  0 ,  26 ,  2 ,  0 , 1 134
Campeche ,  777 ,  293 ,  178 ,  99 ,  18 ,  1 ,  31 ,  15 ,  11 , 1 423
Coahuila , 1 071 , 4 573 , 2 704 ,  171 ,  72 ,  0 ,  38 ,  0 ,  769 , 9 398
Colima ,  501 ,  644 ,  31 ,  0 ,  0 ,  0 ,  12 ,  0 ,  16 , 1 204
Chiapas , 2 997 , 1 665 ,  988 ,  720 ,  0 ,  50 ,  176 ,  3 ,  192 , 6 791
Chihuahua , 1 882 , 4 027 ,  394 ,  108 ,  0 ,  0 ,  21 ,  0 , 1 759 , 8 191
Distrito Federal , 10 252 , 4 448 , 8 041 ,  0 ,  172 ,  68 ,  399 ,  65 ,  401 , 23 846
Durango ,  978 , 2 173 , 1 765 ,  206 ,  0 ,  0 ,  8 ,  0 ,  86 , 5 216
Guanajuato , 6 455 , 4 565 ,  680 ,  26 ,  0 ,  13 ,  14 ,  0 ,  388 , 12 141
Guerrero , 4 629 , 2 207 , 1 214 ,  64 ,  0 ,  0 ,  13 ,  53 ,  5 , 8 185
Hidalgo , 2 186 ,  725 ,  423 ,  316 ,  0 ,  55 ,  28 ,  0 ,  43 , 3 776
Jalisco , 4 890 , 9 602 , 1 052 ,  13 ,  212 ,  8 ,  98 ,  0 , 5 163 , 21 038
México , 10 540 , 10 054 , 2 554 ,  28 , 2 904 ,  0 ,  399 ,  0 , 1 774 , 28 253
Michoacán , 2 708 , 1 818 , 1 468 ,  641 ,  0 ,  0 ,  64 ,  7 ,  0 , 6 706
Morelos , 1 764 , 2 634 , 1 692 ,  3 ,  0 ,  0 ,  187 ,  0 ,  0 , 6 280
Nayarit ,  931 ,  484 ,  712 ,  51 ,  133 ,  0 ,  0 ,  3 ,  6 , 2 320
Nuevo León , 1 889 , 3 679 ,  237 ,  6 ,  0 ,  16 ,  55 ,  0 , 2 645 , 8 527
Oaxaca , 3 684 , 1 375 , 1 122 ,  851 ,  46 ,  60 ,  144 ,  38 ,  85 , 7 405
Puebla , 3 074 , 5 326 , 1 280 ,  701 ,  148 ,  17 ,  22 ,  0 ,  783 , 11 351
Querétaro , 1 170 , 1 229 ,  119 ,  10 ,  13 ,  0 ,  0 ,  0 ,  86 , 2 627
Quintana Roo ,  502 ,  374 ,  128 ,  0 ,  0 ,  0 ,  27 ,  7 ,  0 , 1 038
San Luis Potosí , 2 467 , 2 829 ,  575 ,  459 ,  0 ,  1 ,  142 ,  0 ,  219 , 6 692
Sinaloa , 3 891 , 2 532 ,  322 ,  104 ,  273 ,  3 ,  183 ,  12 ,  601 , 7 921
Sonora , 1 505 , 2 616 ,  252 ,  85 ,  0 ,  0 ,  120 ,  56 ,  84 , 4 718
Tabasco , 2 529 ,  932 ,  240 ,  0 ,  0 ,  125 ,  72 ,  23 ,  347 , 4 268
Tamaulipas , 3 591 , 3 927 ,  804 ,  184 ,  41 ,  92 ,  31 ,  13 ,  80 , 8 763
Tlaxcala ,  911 ,  648 ,  275 ,  4 ,  2 ,  0 ,  11 ,  0 ,  0 , 1 851
Veracruz , 6 132 , 3 234 ,  252 , 1 240 ,  310 ,  290 ,  137 ,  170 ,  0 , 11 765
Yucatán , 1 583 , 2 320 ,  689 ,  667 ,  9 ,  0 ,  0 ,  2 ,  113 , 5 383
Zacatecas , 1 084 ,  624 ,  230 ,  329 ,  136 ,  0 ,  0 ,  0 ,  4 , 2 407
TOTAL GLOBAL , 90 961 , 87 452 , 31 057 , 7 128 , 4 505 ,  799 , 2 556 ,  469 , 16 597 , 241 524
