Estado ,SALUD ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,Otras ,Total
Aguascalientes ,1 004 ,625 ,112 ,N.A. ,8 ,N.A. ,239 ,N.A. ,241 ,2 229
Baja California ,2 649 ,3 597 ,307 ,117 ,N.A. ,N.A. ,16 ,4 ,341 ,7 031
Baja California Sur ,426 ,755 ,117 ,N.A. ,N.A. ,N.A. ,4 ,73 ,N.A. ,1 375
Campeche ,729 ,274 ,76 ,48 ,14 ,0 ,9 ,14 ,5 ,1 169
Coahuila ,942 ,3 960 ,1 204 ,286 ,0 ,N.A. ,13 ,N.A. ,1 290 ,7 695
Colima ,504 ,566 ,14 ,N.A. ,0 ,N.A. ,9 ,29 ,115 ,1 237
Chiapas ,3 287 ,1 614 ,1 294 ,693 ,N.A. ,39 ,8 ,6 ,151 ,7 092
Chihuahua ,2 301 ,4 865 ,376 ,168 ,N.A. ,N.A. ,30 ,N.A. ,2 312 ,10 052
Distrito Federal ,7 747 ,4 911 ,6 140 ,13 ,226 ,87 ,614 ,121 ,426 ,20 285
Durango ,732 ,2 075 ,692 ,203 ,0 ,N.A. ,14 ,N.A. ,151 ,3 867
Guanajuato ,5 155 ,3 037 ,461 ,14 ,N.A. ,16 ,101 ,N.A. ,654 ,9 438
Guerrero ,3 808 ,2 402 ,1 827 ,30 ,N.A. ,N.A. ,11 ,3 ,N.A. ,8 081
Hidalgo ,2 584 ,940 ,482 ,283 ,0 ,40 ,0 ,N.A. ,16 ,4 345
Jalisco ,5 161 ,6 461 ,1 637 ,23 ,157 ,21 ,104 ,4 ,5 860 ,19 428
México ,12 470 ,9 234 ,3 155 ,4 ,2 729 ,N.A. ,215 ,N.A. ,1 674 ,29 481
Michoacán ,2 381 ,2 073 ,2 353 ,515 ,N.A. ,N.A. ,0 ,4 ,N.A. ,7 326
Morelos ,1 814 ,2 536 ,2 013 ,14 ,N.A. ,N.A. ,61 ,N.A. ,N.A. ,6 438
Nayarit ,756 ,434 ,683 ,81 ,46 ,N.A. ,0 ,0 ,19 ,2 019
Nuevo León ,1 934 ,4 357 ,248 ,13 ,N.A. ,53 ,76 ,N.A. ,2 216 ,8 897
Oaxaca ,3 811 ,1 190 ,1 120 ,894 ,70 ,56 ,182 ,55 ,17 ,7 395
Puebla ,2 598 ,4 382 ,1 849 ,590 ,711 ,157 ,4 ,N.A. ,728 ,11 019
Querétaro ,1 146 ,1 026 ,229 ,10 ,12 ,N.A. ,14 ,N.A. ,76 ,2 513
Quintana Roo ,719 ,686 ,246 ,N.A. ,N.A. ,N.A. ,7 ,3 ,N.A. ,1 661
San Luis Potosí ,2 598 ,2 355 ,617 ,527 ,N.A. ,1 ,27 ,N.A. ,33 ,6 158
Sinaloa ,4 548 ,2 419 ,336 ,108 ,351 ,3 ,56 ,25 ,1 270 ,9 116
Sonora ,1 487 ,3 183 ,476 ,74 ,N.A. ,N.A. ,35 ,5 ,100 ,5 360
Tabasco ,2 363 ,854 ,334 ,N.A. ,N.A. ,179 ,5 ,14 ,961 ,4 710
Tamaulipas ,2 785 ,3 055 ,916 ,139 ,3 ,254 ,10 ,0 ,74 ,7 236
Tlaxcala ,1 015 ,789 ,440 ,5 ,27 ,N.A. ,17 ,N.A. ,43 ,2 336
Veracruz ,6 003 ,5 417 ,461 ,1 296 ,231 ,238 ,123 ,186 ,N.A. ,13 955
Yucatán ,1 589 ,3 058 ,557 ,612 ,35 ,N.A. ,0 ,8 ,61 ,5 920
Zacatecas ,1 072 ,891 ,206 ,278 ,60 ,N.A. ,0 ,N.A. ,11 ,2 518
TOTAL GLOBAL ,88 118 ,84 021 ,30 978 ,7 038 ,4 680 ,1 144 ,2 004 ,554 ,18 845 ,237 382
