Estado ,Incidencia* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,"329,99 ", 3 710 ,  278 ,  320 ,  262 ,  403 ,  247 ,  264 ,  303 ,  254 ,  386 ,  318 ,  320 ,  355
Baja California ,"389,95 ", 12 008 ,  843 ,  872 ,  857 , 1 327 ,  949 ,  977 , 1 299 ,  888 , 1 128 ,  936 ,  886 , 1 046
Baja California Sur ,"451,29 ", 2 489 ,  132 ,  184 ,  156 ,  251 ,  198 ,  199 ,  279 ,  217 ,  230 ,  236 ,  189 ,  218
Campeche ,"237,81 ", 1 871 ,  168 ,  123 ,  114 ,  198 ,  107 ,  114 ,  159 ,  119 ,  175 ,  166 ,  177 ,  251
Coahuila ,"499,98 ", 13 009 ,  904 , 1 016 ,  950 , 1 461 , 1 003 , 1 061 , 1 206 ,  916 , 1 233 ,  982 , 1 047 , 1 230
Colima ,"387,04 ", 2 296 ,  154 ,  174 ,  189 ,  252 ,  188 ,  164 ,  205 ,  167 ,  223 ,  155 ,  175 ,  250
Chiapas ,"254,30 ", 11 342 ,  759 ,  873 ,  940 , 1 207 ,  990 ,  965 , 1 061 ,  829 , 1 065 ,  864 ,  820 ,  969
Chihuahua ,"493,19 ", 16 571 , 1 155 , 1 278 , 1 232 , 1 781 , 1 313 , 1 325 , 1 564 , 1 166 , 1 381 , 1 285 , 1 342 , 1 749
Distrito Federal ,"390,46 ", 34 501 , 2 538 , 2 810 , 2 912 , 3 912 , 2 772 , 2 953 , 3 037 , 2 420 , 3 096 , 2 340 , 2 328 , 3 383
Durango ,"414,28 ", 6 399 ,  564 ,  549 ,  465 ,  712 ,  485 ,  465 ,  601 ,  497 ,  556 ,  513 ,  481 ,  511
Guanajuato ,"307,00 ", 15 414 , 1 083 , 1 338 , 1 333 , 1 521 , 1 182 , 1 310 , 1 466 , 1 058 , 1 297 , 1 324 , 1 101 , 1 401
