Estado ,Total ,ENE ,FEB ,MAR ,ABR ,MAY ,JUN ,JUL ,AGO ,SEP ,OCT ,NOV ,DIC
Aguascalientes , 5 443 ,  192 ,  199 ,  340 ,  281 ,  290 ,  606 ,  516 ,  694 ,  719 ,  555 ,  467 ,  584
Baja California , 14 873 , 1 188 , 1 126 , 1 326 , 1 161 , 1 158 , 1 674 , 1 289 , 1 201 , 1 399 , 1 168 , 1 062 , 1 121
Baja California Sur , 1 824 ,  184 ,  171 ,  208 ,  170 ,  142 ,  185 ,  135 ,  149 ,  159 ,  132 ,  105 ,  84
Campeche , 2 326 ,  105 ,  169 ,  255 ,  228 ,  219 ,  210 ,  188 ,  158 ,  198 ,  164 ,  134 ,  298
Coahuila , 13 801 , 1 445 , 1 253 , 1 577 , 1 397 , 1 182 , 1 314 ,  968 ,  652 , 1 197 , 1 004 ,  876 ,  936
Colima , 1 711 ,  142 ,  136 ,  170 ,  133 ,  135 ,  177 ,  156 ,  140 ,  124 ,  110 ,  127 ,  161
Chiapas , 12 841 ,  952 , 1 015 , 1 323 , 1 145 , 1 031 , 1 163 ,  948 ,  916 , 1 196 , 1 096 , 1 131 ,  925
Chihuahua , 19 031 , 1 522 , 1 556 , 1 829 , 1 679 , 1 603 , 2 150 , 1 587 , 1 522 , 1 610 , 1 350 , 1 281 , 1 342
Distrito Federal , 33 294 , 2 709 , 2 842 , 3 298 , 2 709 , 2 608 , 3 328 , 2 505 , 2 615 , 3 080 , 2 529 , 2 483 , 2 588
Durango , 8 552 ,  690 ,  671 ,  814 ,  780 ,  684 ,  829 ,  507 ,  651 ,  861 ,  756 ,  607 ,  702
Guanajuato , 16 058 , 1 374 , 1 371 , 1 710 , 1 562 , 1 278 , 1 603 , 1 108 , 1 133 , 1 377 , 1 277 , 1 120 , 1 145
Guerrero , 13 223 ,  999 , 1 093 , 1 168 , 1 098 ,  999 , 1 445 , 1 037 , 1 125 , 1 147 , 1 328 ,  880 ,  904
Hidalgo , 7 129 ,  535 ,  560 ,  711 ,  565 ,  672 ,  841 ,  545 ,  529 ,  643 ,  505 ,  532 ,  491
Jalisco , 31 199 , 2 545 , 2 530 , 2 921 , 2 457 , 2 517 , 2 994 , 2 399 , 2 429 , 2 876 , 2 469 , 2 572 , 2 490
México , 57 654 , 4 786 , 4 519 , 6 166 , 4 852 , 4 229 , 6 343 , 4 364 , 4 175 , 5 055 , 4 569 , 4 408 , 4 188
Michoacán , 15 019 , 1 194 , 1 076 , 1 310 , 1 158 ,  997 , 1 453 , 1 146 , 1 313 , 1 406 , 1 216 , 1 358 , 1 392
Morelos , 9 808 ,  763 ,  869 , 1 041 ,  858 ,  675 , 1 009 ,  741 ,  696 ,  912 ,  708 ,  808 ,  728
Nayarit , 3 595 ,  241 ,  309 ,  348 ,  304 ,  302 ,  411 ,  269 ,  286 ,  238 ,  291 ,  275 ,  321
Nuevo León , 15 969 , 1 299 , 1 435 , 1 533 , 1 516 , 1 406 , 1 430 , 1 162 , 1 118 , 1 233 , 1 301 , 1 436 , 1 100
Oaxaca , 13 187 ,  997 , 1 104 , 1 268 , 1 032 , 1 002 , 1 374 , 1 034 , 1 208 , 1 164 , 1 022 , 1 012 ,  970
Puebla , 16 582 , 1 278 , 1 412 , 1 672 , 1 477 , 1 328 , 1 619 , 1 226 , 1 282 , 1 472 , 1 279 , 1 230 , 1 307
Querétaro , 5 520 ,  448 ,  438 ,  576 ,  486 ,  502 ,  522 ,  377 ,  377 ,  504 ,  483 ,  402 ,  405
Quintana Roo , 3 014 ,  240 ,  247 ,  312 ,  247 ,  248 ,  269 ,  184 ,  267 ,  233 ,  257 ,  240 ,  270
San Luis Potosí , 11 746 ,  903 ,  946 , 1 191 ,  936 ,  963 , 1 207 ,  881 ,  874 , 1 026 ,  911 ,  900 , 1 008
Sinaloa , 13 804 , 1 225 , 1 087 , 1 274 , 1 305 , 1 129 , 1 435 , 1 080 , 1 104 , 1 235 , 1 133 ,  901 ,  896
Sonora , 9 764 ,  721 ,  823 ,  983 ,  912 ,  795 , 1 038 ,  742 ,  837 ,  902 ,  753 ,  629 ,  629
Tabasco , 7 766 ,  641 ,  687 ,  694 ,  682 ,  658 ,  889 ,  602 ,  553 ,  683 ,  624 ,  527 ,  526
Tamaulipas , 14 732 , 1 363 , 1 350 , 1 645 , 1 502 , 1 232 , 1 174 ,  962 , 1 172 , 1 211 , 1 041 ,  994 , 1 086
Tlaxcala , 3 958 ,  315 ,  299 ,  407 ,  355 ,  304 ,  406 ,  256 ,  258 ,  380 ,  329 ,  298 ,  351
Veracruz , 23 954 , 1 852 , 2 134 , 2 327 , 1 806 , 1 824 , 2 348 , 1 902 , 1 947 , 2 148 , 1 908 , 1 910 , 1 848
Yucatán , 8 381 ,  647 ,  660 ,  857 ,  738 ,  679 ,  819 ,  647 ,  705 ,  750 ,  669 ,  548 ,  662
Zacatecas , 4 274 ,  330 ,  354 ,  406 ,  386 ,  354 ,  395 ,  371 ,  311 ,  392 ,  337 ,  289 ,  349
TOTAL GLOBAL , 420 032 , 33 825 , 34 441 , 41 660 , 35 917 , 33 145 , 42 660 , 31 834 , 32 397 , 37 530 , 33 274 , 31 542 , 31 807
