"","",ENE ,FEB ,MAR ,ABR ,MAY ,JUN ,JUL ,AGO ,SEP ,OCT ,NOV ,DIC
Aguascalientes , 7 604 ,  904 ,  722 ,  820 ,  634 ,  645 ,  595 ,  734 ,  579 ,  490 ,  598 ,  462 ,  421
Baja California , 16 363 , 1 528 , 1 190 , 1 236 , 1 269 , 1 606 , 1 390 , 1 703 , 1 526 , 1 484 , 1 548 , 1 086 ,  797
Baja California Sur , 2 434 ,  209 ,  177 ,  192 ,  189 ,  274 ,  198 ,  235 ,  186 ,  194 ,  266 ,  177 ,  137
Campeche , 2 209 ,  214 ,  153 ,  135 ,  162 ,  269 ,  185 ,  248 ,  163 ,  195 ,  223 ,  150 ,  112
Coahuila , 14 498 , 1 333 , 1 050 , 1 480 , 1 344 , 1 603 , 1 196 , 1 621 , 1 188 , 1 126 , 1 414 ,  621 ,  522
Colima , 1 819 ,  193 ,  125 ,  123 ,  149 ,  159 ,  137 ,  157 ,  189 ,  167 ,  219 ,  100 ,  101
Chiapas , 12 555 , 1 132 , 1 006 ,  962 , 1 075 , 1 236 , 1 048 , 1 103 , 1 034 , 1 033 , 1 254 ,  900 ,  772
Chihuahua , 18 497 , 2 218 , 1 645 , 1 699 , 1 626 , 1 962 , 1 458 , 1 765 , 1 334 , 1 303 , 1 505 , 1 222 ,  760
Distrito Federal , 28 040 , 2 681 , 2 052 , 2 339 , 2 206 , 2 791 , 2 327 , 2 620 , 2 356 , 2 241 , 2 784 , 2 057 , 1 586
Durango , 7 699 ,  814 ,  643 ,  607 ,  634 ,  793 ,  626 ,  730 ,  683 ,  556 ,  644 ,  561 ,  408
Guanajuato , 14 356 , 1 409 , 1 140 , 1 148 , 1 215 , 1 347 , 1 318 , 1 227 ,  997 , 1 041 , 1 435 , 1 194 ,  885
Guerrero , 12 367 , 1 139 , 1 008 , 1 040 ,  997 , 1 250 , 1 082 , 1 204 , 1 039 , 1 004 , 1 062 ,  935 ,  607
Hidalgo , 9 388 ,  781 ,  670 ,  652 ,  759 , 1 004 ,  847 ,  889 ,  751 ,  773 ,  957 ,  772 ,  533
Jalisco , 30 648 , 3 510 , 2 868 , 2 685 , 2 460 , 3 187 , 2 445 , 2 845 , 2 298 , 2 026 , 2 676 , 2 016 , 1 632
México , 58 745 , 5 259 , 4 268 , 4 527 , 4 326 , 5 941 , 4 850 , 5 476 , 4 686 , 4 705 , 6 334 , 4 888 , 3 485
Michoacán , 11 801 , 1 118 ,  827 ,  978 ,  920 , 1 101 , 1 002 , 1 173 , 1 010 ,  915 , 1 096 ,  917 ,  744
Morelos , 10 034 , 1 068 ,  923 ,  818 ,  774 ,  988 ,  801 ,  948 ,  827 ,  696 ,  842 ,  738 ,  611
Nayarit , 4 519 ,  413 ,  379 ,  467 ,  357 ,  530 ,  337 ,  446 ,  290 ,  353 ,  396 ,  268 ,  283
Nuevo León , 15 630 , 1 426 , 1 176 , 1 186 , 1 263 , 1 590 , 1 289 , 1 621 , 1 339 , 1 207 , 1 508 , 1 126 ,  899
Oaxaca , 12 816 ,  858 ,  966 , 1 027 , 1 128 , 1 486 , 1 273 , 1 224 , 1 032 ,  914 , 1 217 ,  979 ,  712
Puebla , 15 240 , 1 540 , 1 299 , 1 305 , 1 338 , 1 639 , 1 220 , 1 377 , 1 186 , 1 106 , 1 318 ,  967 ,  945
Querétaro , 5 534 ,  525 ,  444 ,  420 ,  415 ,  567 ,  472 ,  494 ,  439 ,  444 ,  541 ,  406 ,  367
Quintana Roo , 2 929 ,  324 ,  283 ,  262 ,  229 ,  336 ,  280 ,  288 ,  205 ,  196 ,  222 ,  169 ,  135
San Luis Potosí , 11 756 , 1 049 ,  924 ,  946 , 1 009 , 1 119 , 1 035 , 1 155 ,  969 ,  918 , 1 152 ,  854 ,  626
Sinaloa , 17 667 , 1 784 , 1 453 , 1 478 , 1 334 , 1 796 , 1 516 , 1 692 , 1 432 , 1 386 , 1 656 , 1 253 ,  887
Sonora , 10 227 , 1 134 ,  912 ,  788 ,  732 ,  986 ,  815 ,  977 ,  900 ,  851 ,  916 ,  637 ,  579
Tabasco , 8 506 ,  872 ,  786 ,  731 ,  598 ,  827 ,  702 ,  918 ,  702 ,  701 ,  799 ,  564 ,  306
Tamaulipas , 14 744 , 1 359 , 1 194 , 1 131 , 1 179 , 1 487 , 1 142 , 1 486 , 1 089 , 1 146 , 1 363 , 1 228 ,  940
Tlaxcala , 3 999 ,  389 ,  309 ,  297 ,  281 ,  396 ,  301 ,  411 ,  281 ,  349 ,  403 ,  313 ,  269
Veracruz , 26 307 , 2 310 , 2 205 , 2 203 , 1 999 , 2 528 , 2 367 , 2 616 , 2 068 , 1 931 , 2 466 , 1 913 , 1 701
Yucatán , 6 170 ,  392 ,  375 ,  470 ,  459 ,  539 ,  470 ,  680 ,  563 ,  559 ,  673 ,  507 ,  483
Zacatecas , 4 392 ,  433 ,  441 ,  377 ,  377 ,  412 ,  370 ,  367 ,  323 ,  316 ,  428 ,  314 ,  234
TOTAL GLOBAL , 419 493 , 40 318 , 33 613 , 34 529 , 33 437 , 42 394 , 35 094 , 40 430 , 33 664 , 32 326 , 39 915 , 30 294 , 23 479
