"","",Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes , 6 975 ,  717 ,  577 ,  518 ,  539 ,  676 ,  509 ,  640 ,  554 ,  499 ,  700 ,  565 ,  481
Baja California , 17 691 , 1 433 , 1 185 , 1 141 , 1 416 , 1 737 , 1 335 , 2 123 , 2 098 , 1 364 , 1 785 , 1 139 ,  935
Baja California Sur , 2 094 ,  191 ,  174 ,  152 ,  209 ,  265 ,  177 ,  226 ,  163 ,  145 ,  162 ,  131 ,  99
Campeche , 2 006 ,  121 ,  128 ,  154 ,  214 ,  207 ,  185 ,  171 ,  170 ,  205 ,  219 ,  121 ,  111
Coahuila , 10 870 , 1 149 ,  959 ,  856 ,  641 , 1 026 ,  872 ,  989 , 1 016 , 1 000 , 1 116 ,  620 ,  6 6
Colima , 1 774 ,  152 ,  107 ,  147 ,  153 ,  195 ,  140 ,  193 ,  160 ,  149 ,  146 ,  123 ,  109
Chiapas , 11 841 , 1 106 ,  996 ,  921 , 1 053 , 1 204 , 1 056 , 1 069 , 1 013 ,  872 , 1 145 ,  798 ,  608
Chihuahua , 14 463 , 1 700 , 1 234 , 1 133 , 1 292 , 1 482 , 1 026 , 1 332 , 1 020 ,  971 , 1 431 , 1 028 ,  814
Distrito Federal , 26 719 , 2 420 , 2 042 , 1 926 , 2 136 , 2 531 , 2 193 , 2 679 , 2 259 , 2 223 , 2 571 , 2 104 , 1 635
Durango , 7 785 ,  506 ,  449 ,  567 ,  605 , 1 267 ,  572 ,  759 ,  642 ,  844 ,  714 ,  510 ,  350
Guanajuato , 13 756 , 1 487 , 1 128 ,  909 , 1 196 , 1 400 , 1 216 , 1 400 , 1 050 ,  938 , 1 280 ,  939 ,  813
Guerrero , 13 560 , 1 315 , 1 232 , 1 130 , 1 029 , 1 265 , 1 282 , 1 354 , 1 112 ,  922 , 1 209 ,  902 ,  808
Hidalgo , 8 719 ,  833 ,  708 ,  679 ,  827 ,  847 ,  752 ,  921 ,  687 ,  621 ,  817 ,  576 ,  451
Jalisco , 26 611 , 2 649 , 2 400 , 2 083 , 2 392 , 2 681 , 2 049 , 2 508 , 1 810 , 2 053 , 2 475 , 1 981 , 1 530
México , 56 674 , 5 554 , 5 078 , 4 895 , 5 556 , 6 053 , 4 734 , 5 046 , 3 875 , 3 965 , 4 964 , 3 840 , 3 114
Michoacán , 12 300 , 1 143 , 1 030 ,  994 , 1 072 , 1 248 , 1 117 , 1 211 ,  968 ,  874 , 1 154 ,  818 ,  671
Morelos , 11 384 ,  901 ,  882 ,  976 , 1 001 , 1 152 ,  879 , 1 129 ,  886 ,  865 , 1 127 ,  863 ,  723
Nayarit , 3 679 ,  370 ,  335 ,  362 ,  351 ,  472 ,  320 ,  214 ,  291 ,  236 ,  299 ,  199 ,  230
Nuevo León , 15 954 , 1 357 , 1 179 , 1 180 , 1 261 , 1 641 , 1 247 , 1 511 , 1 625 , 1 423 , 1 561 , 1 049 ,  920
Oaxaca , 11 581 , 1 039 ,  880 ,  771 ,  983 , 1 043 ,  891 , 1 192 , 1 057 , 1 014 , 1 130 ,  950 ,  631
Puebla , 13 460 ,  775 , 1 069 , 1 126 , 1 160 , 1 374 , 1 086 , 1 276 , 1 102 , 1 103 , 1 307 , 1 220 ,  862
Querétaro , 4 877 ,  490 ,  367 ,  365 ,  419 ,  482 ,  396 ,  459 ,  340 ,  349 ,  496 ,  356 ,  358
Quintana Roo , 3 444 ,  306 ,  293 ,  238 ,  276 ,  388 ,  287 ,  318 ,  266 ,  287 ,  331 ,  233 ,  221
San Luis Potosí , 11 148 ,  915 ,  875 ,  935 ,  998 , 1 177 ,  958 , 1 132 ,  984 ,  876 ,  953 ,  710 ,  635
Sinaloa , 17 610 , 1 507 , 1 452 , 1 336 , 1 450 , 1 612 , 1 451 , 1 860 , 1 626 , 1 374 , 1 692 , 1 291 ,  959
Sonora , 10 043 ,  991 ,  863 ,  754 ,  835 ,  953 ,  856 , 1 054 ,  766 ,  747 ,  993 ,  706 ,  525
Tabasco , 7 506 ,  752 ,  725 ,  582 ,  614 ,  733 ,  603 ,  727 ,  579 ,  602 ,  725 ,  534 ,  330
Tamaulipas , 14 002 , 1 341 , 1 238 , 1 150 , 1 238 , 1 468 , 1 151 , 1 241 , 1 067 , 1 038 , 1 222 ,  933 ,  915
Tlaxcala , 3 635 ,  386 ,  351 ,  293 ,  384 ,  359 ,  252 ,  320 ,  279 ,  237 ,  330 ,  254 ,  190
Veracruz , 25 312 , 2 436 , 2 055 , 1 927 , 2 096 , 2 466 , 2 137 , 2 694 , 2 008 , 1 890 , 2 305 , 1 931 , 1 367
Yucatán , 5 590 ,  718 ,  482 ,  486 ,  487 ,  523 ,  422 ,  475 ,  460 ,  399 ,  464 ,  360 ,  314
Zacatecas , 4 129 ,  358 ,  298 ,  320 ,  373 ,  419 ,  389 ,  392 ,  280 ,  310 ,  395 ,  286 ,  309
TOTAL GLOBAL , 397 192 , 37 118 , 32 771 , 31 006 , 34 256 , 40 346 , 32 540 , 38 615 , 32 213 , 30 395 , 37 218 , 28 070 , 22 644
