Estado ,Tasa* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,302.01 ,1491 ,108 ,85 ,97 ,99 ,95 ,93 ,176 ,129 ,160 ,173 ,144 ,132
Baja California ,339.24 ,4804 ,436 ,311 ,369 ,408 ,322 ,326 ,474 ,419 ,390 ,543 ,400 ,406
Baja California Sur ,382.97 ,936 ,72 ,56 ,82 ,85 ,87 ,96 ,93 ,69 ,47 ,83 ,82 ,84
Campeche ,205.49 ,781 ,79 ,86 ,54 ,53 ,75 ,60 ,108 ,59 ,57 ,78 ,39 ,33
Coahuila ,492.51 ,6147 ,563 ,550 ,447 ,702 ,532 ,419 ,649 ,530 ,394 ,480 ,438 ,443
Colima ,200.52 ,579 ,77 ,39 ,42 ,34 ,45 ,39 ,48 ,29 ,51 ,72 ,47 ,56
Chiapas ,192.89 ,4169 ,350 ,264 ,282 ,410 ,325 ,358 ,421 ,345 ,420 ,419 ,345 ,230
Chihuahua ,301.36 ,5050 ,517 ,382 ,534 ,424 ,375 ,402 ,469 ,361 ,372 ,448 ,341 ,425
Distrito Federal ,400.30 ,17221 ,1721 ,1516 ,1437 ,1508 ,1285 ,1428 ,1656 ,1279 ,1295 ,1550 ,1313 ,1233
Durango ,562.08 ,4318 ,390 ,344 ,363 ,398 ,343 ,332 ,380 ,382 ,301 ,375 ,363 ,347
Guanajuato ,267.61 ,6499 ,618 ,511 ,581 ,629 ,493 ,515 ,558 ,479 ,495 ,536 ,540 ,544
Guerrero ,360.68 ,5802 ,521 ,382 ,430 ,672 ,468 ,456 ,501 ,436 ,508 ,594 ,479 ,355
Hidalgo ,186.66 ,2158 ,183 ,191 ,199 ,218 ,197 ,185 ,181 ,152 ,158 ,193 ,155 ,146
Jalisco ,354.25 ,11796 ,798 ,867 ,989 ,1165 ,960 ,1061 ,1133 ,829 ,937 ,1168 ,913 ,976
México ,215.60 ,15320 ,1501 ,1214 ,1237 ,1302 ,1213 ,1203 ,1264 ,1129 ,1244 ,1574 ,1299 ,1140
Michoacán ,203.74 ,4186 ,370 ,320 ,316 ,407 ,350 ,361 ,442 ,319 ,311 ,425 ,251 ,314
Morelos ,493.10 ,4114 ,299 ,281 ,286 ,348 ,303 ,302 ,387 ,347 ,298 ,398 ,367 ,498
Nayarit ,320.76 ,1595 ,131 ,90 ,140 ,141 ,139 ,127 ,148 ,156 ,140 ,152 ,122 ,109
Nuevo León ,283.33 ,5867 ,460 ,457 ,572 ,606 ,504 ,444 ,539 ,460 ,467 ,579 ,398 ,381
Oaxaca ,178.35 ,3217 ,278 ,282 ,238 ,222 ,296 ,229 ,275 ,269 ,293 ,299 ,233 ,303
Puebla ,226.73 ,6067 ,459 ,456 ,484 ,537 ,529 ,475 ,507 ,490 ,457 ,629 ,545 ,499
Querétaro ,238.63 ,1830 ,185 ,126 ,120 ,136 ,156 ,140 ,185 ,149 ,129 ,170 ,164 ,170
Quintana Roo ,134.57 ,705 ,79 ,64 ,60 ,69 ,56 ,57 ,70 ,51 ,44 ,67 ,42 ,46
San Luis Potosi ,327.80 ,3860 ,289 ,248 ,231 ,341 ,301 ,397 ,412 ,293 ,327 ,402 ,316 ,303
Sinaloa ,295.19 ,4074 ,327 ,307 ,287 ,337 ,292 ,338 ,438 ,404 ,307 ,366 ,373 ,298
Sonora ,285.20 ,3489 ,289 ,249 ,289 ,257 ,285 ,309 ,384 ,304 ,266 ,374 ,253 ,230
Tabasco ,292.32 ,2971 ,217 ,194 ,214 ,279 ,251 ,332 ,295 ,215 ,204 ,300 ,227 ,243
Tamaulipas ,367.20 ,5632 ,441 ,381 ,556 ,540 ,424 ,444 ,537 ,433 ,502 ,599 ,426 ,349
Tlaxcala ,220.15 ,1135 ,113 ,97 ,100 ,133 ,100 ,72 ,100 ,102 ,74 ,87 ,70 ,87
Veracruz ,184.84 ,6644 ,471 ,430 ,595 ,735 ,515 ,575 ,697 ,587 ,571 ,615 ,450 ,403
Yucatán ,331.64 ,2915 ,205 ,212 ,187 ,277 ,220 ,209 ,289 ,248 ,217 ,310 ,279 ,262
Zacatecas ,260.76 ,1799 ,171 ,140 ,161 ,185 ,125 ,164 ,178 ,136 ,120 ,178 ,138 ,103
TOTAL GLOBAL ,283.87 ,147171 ,12718 ,11132 ,11979 ,13657 ,11661 ,11948 ,13994 ,11590 ,11556 ,14236 ,11552 ,11148
