Estado ,Incidencia* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,255.15 ,1 375 ,231 ,152 ,108 ,122 ,120 ,93 ,120 ,61 ,84 ,107 ,86 ,91
Baja California ,306.48 ,4 772 ,491 ,414 ,376 ,456 ,380 ,367 ,448 ,341 ,394 ,465 ,358 ,282
Baja California Sur ,381.43 ,1 072 ,84 ,105 ,87 ,101 ,73 ,86 ,121 ,94 ,89 ,82 ,75 ,75
Campeche ,235.85 ,911 ,134 ,79 ,79 ,89 ,83 ,70 ,79 ,54 ,69 ,77 ,45 ,53
Coahuila ,436.84 ,5 627 ,601 ,458 ,547 ,607 ,431 ,455 ,514 ,444 ,398 ,476 ,385 ,311
Colima ,359.19 ,1 055 ,85 ,69 ,98 ,95 ,91 ,87 ,100 ,93 ,92 ,119 ,72 ,54
Chiapas ,215.38 ,4 687 ,367 ,410 ,356 ,514 ,348 ,380 ,516 ,401 ,350 ,403 ,358 ,284
Chihuahua ,357.41 ,6 043 ,494 ,481 ,469 ,540 ,453 ,471 ,562 ,503 ,495 ,609 ,502 ,464
Distrito Federal ,379.43 ,16 203 ,1 510 ,1 332 ,1 369 ,1 665 ,1 277 ,1 430 ,1 558 ,1 220 ,1 310 ,1 437 ,1 175 ,920
Durango ,370.92 ,2 811 ,287 ,236 ,250 ,252 ,255 ,201 ,255 ,206 ,216 ,245 ,222 ,186
Guanajuato ,239.73 ,5 724 ,692 ,510 ,551 ,593 ,433 ,523 ,472 ,417 ,422 ,492 ,352 ,267
Guerrero ,364.88 ,5 556 ,414 ,388 ,413 ,583 ,483 ,449 ,502 ,407 ,456 ,582 ,489 ,390
Hidalgo ,219.17 ,2 530 ,215 ,192 ,209 ,263 ,205 ,198 ,254 ,217 ,218 ,228 ,178 ,153
Jalisco ,399.02 ,13 563 ,1 144 ,1 112 ,1 156 ,1 341 ,1 055 ,1 079 ,1 256 ,1 051 ,1 068 ,1 333 ,1 050 ,918
México ,271.80 ,19 555 ,1 824 ,1 462 ,1 457 ,1 700 ,1 562 ,1 718 ,1 972 ,1 513 ,1 585 ,1 910 ,1 533 ,1 319
Michoacán ,262.67 ,5 038 ,457 ,425 ,349 ,406 ,518 ,445 ,451 ,397 ,466 ,466 ,336 ,322
Morelos ,580.57 ,4 676 ,506 ,383 ,358 ,482 ,327 ,322 ,531 ,548 ,266 ,384 ,304 ,265
Nayarit ,311.89 ,1 497 ,122 ,124 ,106 ,151 ,171 ,103 ,157 ,121 ,103 ,118 ,127 ,94
Nuevo León ,314.46 ,6 865 ,595 ,844 ,521 ,538 ,471 ,573 ,699 ,524 ,598 ,615 ,457 ,430
Oaxaca ,271.84 ,4 626 ,433 ,333 ,331 ,472 ,390 ,383 ,418 ,396 ,412 ,395 ,391 ,272
Puebla ,243.40 ,6 513 ,714 ,618 ,596 ,665 ,545 ,518 ,604 ,442 ,482 ,516 ,428 ,385
Querétaro ,211.01 ,1 715 ,156 ,109 ,117 ,161 ,127 ,128 ,183 ,155 ,141 ,173 ,151 ,114
Quintana Roo ,165.93 ,1 026 ,77 ,76 ,88 ,112 ,86 ,96 ,84 ,67 ,70 ,108 ,90 ,72
San Luis Potosí ,309.90 ,3 709 ,320 ,309 ,265 ,325 ,325 ,305 ,400 ,257 ,356 ,302 ,290 ,255
Sinaloa ,451.93 ,6 017 ,569 ,503 ,467 ,611 ,474 ,474 ,551 ,470 ,512 ,568 ,443 ,375
Sonora ,259.27 ,3 239 ,301 ,262 ,320 ,308 ,266 ,253 ,332 ,275 ,225 ,285 ,213 ,199
Tabasco ,340.60 ,3 411 ,221 ,227 ,265 ,314 ,283 ,296 ,381 ,328 ,308 ,326 ,263 ,199
Tamaulipas ,361.33 ,5 635 ,520 ,477 ,459 ,660 ,559 ,450 ,573 ,412 ,456 ,453 ,363 ,253
Tlaxcala ,263.28 ,1 415 ,126 ,120 ,124 ,131 ,90 ,99 ,136 ,145 ,121 ,141 ,91 ,91
Veracruz ,229.03 ,8 004 ,667 ,621 ,640 ,724 ,621 ,696 ,785 ,699 ,650 ,778 ,635 ,488
Yucatán ,391.93 ,3 655 ,306 ,272 ,272 ,292 ,281 ,301 ,360 ,319 ,334 ,401 ,262 ,255
Zacatecas ,230.36 ,1 543 ,138 ,123 ,126 ,149 ,124 ,153 ,153 ,110 ,114 ,148 ,126 ,79
TOTAL GLOBAL ,307.43 ,160 068 ,14 801 ,13 226 ,12 929 ,15 422 ,12 907 ,13 202 ,15 527 ,12 687 ,12 860 ,14 742 ,11 850 ,9 915
