Estado ,Incidencia* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,386.21 ,2 229 ,159 ,196 ,164 ,236 ,152 ,165 ,200 ,166 ,218 ,183 ,187 ,203
Baja California ,476.78 ,7 031 ,489 ,506 ,504 ,807 ,601 ,593 ,782 ,523 ,597 ,530 ,488 ,611
Baja California Sur ,523.14 ,1 375 ,60 ,95 ,86 ,141 ,113 ,111 ,156 ,124 ,142 ,131 ,100 ,116
Campeche ,294.65 ,1 169 ,105 ,84 ,72 ,122 ,57 ,76 ,111 ,57 ,95 ,113 ,114 ,163
Coahuila ,591.58 ,7 695 ,510 ,537 ,556 ,903 ,594 ,646 ,712 ,582 ,749 ,566 ,648 ,692
Colima ,418.60 ,1 237 ,86 ,101 ,102 ,114 ,111 ,82 ,116 ,95 ,120 ,74 ,97 ,139
Chiapas ,313.10 ,7 092 ,458 ,537 ,614 ,760 ,602 ,602 ,651 ,513 ,710 ,547 ,501 ,597
Chihuahua ,608.84 ,10 052 ,680 ,773 ,761 ,1 083 ,810 ,777 ,970 ,728 ,834 ,800 ,810 ,1 026
Distrito Federal ,444.44 ,20 285 ,1 476 ,1 647 ,1 735 ,2 322 ,1 616 ,1 737 ,1 812 ,1 424 ,1 845 ,1 380 ,1 348 ,1 943
Durango ,492.96 ,3 867 ,342 ,334 ,278 ,443 ,307 ,271 ,354 ,300 ,343 ,315 ,294 ,286
Guanajuato ,359.36 ,9 438 ,660 ,805 ,802 ,927 ,713 ,812 ,914 ,653 ,813 ,840 ,652 ,847
Guerrero ,496.37 ,8 081 ,693 ,772 ,715 ,874 ,587 ,672 ,738 ,534 ,678 ,586 ,556 ,676
Hidalgo ,347.21 ,4 345 ,274 ,325 ,295 ,462 ,363 ,431 ,416 ,328 ,387 ,355 ,310 ,399
Jalisco ,549.81 ,19 428 ,1 507 ,1 682 ,1 589 ,2 089 ,1 404 ,1 643 ,2 106 ,1 330 ,1 613 ,1 438 ,1 333 ,1 694
México ,401.73 ,29 481 ,2 019 ,2 352 ,2 210 ,3 008 ,2 300 ,2 382 ,2 928 ,2 270 ,2 644 ,2 392 ,2 283 ,2 693
Michoacán ,354.01 ,7 326 ,547 ,553 ,525 ,751 ,614 ,552 ,676 ,566 ,661 ,571 ,579 ,731
Morelos ,757.42 ,6 438 ,490 ,560 ,494 ,583 ,493 ,451 ,615 ,471 ,644 ,550 ,514 ,573
Nayarit ,415.27 ,2 019 ,227 ,184 ,107 ,194 ,127 ,151 ,198 ,165 ,240 ,156 ,144 ,126
Nuevo León ,407.65 ,8 897 ,572 ,715 ,697 ,1 090 ,718 ,678 ,808 ,601 ,700 ,666 ,676 ,976
Oaxaca ,398.54 ,7 395 ,595 ,612 ,545 ,736 ,526 ,671 ,735 ,508 ,642 ,590 ,549 ,686
Puebla ,380.44 ,11 019 ,720 ,869 ,782 ,1 241 ,812 ,983 ,1 084 ,839 ,966 ,900 ,759 ,1 064
Querétaro ,291.27 ,2 513 ,208 ,208 ,196 ,269 ,191 ,197 ,224 ,169 ,214 ,221 ,173 ,243
Quintana Roo ,264.86 ,1 661 ,126 ,119 ,127 ,177 ,137 ,148 ,147 ,110 ,156 ,114 ,127 ,173
San Luis Potosí ,483.48 ,6 158 ,472 ,573 ,474 ,701 ,537 ,522 ,512 ,443 ,531 ,481 ,410 ,502
Sinaloa ,693.26 ,9 116 ,635 ,755 ,719 ,1 031 ,709 ,736 ,841 ,681 ,789 ,742 ,660 ,818
Sonora ,437.07 ,5 360 ,508 ,477 ,412 ,621 ,358 ,393 ,491 ,356 ,489 ,402 ,400 ,453
Tabasco ,455.07 ,4 710 ,276 ,456 ,310 ,593 ,445 ,493 ,420 ,297 ,439 ,319 ,344 ,318
Tamaulipas ,459.09 ,7 236 ,513 ,557 ,515 ,739 ,586 ,605 ,692 ,595 ,641 ,635 ,535 ,623
Tlaxcala ,405.49 ,2 336 ,157 ,170 ,163 ,246 ,193 ,165 ,219 ,192 ,228 ,161 ,184 ,258
Veracruz ,370.50 ,13 955 ,1 017 ,1 106 ,1 075 ,1 533 ,1 090 ,1 291 ,1 416 ,1 082 ,1 127 ,976 ,987 ,1 255
Yucatán ,620.34 ,5 920 ,447 ,491 ,502 ,598 ,469 ,483 ,523 ,445 ,512 ,414 ,412 ,624
Zacatecas ,353.12 ,2 518 ,133 ,189 ,158 ,230 ,160 ,224 ,264 ,162 ,249 ,234 ,210 ,305
TOTAL GLOBAL ,437.84 ,237 382 ,17 161 ,19 340 ,18 284 ,25 624 ,18 495 ,19 743 ,22 831 ,17 309 ,21 016 ,18 382 ,17 384 ,21 813
