Estado ,Total ,ENE ,FEB ,MAR ,ABR ,MAY ,JUN ,JUL ,AGO ,SEP ,OCT ,NOV ,DIC
Aguascalientes , 3 086 ,  101 ,  110 ,  190 ,  166 ,  168 ,  351 ,  271 ,  400 ,  382 ,  336 ,  274 ,  337
Baja California , 8 023 ,  643 ,  639 ,  740 ,  646 ,  645 ,  817 ,  600 ,  672 ,  746 ,  633 ,  624 ,  618
Baja California Sur ,  977 ,  99 ,  86 ,  112 ,  88 ,  81 ,  101 ,  75 ,  73 ,  87 ,  72 ,  54 ,  49
Campeche , 1 419 ,  55 ,  95 ,  177 ,  138 ,  141 ,  125 ,  115 ,  95 ,  131 ,  102 ,  81 ,  164
Coahuila , 8 197 ,  833 ,  716 ,  934 ,  826 ,  707 ,  758 ,  564 ,  403 ,  729 ,  610 ,  553 ,  564
Colima ,  904 ,  83 ,  75 ,  87 ,  79 ,  70 ,  97 ,  77 ,  77 ,  62 ,  56 ,  64 ,  77
Chiapas , 8 112 ,  593 ,  648 ,  804 ,  718 ,  652 ,  727 ,  617 ,  567 ,  760 ,  710 ,  745 ,  571
Chihuahua , 11 396 ,  886 ,  900 , 1 041 , 1 011 ,  976 , 1 334 ,  977 ,  921 ,  959 ,  838 ,  769 ,  784
Distrito Federal , 18 949 , 1 517 , 1 572 , 1 841 , 1 557 , 1 508 , 1 865 , 1 419 , 1 476 , 1 827 , 1 473 , 1 418 , 1 476
Durango , 5 212 ,  418 ,  400 ,  466 ,  470 ,  421 ,  506 ,  321 ,  415 ,  549 ,  477 ,  362 ,  407
Guanajuato , 9 480 ,  797 ,  794 ,  989 ,  934 ,  765 ,  913 ,  664 ,  685 ,  836 ,  756 ,  675 ,  672
Guerrero , 8 105 ,  589 ,  643 ,  721 ,  680 ,  634 ,  902 ,  629 ,  687 ,  700 ,  834 ,  537 ,  549
Hidalgo , 4 398 ,  299 ,  333 ,  456 ,  345 ,  419 ,  535 ,  331 ,  326 ,  404 ,  303 ,  342 ,  305
Jalisco , 17 727 , 1 368 , 1 403 , 1 665 , 1 400 , 1 445 , 1 681 , 1 382 , 1 405 , 1 653 , 1 427 , 1 501 , 1 397
México , 33 903 , 2 735 , 2 646 , 3 596 , 2 825 , 2 444 , 3 716 , 2 570 , 2 497 , 3 009 , 2 762 , 2 609 , 2 494
Michoacán , 8 701 ,  669 ,  623 ,  730 ,  712 ,  594 ,  831 ,  675 ,  720 ,  830 ,  726 ,  796 ,  795
Morelos , 5 639 ,  428 ,  500 ,  603 ,  493 ,  381 ,  583 ,  431 ,  395 ,  498 ,  444 ,  481 ,  402
Nayarit , 2 075 ,  137 ,  190 ,  200 ,  181 ,  164 ,  230 ,  180 ,  167 ,  131 ,  168 ,  153 ,  174
Nuevo León , 8 903 ,  711 ,  774 ,  856 ,  857 ,  757 ,  780 ,  651 ,  643 ,  724 ,  725 ,  832 ,  593
Oaxaca , 8 176 ,  614 ,  681 ,  782 ,  636 ,  580 ,  860 ,  628 ,  772 ,  727 ,  669 ,  624 ,  603
Puebla , 9 936 ,  740 ,  825 , 1 014 ,  882 ,  799 ,  986 ,  768 ,  800 ,  879 ,  767 ,  743 ,  733
Querétaro , 3 221 ,  258 ,  266 ,  338 ,  270 ,  289 ,  303 ,  209 ,  229 ,  317 ,  277 ,  240 ,  225
Quintana Roo , 1 669 ,  131 ,  138 ,  174 ,  130 ,  119 ,  161 ,  100 ,  147 ,  129 ,  151 ,  136 ,  153
San Luis Potosí , 6 973 ,  526 ,  550 ,  708 ,  582 ,  537 ,  718 ,  518 ,  540 ,  615 ,  523 ,  540 ,  616
Sinaloa , 8 079 ,  716 ,  678 ,  749 ,  767 ,  684 ,  847 ,  650 ,  620 ,  687 ,  652 ,  502 ,  527
Sonora , 5 734 ,  397 ,  489 ,  559 ,  525 ,  486 ,  603 ,  445 ,  486 ,  523 ,  444 ,  396 ,  381
Tabasco , 4 445 ,  344 ,  354 ,  416 ,  391 ,  393 ,  524 ,  345 ,  326 ,  381 ,  362 ,  316 ,  293
Tamaulipas , 8 626 ,  763 ,  755 , 1 018 ,  893 ,  708 ,  703 ,  559 ,  693 ,  732 ,  602 ,  579 ,  621
Tlaxcala , 2 281 ,  169 ,  167 ,  232 ,  223 ,  179 ,  239 ,  148 ,  140 ,  232 ,  192 ,  167 ,  193
Veracruz , 14 686 , 1 080 , 1 311 , 1 416 , 1 096 , 1 128 , 1 477 , 1 164 , 1 220 , 1 319 , 1 164 , 1 183 , 1 128
Yucatán , 4 965 ,  404 ,  390 ,  482 ,  425 ,  425 ,  496 ,  390 ,  434 ,  415 ,  378 ,  327 ,  399
Zacatecas , 2 528 ,  208 ,  206 ,  247 ,  215 ,  206 ,  247 ,  220 ,  181 ,  227 ,  203 ,  168 ,  200
TOTAL GLOBAL , 246 525 , 19 311 , 19 957 , 24 343 , 21 161 , 19 505 , 25 016 , 18 693 , 19 212 , 22 200 , 19 836 , 18 791 , 18 500
