Estado,"","","","","","","","","","","","",""
"",Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes , 3 365 ,  238 ,  295 ,  383 ,  228 ,  228 ,  328 ,  241 ,  344 ,  252 ,  243 ,  341 ,  244
Baja California , 9 309 ,  662 ,  727 ,  937 ,  727 ,  709 ,  998 ,  745 ,  980 ,  730 ,  767 ,  814 ,  513
Baja California Sur ,  976 ,  61 ,  48 ,  91 ,  63 ,  70 ,  120 ,  86 ,  102 ,  88 ,  89 ,  88 ,  70
Campeche , 1 432 ,  116 ,  128 ,  148 ,  114 ,  124 ,  182 ,  103 ,  165 ,  115 ,  81 ,  94 ,  62
Coahuila , 7 630 ,  603 ,  470 ,  617 ,  426 ,  586 ,  829 ,  660 ,  803 ,  718 ,  747 ,  774 ,  397
Colima ,  976 ,  47 ,  89 ,  115 ,  88 ,  97 ,  128 ,  84 ,  109 ,  58 ,  53 ,  72 ,  36
Chiapas , 8 371 ,  704 ,  762 ,  866 ,  645 ,  671 ,  855 ,  587 ,  865 ,  689 ,  559 ,  735 ,  433
Chihuahua , 10 718 ,  961 ,  827 , 1 149 ,  819 ,  813 ,  992 ,  842 , 1 033 ,  723 ,  860 ,  987 ,  712
Distrito Federal , 16 798 , 1 488 , 1 644 , 1 835 , 1 319 , 1 276 , 1 651 , 1 255 , 1 373 , 1 298 , 1 259 , 1 451 ,  949
Durango , 5 434 ,  427 ,  556 ,  640 ,  520 ,  530 ,  568 ,  462 ,  433 ,  276 ,  314 ,  447 ,  261
Guanajuato , 9 283 ,  710 ,  757 ,  972 ,  676 ,  769 ,  997 ,  736 ,  933 ,  673 ,  748 ,  779 ,  533
Guerrero , 8 570 ,  654 ,  692 ,  987 ,  644 ,  726 ,  832 ,  644 ,  886 ,  605 ,  659 ,  792 ,  449
Hidalgo , 5 110 ,  332 ,  401 ,  488 ,  390 ,  558 ,  496 ,  367 ,  468 ,  375 ,  476 ,  501 ,  258
Jalisco , 19 031 , 1 441 , 1 440 , 2 145 , 1 439 , 1 539 , 1 993 , 1 503 , 1 857 , 1 393 , 1 515 , 1 670 , 1 096
México , 34 135 , 2 547 , 2 509 , 3 487 , 2 354 , 2 218 , 3 171 , 2 494 , 3 809 , 2 976 , 2 890 , 3 530 , 2 150
Michoacán , 7 495 ,  587 ,  679 ,  668 ,  612 ,  663 ,  783 ,  568 ,  695 ,  589 ,  637 ,  643 ,  371
Morelos , 6 513 ,  444 ,  536 ,  955 ,  606 ,  592 ,  554 ,  450 ,  534 ,  410 ,  501 ,  579 ,  352
Nayarit , 2 354 ,  156 ,  212 ,  248 ,  198 ,  172 ,  199 ,  178 ,  290 ,  225 ,  157 ,  189 ,  130
Nuevo León , 9 708 ,  815 ,  837 , 1 177 ,  633 ,  723 ,  968 ,  761 ,  942 ,  674 ,  795 ,  937 ,  446
Oaxaca , 7 444 ,  770 ,  758 ,  897 ,  533 ,  529 ,  785 ,  500 ,  745 ,  566 ,  560 ,  520 ,  281
Puebla , 10 114 ,  659 ,  859 , 1 061 ,  739 ,  792 ,  901 ,  828 ,  943 ,  840 ,  881 ,  982 ,  629
Querétaro , 2 851 ,  234 ,  250 ,  293 ,  178 ,  201 ,  248 ,  208 ,  249 ,  239 ,  293 ,  305 ,  153
Quintana Roo , 1 921 ,  122 ,  151 ,  195 ,  141 ,  180 ,  221 ,  160 ,  187 ,  145 ,  152 ,  160 ,  107
San Luis Potosí , 7 348 ,  591 ,  664 ,  872 ,  546 ,  561 ,  775 ,  613 ,  735 ,  542 ,  528 ,  562 ,  359
Sinaloa , 9 441 ,  666 ,  660 ,  898 ,  715 ,  764 , 1 033 ,  760 ,  968 ,  781 ,  851 ,  832 ,  513
Sonora , 5 882 ,  381 ,  476 ,  687 ,  466 ,  486 ,  577 ,  502 ,  581 ,  389 ,  479 ,  501 ,  357
Tabasco , 4 721 ,  341 ,  405 ,  514 ,  329 ,  365 ,  554 ,  346 ,  474 ,  337 ,  377 ,  404 ,  275
Tamaulipas , 7 934 ,  585 ,  564 ,  881 ,  577 ,  634 ,  849 ,  713 ,  852 ,  593 ,  587 ,  671 ,  428
Tlaxcala , 2 151 ,  148 ,  172 ,  224 ,  166 ,  168 ,  203 ,  147 ,  220 ,  164 ,  213 ,  197 ,  129
Veracruz , 16 250 , 1 239 , 1 493 , 1 822 , 1 390 , 1 385 , 1 744 , 1 210 , 1 601 , 1 087 , 1 141 , 1 312 ,  826
Yucatán , 3 875 ,  303 ,  361 ,  442 ,  320 ,  294 ,  452 ,  331 ,  366 ,  244 ,  260 ,  269 ,  233
Zacatecas , 3 094 ,  199 ,  271 ,  339 ,  213 ,  241 ,  328 ,  281 ,  363 ,  233 ,  252 ,  249 ,  125
TOTAL GLOBAL , 250 234 , 19 231 , 20 693 , 27 033 , 18 814 , 19 664 , 25 314 , 19 365 , 24 905 , 19 027 , 19 924 , 22 387 , 13 877
