"","",Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes , 3 983 ,  383 ,  312 ,  286 ,  305 ,  387 ,  307 ,  352 ,  326 ,  304 ,  409 ,  332 ,  280
Baja California , 9 934 ,  790 ,  660 ,  610 ,  803 ,  957 ,  759 , 1 226 , 1 214 ,  775 , 1 010 ,  627 ,  503
Baja California Sur , 1 121 ,  105 ,  89 ,  77 ,  109 ,  138 ,  99 ,  121 ,  97 ,  69 ,  89 ,  72 ,  56
Campeche , 1 217 ,  73 ,  82 ,  96 ,  143 ,  142 ,  112 ,  107 ,  90 ,  120 ,  122 ,  69 ,  61
Coahuila , 6 352 ,  674 ,  545 ,  500 ,  376 ,  622 ,  509 ,  597 ,  579 ,  565 ,  641 ,  363 ,  381
Colima ,  904 ,  71 ,  51 ,  68 ,  72 ,  104 ,  75 ,  105 ,  81 ,  82 ,  77 ,  62 ,  56
Chiapas , 7 362 ,  649 ,  628 ,  613 ,  643 ,  728 ,  642 ,  676 ,  639 ,  539 ,  743 ,  493 ,  369
Chihuahua , 8 607 , 1 016 ,  733 ,  659 ,  788 ,  907 ,  607 ,  791 ,  599 ,  584 ,  848 ,  614 ,  461
Distrito Federal , 14 874 , 1 311 , 1 139 , 1 077 , 1 171 , 1 413 , 1 214 , 1 498 , 1 255 , 1 296 , 1 420 , 1 183 ,  897
Durango , 4 340 ,  287 ,  276 ,  327 ,  369 ,  443 ,  342 ,  456 ,  389 ,  503 ,  410 ,  314 ,  224
Guanajuato , 7 914 ,  863 ,  633 ,  528 ,  671 ,  781 ,  737 ,  784 ,  621 ,  532 ,  763 ,  530 ,  471
Guerrero , 8 345 ,  815 ,  784 ,  700 ,  607 ,  791 ,  818 ,  813 ,  680 ,  582 ,  706 ,  540 ,  509
Hidalgo , 5 442 ,  525 ,  458 ,  429 ,  520 ,  534 ,  484 ,  580 ,  435 ,  375 ,  499 ,  340 ,  263
Jalisco , 15 059 , 1 496 , 1 371 , 1 192 , 1 315 , 1 492 , 1 165 , 1 407 , 1 053 , 1 103 , 1 414 , 1 181 ,  870
México , 32 578 , 3 031 , 2 926 , 2 747 , 3 134 , 3 481 , 2 720 , 3 054 , 2 301 , 2 294 , 2 840 , 2 236 , 1 814
Michoacán , 7 165 ,  654 ,  598 ,  587 ,  616 ,  736 ,  663 ,  718 ,  554 ,  497 ,  676 ,  472 ,  394
Morelos , 6 478 ,  518 ,  507 ,  594 ,  590 ,  628 ,  498 ,  628 ,  512 ,  476 ,  632 ,  489 ,  406
Nayarit , 2 144 ,  223 ,  193 ,  236 ,  174 ,  267 ,  190 ,  139 ,  157 ,  145 ,  171 ,  112 ,  137
Nuevo León , 8 895 ,  739 ,  645 ,  679 ,  715 ,  883 ,  695 ,  869 ,  911 ,  791 ,  909 ,  567 ,  492
Oaxaca , 7 300 ,  640 ,  558 ,  471 ,  630 ,  666 ,  575 ,  740 ,  692 ,  649 ,  701 ,  559 ,  419
Puebla , 8 107 ,  460 ,  644 ,  675 ,  715 ,  824 ,  679 ,  772 ,  665 ,  643 ,  798 ,  722 ,  510
Querétaro , 2 833 ,  286 ,  216 ,  199 ,  235 ,  288 ,  238 ,  263 ,  209 ,  189 ,  294 ,  224 ,  192
Quintana Roo , 2 034 ,  173 ,  167 ,  144 ,  165 ,  226 ,  181 ,  181 ,  146 ,  159 ,  204 ,  157 ,  131
San Luis Potosí , 6 575 ,  540 ,  509 ,  540 ,  624 ,  685 ,  552 ,  667 ,  606 ,  527 ,  558 ,  408 ,  359
Sinaloa , 10 520 ,  919 ,  858 ,  791 ,  868 ,  970 ,  887 , 1 087 ,  961 ,  817 , 1 018 ,  759 ,  585
Sonora , 5 740 ,  580 ,  484 ,  421 ,  466 ,  543 ,  483 ,  602 ,  448 ,  428 ,  569 ,  417 ,  299
Tabasco , 4 407 ,  430 ,  443 ,  362 ,  359 ,  436 ,  347 ,  423 ,  337 ,  360 ,  419 ,  316 ,  175
Tamaulipas , 7 936 ,  762 ,  701 ,  648 ,  721 ,  842 ,  688 ,  693 ,  567 ,  610 ,  689 ,  521 ,  494
Tlaxcala , 2 078 ,  199 ,  198 ,  171 ,  215 ,  192 ,  160 ,  187 ,  169 ,  136 ,  193 ,  149 ,  109
Veracruz , 15 052 , 1 367 , 1 186 , 1 134 , 1 269 , 1 469 , 1 287 , 1 632 , 1 178 , 1 170 , 1 424 , 1 116 ,  820
Yucatán , 3 224 ,  423 ,  290 ,  281 ,  287 ,  304 ,  232 ,  271 ,  270 ,  236 ,  256 ,  207 ,  167
Zacatecas , 2 452 ,  206 ,  175 ,  189 ,  235 ,  251 ,  226 ,  225 ,  165 ,  180 ,  249 ,  176 ,  175
TOTAL GLOBAL , 230 972 , 21 208 , 19 059 , 18 031 , 19 910 , 23 130 , 19 171 , 22 664 , 18 906 , 17 736 , 21 751 , 16 327 , 13 079
