"","estado","genero","fecha","edad","casos"
"1","Aguscalientes","General","2003","<1",0
"2","Baja California","General","2003","<1",0
"3","Baja California Sur","General","2003","<1",0
"4","Campeche","General","2003","<1",0
"5","Coahuila","General","2003","<1",2
"6","Colima","General","2003","<1",0
"7","Chiapas","General","2003","<1",6
"8","Chihuahua","General","2003","<1",1
"9","Distrito Federal","General","2003","<1",0
"10","Durango","General","2003","<1",0
"11","Guanajuato","General","2003","<1",0
"12","Guerrero","General","2003","<1",1
"13","Hidalgo","General","2003","<1",1
"14","Jalisco","General","2003","<1",1
"15","Mexico","General","2003","<1",22
"16","Michoacan","General","2003","<1",0
"17","Morelos","General","2003","<1",0
"18","Nayarit","General","2003","<1",0
"19","Nuevo Leon","General","2003","<1",12
"20","Oaxaca","General","2003","<1",0
"21","Puebla","General","2003","<1",5
"22","Queretaro","General","2003","<1",0
"23","Quintana Roo","General","2003","<1",0
"24","San Luis Potosi","General","2003","<1",0
"25","Sinaloa","General","2003","<1",1
"26","Sonora","General","2003","<1",4
"27","Tabasco","General","2003","<1",2
"28","Tamaulipas","General","2003","<1",0
"29","Tlaxcala","General","2003","<1",0
"30","Veracruz","General","2003","<1",0
"31","Yucatan","General","2003","<1",0
"32","Zacatecas","General","2003","<1",0
"33","Aguscalientes","General","2004","<1",0
"34","Baja California","General","2004","<1",0
"35","Baja California Sur","General","2004","<1",0
"36","Campeche","General","2004","<1",0
"37","Coahuila","General","2004","<1",8
"38","Colima","General","2004","<1",0
"39","Chiapas","General","2004","<1",5
"40","Chihuahua","General","2004","<1",0
"41","Distrito Federal","General","2004","<1",0
"42","Durango","General","2004","<1",0
"43","Guanajuato","General","2004","<1",0
"44","Guerrero","General","2004","<1",0
"45","Hidalgo","General","2004","<1",0
"46","Jalisco","General","2004","<1",22
"47","Mexico","General","2004","<1",21
"48","Michoacan","General","2004","<1",0
"49","Morelos","General","2004","<1",0
"50","Nayarit","General","2004","<1",0
"51","Nuevo Leon","General","2004","<1",11
"52","Oaxaca","General","2004","<1",0
"53","Puebla","General","2004","<1",56
"54","Queretaro","General","2004","<1",0
"55","Quintana Roo","General","2004","<1",0
"56","San Luis Potosi","General","2004","<1",0
"57","Sinaloa","General","2004","<1",0
"58","Sonora","General","2004","<1",0
"59","Tabasco","General","2004","<1",0
"60","Tamaulipas","General","2004","<1",37
"61","Tlaxcala","General","2004","<1",0
"62","Veracruz","General","2004","<1",4
"63","Yucatan","General","2004","<1",0
"64","Zacatecas","General","2004","<1",0
"65","Aguscalientes","General","2005","<1",0
"66","Baja California","General","2005","<1",5
