"","estado","genero","fecha","fuente","casos"
"1","Aguscalientes","General","2003","salud",1859
"2","Baja California","General","2003","salud",2443
"3","Baja California Sur","General","2003","salud",646
"4","Campeche","General","2003","salud",1188
"5","Coahuila","General","2003","salud",1346
"6","Colima","General","2003","salud",802
"7","Chiapas","General","2003","salud",3959
"8","Chihuahua","General","2003","salud",1707
"9","Distrito Federal","General","2003","salud",16112
"10","Durango","General","2003","salud",2116
"11","Guanajuato","General","2003","salud",8456
"12","Guerrero","General","2003","salud",6823
"13","Hidalgo","General","2003","salud",3107
"14","Jalisco","General","2003","salud",7080
"15","Mexico","General","2003","salud",13591
"16","Michoacan","General","2003","salud",4721
"17","Morelos","General","2003","salud",2566
"18","Nayarit","General","2003","salud",1275
"19","Nuevo Leon","General","2003","salud",4284
"20","Oaxaca","General","2003","salud",3545
"21","Puebla","General","2003","salud",3578
"22","Queretaro","General","2003","salud",1695
"23","Quintana Roo","General","2003","salud",734
"24","San Luis Potosi","General","2003","salud",2527
"25","Sinaloa","General","2003","salud",2798
"26","Sonora","General","2003","salud",3446
"27","Tabasco","General","2003","salud",2970
"28","Tamaulipas","General","2003","salud",4032
"29","Tlaxcala","General","2003","salud",1387
"30","Veracruz","General","2003","salud",7452
"31","Yucatan","General","2003","salud",1369
"32","Zacatecas","General","2003","salud",1755
"33","Aguscalientes","General","2004","salud",3506
"34","Baja California","General","2004","salud",2816
"35","Baja California Sur","General","2004","salud",661
"36","Campeche","General","2004","salud",1223
"37","Coahuila","General","2004","salud",1764
"38","Colima","General","2004","salud",814
"39","Chiapas","General","2004","salud",4449
"40","Chihuahua","General","2004","salud",1760
"41","Distrito Federal","General","2004","salud",15788
"42","Durango","General","2004","salud",2180
"43","Guanajuato","General","2004","salud",5831
"44","Guerrero","General","2004","salud",6545
"45","Hidalgo","General","2004","salud",3027
"46","Jalisco","General","2004","salud",7687
"47","Mexico","General","2004","salud",13863
"48","Michoacan","General","2004","salud",4530
"49","Morelos","General","2004","salud",2744
"50","Nayarit","General","2004","salud",1268
"51","Nuevo Leon","General","2004","salud",4340
"52","Oaxaca","General","2004","salud",3463
"53","Puebla","General","2004","salud",5431
"54","Queretaro","General","2004","salud",2174
"55","Quintana Roo","General","2004","salud",718
"56","San Luis Potosi","General","2004","salud",3454
"57","Sinaloa","General","2004","salud",3333
"58","Sonora","General","2004","salud",3687
"59","Tabasco","General","2004","salud",3703
"60","Tamaulipas","General","2004","salud",4601
"61","Tlaxcala","General","2004","salud",1320
"62","Veracruz","General","2004","salud",7850
"63","Yucatan","General","2004","salud",1962
"64","Zacatecas","General","2004","salud",1515
"65","Aguscalientes","General","2005","salud",2209
"66","Baja California","General","2005","salud",4337
"67","Baja California Sur","General","2005","salud",690
"68","Campeche","General","2005","salud",1455
"69","Coahuila","General","2005","salud",2128
"70","Colima","General","2005","salud",1069
"71","Chiapas","General","2005","salud",5866
"72","Chihuahua","General","2005","salud",2021
"73","Distrito Federal","General","2005","salud",16818
"74","Durango","General","2005","salud",2770
"75","Guanajuato","General","2005","salud",8370
"76","Guerrero","General","2005","salud",7496
"77","Hidalgo","General","2005","salud",3170
"78","Jalisco","General","2005","salud",7501
"79","Mexico","General","2005","salud",15595
"80","Michoacan","General","2005","salud",4652
"81","Morelos","General","2005","salud",2879
"82","Nayarit","General","2005","salud",1351
"83","Nuevo Leon","General","2005","salud",2815
"84","Oaxaca","General","2005","salud",5258
"85","Puebla","General","2005","salud",5146
"86","Queretaro","General","2005","salud",1912
"87","Quintana Roo","General","2005","salud",667
"88","San Luis Potosi","General","2005","salud",4349
"89","Sinaloa","General","2005","salud",4825
"90","Sonora","General","2005","salud",4150
"91","Tabasco","General","2005","salud",3939
"92","Tamaulipas","General","2005","salud",4839
"93","Tlaxcala","General","2005","salud",1591
"94","Veracruz","General","2005","salud",8503
"95","Yucatan","General","2005","salud",2303
"96","Zacatecas","General","2005","salud",1707
"97","Aguscalientes","General","2006","salud",1780
"98","Baja California","General","2006","salud",4221
"99","Baja California Sur","General","2006","salud",1042
"100","Campeche","General","2006","salud",1133
"101","Coahuila","General","2006","salud",1609
"102","Colima","General","2006","salud",857
"103","Chiapas","General","2006","salud",4365
"104","Chihuahua","General","2006","salud",2929
"105","Distrito Federal","General","2006","salud",16120
"106","Durango","General","2006","salud",1482
"107","Guanajuato","General","2006","salud",9697
"108","Guerrero","General","2006","salud",7103
"109","Hidalgo","General","2006","salud",3260
"110","Jalisco","General","2006","salud",7563
"111","Mexico","General","2006","salud",15747
"112","Michoacan","General","2006","salud",4265
"113","Morelos","General","2006","salud",2826
"114","Nayarit","General","2006","salud",1481
"115","Nuevo Leon","General","2006","salud",2852
"116","Oaxaca","General","2006","salud",5441
"117","Puebla","General","2006","salud",4554
"118","Queretaro","General","2006","salud",1784
"119","Quintana Roo","General","2006","salud",766
"120","San Luis Potosi","General","2006","salud",3774
"121","Sinaloa","General","2006","salud",6295
"122","Sonora","General","2006","salud",2244
"123","Tabasco","General","2006","salud",3773
"124","Tamaulipas","General","2006","salud",5331
"125","Tlaxcala","General","2006","salud",1400
"126","Veracruz","General","2006","salud",8968
"127","Yucatan","General","2006","salud",2255
"128","Zacatecas","General","2006","salud",1722
"129","Aguscalientes","General","2007","salud",1636
"130","Baja California","General","2007","salud",3983
"131","Baja California Sur","General","2007","salud",1082
"132","Campeche","General","2007","salud",1182
"133","Coahuila","General","2007","salud",1374
"134","Colima","General","2007","salud",936
"135","Chiapas","General","2007","salud",5039
"136","Chihuahua","General","2007","salud",3258
"137","Distrito Federal","General","2007","salud",15322
"138","Durango","General","2007","salud",1210
"139","Guanajuato","General","2007","salud",7087
"140","Guerrero","General","2007","salud",6969
"141","Hidalgo","General","2007","salud",3135
"142","Jalisco","General","2007","salud",8613
"143","Mexico","General","2007","salud",18529
"144","Michoacan","General","2007","salud",3786
"145","Morelos","General","2007","salud",2649
"146","Nayarit","General","2007","salud",1481
"147","Nuevo Leon","General","2007","salud",3092
"148","Oaxaca","General","2007","salud",5113
"149","Puebla","General","2007","salud",4054
"150","Queretaro","General","2007","salud",1712
"151","Quintana Roo","General","2007","salud",858
"152","San Luis Potosi","General","2007","salud",4107
"153","Sinaloa","General","2007","salud",6677
"154","Sonora","General","2007","salud",1845
"155","Tabasco","General","2007","salud",4077
"156","Tamaulipas","General","2007","salud",5849
"157","Tlaxcala","General","2007","salud",1536
"158","Veracruz","General","2007","salud",9520
"159","Yucatan","General","2007","salud",2346
"160","Zacatecas","General","2007","salud",1832
"161","Aguscalientes","General","2008","salud",1562
"162","Baja California","General","2008","salud",4347
"163","Baja California Sur","General","2008","salud",757
"164","Campeche","General","2008","salud",1065
"165","Coahuila","General","2008","salud",1350
"166","Colima","General","2008","salud",878
"167","Chiapas","General","2008","salud",4945
"168","Chihuahua","General","2008","salud",3746
"169","Distrito Federal","General","2008","salud",12504
"170","Durango","General","2008","salud",1120
"171","Guanajuato","General","2008","salud",8085
"172","Guerrero","General","2008","salud",5788
"173","Hidalgo","General","2008","salud",3854
"174","Jalisco","General","2008","salud",8320
"175","Mexico","General","2008","salud",19968
"176","Michoacan","General","2008","salud",3708
"177","Morelos","General","2008","salud",2847
"178","Nayarit","General","2008","salud",1266
"179","Nuevo Leon","General","2008","salud",3128
"180","Oaxaca","General","2008","salud",5994
"181","Puebla","General","2008","salud",3900
"182","Queretaro","General","2008","salud",1778
"183","Quintana Roo","General","2008","salud",1147
"184","San Luis Potosi","General","2008","salud",4039
"185","Sinaloa","General","2008","salud",7262
"186","Sonora","General","2008","salud",2265
"187","Tabasco","General","2008","salud",3603
"188","Tamaulipas","General","2008","salud",4405
"189","Tlaxcala","General","2008","salud",1626
"190","Veracruz","General","2008","salud",8859
"191","Yucatan","General","2008","salud",2314
"192","Zacatecas","General","2008","salud",1718
"193","Aguscalientes","General","2009","salud",1558
"194","Baja California","General","2009","salud",4030
"195","Baja California Sur","General","2009","salud",569
"196","Campeche","General","2009","salud",1094
"197","Coahuila","General","2009","salud",1624
"198","Colima","General","2009","salud",919
"199","Chiapas","General","2009","salud",4714
"200","Chihuahua","General","2009","salud",4360
"201","Distrito Federal","General","2009","salud",11835
"202","Durango","General","2009","salud",1016
"203","Guanajuato","General","2009","salud",7714
"204","Guerrero","General","2009","salud",5548
"205","Hidalgo","General","2009","salud",3572
"206","Jalisco","General","2009","salud",6808
"207","Mexico","General","2009","salud",22277
"208","Michoacan","General","2009","salud",4044
"209","Morelos","General","2009","salud",2824
"210","Nayarit","General","2009","salud",1115
"211","Nuevo Leon","General","2009","salud",2527
"212","Oaxaca","General","2009","salud",5311
"213","Puebla","General","2009","salud",3381
"214","Queretaro","General","2009","salud",2068
"215","Quintana Roo","General","2009","salud",1115
"216","San Luis Potosi","General","2009","salud",3534
"217","Sinaloa","General","2009","salud",6747
"218","Sonora","General","2009","salud",1850
"219","Tabasco","General","2009","salud",3196
"220","Tamaulipas","General","2009","salud",3985
"221","Tlaxcala","General","2009","salud",1373
"222","Veracruz","General","2009","salud",6918
"223","Yucatan","General","2009","salud",2231
"224","Zacatecas","General","2009","salud",1808
"225","Aguscalientes","General","2010","salud",1754
"226","Baja California","General","2010","salud",4273
"227","Baja California Sur","General","2010","salud",578
"228","Campeche","General","2010","salud",1212
"229","Coahuila","General","2010","salud",1034
"230","Colima","General","2010","salud",833
"231","Chiapas","General","2010","salud",4701
"232","Chihuahua","General","2010","salud",4289
"233","Distrito Federal","General","2010","salud",11350
"234","Durango","General","2010","salud",1363
"235","Guanajuato","General","2010","salud",8031
"236","Guerrero","General","2010","salud",5493
"237","Hidalgo","General","2010","salud",3326
"238","Jalisco","General","2010","salud",7401
"239","Mexico","General","2010","salud",23694
"240","Michoacan","General","2010","salud",3510
"241","Morelos","General","2010","salud",2451
"242","Nayarit","General","2010","salud",948
"243","Nuevo Leon","General","2010","salud",2840
"244","Oaxaca","General","2010","salud",6250
"245","Puebla","General","2010","salud",3484
"246","Queretaro","General","2010","salud",2741
"247","Quintana Roo","General","2010","salud",1009
"248","San Luis Potosi","General","2010","salud",3850
"249","Sinaloa","General","2010","salud",6181
"250","Sonora","General","2010","salud",2186
"251","Tabasco","General","2010","salud",2843
"252","Tamaulipas","General","2010","salud",3759
"253","Tlaxcala","General","2010","salud",1221
"254","Veracruz","General","2010","salud",7189
"255","Yucatan","General","2010","salud",1710
"256","Zacatecas","General","2010","salud",1490
"257","Aguscalientes","General","2011","salud",1849
"258","Baja California","General","2011","salud",5365
"259","Baja California Sur","General","2011","salud",750
"260","Campeche","General","2011","salud",1243
"261","Coahuila","General","2011","salud",1009
"262","Colima","General","2011","salud",935
"263","Chiapas","General","2011","salud",4920
"264","Chihuahua","General","2011","salud",4392
"265","Distrito Federal","General","2011","salud",12288
"266","Durango","General","2011","salud",1238
"267","Guanajuato","General","2011","salud",8155
"268","Guerrero","General","2011","salud",6663
"269","Hidalgo","General","2011","salud",4083
"270","Jalisco","General","2011","salud",6790
"271","Mexico","General","2011","salud",24858
"272","Michoacan","General","2011","salud",4251
"273","Morelos","General","2011","salud",2551
"274","Nayarit","General","2011","salud",1026
"275","Nuevo Leon","General","2011","salud",3251
"276","Oaxaca","General","2011","salud",5043
"277","Puebla","General","2011","salud",4686
"278","Queretaro","General","2011","salud",2293
"279","Quintana Roo","General","2011","salud",1575
"280","San Luis Potosi","General","2011","salud",4382
"281","Sinaloa","General","2011","salud",7500
"282","Sonora","General","2011","salud",2422
"283","Tabasco","General","2011","salud",2932
"284","Tamaulipas","General","2011","salud",4023
"285","Tlaxcala","General","2011","salud",1148
"286","Veracruz","General","2011","salud",7741
"287","Yucatan","General","2011","salud",1409
"288","Zacatecas","General","2011","salud",1861
"289","Aguscalientes","General","2012","salud",2092
"290","Baja California","General","2012","salud",5856
"291","Baja California Sur","General","2012","salud",1350
"292","Campeche","General","2012","salud",1034
"293","Coahuila","General","2012","salud",1602
"294","Colima","General","2012","salud",755
"295","Chiapas","General","2012","salud",4705
"296","Chihuahua","General","2012","salud",5556
"297","Distrito Federal","General","2012","salud",11507
"298","Durango","General","2012","salud",1042
"299","Guanajuato","General","2012","salud",7355
"300","Guerrero","General","2012","salud",5592
"301","Hidalgo","General","2012","salud",4778
"302","Jalisco","General","2012","salud",6327
"303","Mexico","General","2012","salud",28024
"304","Michoacan","General","2012","salud",3372
"305","Morelos","General","2012","salud",2361
"306","Nayarit","General","2012","salud",1094
"307","Nuevo Leon","General","2012","salud",3235
"308","Oaxaca","General","2012","salud",4765
"309","Puebla","General","2012","salud",5231
"310","Queretaro","General","2012","salud",2717
"311","Quintana Roo","General","2012","salud",1445
"312","San Luis Potosi","General","2012","salud",4196
"313","Sinaloa","General","2012","salud",9902
"314","Sonora","General","2012","salud",2901
"315","Tabasco","General","2012","salud",3248
"316","Tamaulipas","General","2012","salud",4894
"317","Tlaxcala","General","2012","salud",1152
"318","Veracruz","General","2012","salud",7567
"319","Yucatan","General","2012","salud",1792
"320","Zacatecas","General","2012","salud",1758
"321","Aguscalientes","General","2013","salud",1811
"322","Baja California","General","2013","salud",5441
"323","Baja California Sur","General","2013","salud",841
"324","Campeche","General","2013","salud",916
"325","Coahuila","General","2013","salud",1153
"326","Colima","General","2013","salud",713
"327","Chiapas","General","2013","salud",5197
"328","Chihuahua","General","2013","salud",4457
"329","Distrito Federal","General","2013","salud",11822
"330","Durango","General","2013","salud",1046
"331","Guanajuato","General","2013","salud",6570
"332","Guerrero","General","2013","salud",8263
"333","Hidalgo","General","2013","salud",4714
"334","Jalisco","General","2013","salud",6621
"335","Mexico","General","2013","salud",27699
"336","Michoacan","General","2013","salud",3737
"337","Morelos","General","2013","salud",2506
"338","Nayarit","General","2013","salud",920
"339","Nuevo Leon","General","2013","salud",3270
"340","Oaxaca","General","2013","salud",5555
"341","Puebla","General","2013","salud",5108
"342","Queretaro","General","2013","salud",2530
"343","Quintana Roo","General","2013","salud",1656
"344","San Luis Potosi","General","2013","salud",3034
"345","Sinaloa","General","2013","salud",9679
"346","Sonora","General","2013","salud",2370
"347","Tabasco","General","2013","salud",2857
"348","Tamaulipas","General","2013","salud",4141
"349","Tlaxcala","General","2013","salud",1261
"350","Veracruz","General","2013","salud",6393
"351","Yucatan","General","2013","salud",1501
"352","Zacatecas","General","2013","salud",1461
"353","Aguscalientes","Mujeres","2003","salud",1202
"354","Baja California","Mujeres","2003","salud",1444
"355","Baja California Sur","Mujeres","2003","salud",360
"356","Campeche","Mujeres","2003","salud",881
"357","Coahuila","Mujeres","2003","salud",871
"358","Colima","Mujeres","2003","salud",523
"359","Chiapas","Mujeres","2003","salud",2740
"360","Chihuahua","Mujeres","2003","salud",1157
"361","Distrito Federal","Mujeres","2003","salud",10413
"362","Durango","Mujeres","2003","salud",1407
"363","Guanajuato","Mujeres","2003","salud",5699
"364","Guerrero","Mujeres","2003","salud",4495
"365","Hidalgo","Mujeres","2003","salud",2097
"366","Jalisco","Mujeres","2003","salud",4542
"367","Mexico","Mujeres","2003","salud",9137
"368","Michoacan","Mujeres","2003","salud",3064
"369","Morelos","Mujeres","2003","salud",1659
"370","Nayarit","Mujeres","2003","salud",779
"371","Nuevo Leon","Mujeres","2003","salud",2811
"372","Oaxaca","Mujeres","2003","salud",2396
"373","Puebla","Mujeres","2003","salud",2433
"374","Queretaro","Mujeres","2003","salud",1169
"375","Quintana Roo","Mujeres","2003","salud",510
"376","San Luis Potosi","Mujeres","2003","salud",1650
"377","Sinaloa","Mujeres","2003","salud",1835
"378","Sonora","Mujeres","2003","salud",2277
"379","Tabasco","Mujeres","2003","salud",1924
"380","Tamaulipas","Mujeres","2003","salud",2361
"381","Tlaxcala","Mujeres","2003","salud",895
"382","Veracruz","Mujeres","2003","salud",5169
"383","Yucatan","Mujeres","2003","salud",973
"384","Zacatecas","Mujeres","2003","salud",1125
"385","Aguscalientes","Mujeres","2004","salud",1411
"386","Baja California","Mujeres","2004","salud",1710
"387","Baja California Sur","Mujeres","2004","salud",386
"388","Campeche","Mujeres","2004","salud",884
"389","Coahuila","Mujeres","2004","salud",1257
"390","Colima","Mujeres","2004","salud",515
"391","Chiapas","Mujeres","2004","salud",3148
"392","Chihuahua","Mujeres","2004","salud",1149
"393","Distrito Federal","Mujeres","2004","salud",10061
"394","Durango","Mujeres","2004","salud",1406
"395","Guanajuato","Mujeres","2004","salud",4023
"396","Guerrero","Mujeres","2004","salud",4305
"397","Hidalgo","Mujeres","2004","salud",2013
"398","Jalisco","Mujeres","2004","salud",4952
"399","Mexico","Mujeres","2004","salud",9408
"400","Michoacan","Mujeres","2004","salud",3071
"401","Morelos","Mujeres","2004","salud",1845
"402","Nayarit","Mujeres","2004","salud",758
"403","Nuevo Leon","Mujeres","2004","salud",2924
"404","Oaxaca","Mujeres","2004","salud",2344
"405","Puebla","Mujeres","2004","salud",3601
"406","Queretaro","Mujeres","2004","salud",1495
"407","Quintana Roo","Mujeres","2004","salud",506
"408","San Luis Potosi","Mujeres","2004","salud",2236
"409","Sinaloa","Mujeres","2004","salud",2143
"410","Sonora","Mujeres","2004","salud",2528
"411","Tabasco","Mujeres","2004","salud",2387
"412","Tamaulipas","Mujeres","2004","salud",3150
"413","Tlaxcala","Mujeres","2004","salud",859
"414","Veracruz","Mujeres","2004","salud",5408
"415","Yucatan","Mujeres","2004","salud",1388
"416","Zacatecas","Mujeres","2004","salud",979
"417","Aguscalientes","Mujeres","2005","salud",1494
"418","Baja California","Mujeres","2005","salud",2596
"419","Baja California Sur","Mujeres","2005","salud",399
"420","Campeche","Mujeres","2005","salud",1001
"421","Coahuila","Mujeres","2005","salud",1451
"422","Colima","Mujeres","2005","salud",613
"423","Chiapas","Mujeres","2005","salud",4049
"424","Chihuahua","Mujeres","2005","salud",1323
"425","Distrito Federal","Mujeres","2005","salud",10636
"426","Durango","Mujeres","2005","salud",1811
"427","Guanajuato","Mujeres","2005","salud",5663
"428","Guerrero","Mujeres","2005","salud",4992
"429","Hidalgo","Mujeres","2005","salud",2106
"430","Jalisco","Mujeres","2005","salud",4794
"431","Mexico","Mujeres","2005","salud",10546
"432","Michoacan","Mujeres","2005","salud",3002
"433","Morelos","Mujeres","2005","salud",1847
"434","Nayarit","Mujeres","2005","salud",811
"435","Nuevo Leon","Mujeres","2005","salud",1810
"436","Oaxaca","Mujeres","2005","salud",3637
"437","Puebla","Mujeres","2005","salud",3408
"438","Queretaro","Mujeres","2005","salud",1306
"439","Quintana Roo","Mujeres","2005","salud",474
"440","San Luis Potosi","Mujeres","2005","salud",2879
"441","Sinaloa","Mujeres","2005","salud",3062
"442","Sonora","Mujeres","2005","salud",2747
"443","Tabasco","Mujeres","2005","salud",2590
"444","Tamaulipas","Mujeres","2005","salud",3240
"445","Tlaxcala","Mujeres","2005","salud",1031
"446","Veracruz","Mujeres","2005","salud",5811
"447","Yucatan","Mujeres","2005","salud",1624
"448","Zacatecas","Mujeres","2005","salud",1134
"449","Aguscalientes","Mujeres","2006","salud",1217
"450","Baja California","Mujeres","2006","salud",2562
"451","Baja California Sur","Mujeres","2006","salud",609
"452","Campeche","Mujeres","2006","salud",777
"453","Coahuila","Mujeres","2006","salud",1071
"454","Colima","Mujeres","2006","salud",501
"455","Chiapas","Mujeres","2006","salud",2997
"456","Chihuahua","Mujeres","2006","salud",1882
"457","Distrito Federal","Mujeres","2006","salud",10252
"458","Durango","Mujeres","2006","salud",978
"459","Guanajuato","Mujeres","2006","salud",6455
"460","Guerrero","Mujeres","2006","salud",4629
"461","Hidalgo","Mujeres","2006","salud",2186
"462","Jalisco","Mujeres","2006","salud",4890
"463","Mexico","Mujeres","2006","salud",10540
"464","Michoacan","Mujeres","2006","salud",2708
"465","Morelos","Mujeres","2006","salud",1764
"466","Nayarit","Mujeres","2006","salud",931
"467","Nuevo Leon","Mujeres","2006","salud",1889
"468","Oaxaca","Mujeres","2006","salud",3684
"469","Puebla","Mujeres","2006","salud",3074
"470","Queretaro","Mujeres","2006","salud",1170
"471","Quintana Roo","Mujeres","2006","salud",502
"472","San Luis Potosi","Mujeres","2006","salud",2467
"473","Sinaloa","Mujeres","2006","salud",3891
"474","Sonora","Mujeres","2006","salud",1505
"475","Tabasco","Mujeres","2006","salud",2529
"476","Tamaulipas","Mujeres","2006","salud",3591
"477","Tlaxcala","Mujeres","2006","salud",911
"478","Veracruz","Mujeres","2006","salud",6132
"479","Yucatan","Mujeres","2006","salud",1583
"480","Zacatecas","Mujeres","2006","salud",1084
"481","Aguscalientes","Mujeres","2007","salud",1070
"482","Baja California","Mujeres","2007","salud",2495
"483","Baja California Sur","Mujeres","2007","salud",629
"484","Campeche","Mujeres","2007","salud",811
"485","Coahuila","Mujeres","2007","salud",896
"486","Colima","Mujeres","2007","salud",548
"487","Chiapas","Mujeres","2007","salud",3480
"488","Chihuahua","Mujeres","2007","salud",2107
"489","Distrito Federal","Mujeres","2007","salud",9499
"490","Durango","Mujeres","2007","salud",799
"491","Guanajuato","Mujeres","2007","salud",4582
"492","Guerrero","Mujeres","2007","salud",4553
"493","Hidalgo","Mujeres","2007","salud",2063
"494","Jalisco","Mujeres","2007","salud",5635
"495","Mexico","Mujeres","2007","salud",11971
"496","Michoacan","Mujeres","2007","salud",2504
"497","Morelos","Mujeres","2007","salud",1739
"498","Nayarit","Mujeres","2007","salud",892
"499","Nuevo Leon","Mujeres","2007","salud",2097
"500","Oaxaca","Mujeres","2007","salud",3330
"501","Puebla","Mujeres","2007","salud",2672
"502","Queretaro","Mujeres","2007","salud",1117
"503","Quintana Roo","Mujeres","2007","salud",538
"504","San Luis Potosi","Mujeres","2007","salud",2712
"505","Sinaloa","Mujeres","2007","salud",4215
"506","Sonora","Mujeres","2007","salud",1188
"507","Tabasco","Mujeres","2007","salud",2627
"508","Tamaulipas","Mujeres","2007","salud",3877
"509","Tlaxcala","Mujeres","2007","salud",971
"510","Veracruz","Mujeres","2007","salud",6494
"511","Yucatan","Mujeres","2007","salud",1612
"512","Zacatecas","Mujeres","2007","salud",1156
"513","Aguscalientes","Mujeres","2008","salud",1004
"514","Baja California","Mujeres","2008","salud",2649
"515","Baja California Sur","Mujeres","2008","salud",426
"516","Campeche","Mujeres","2008","salud",729
"517","Coahuila","Mujeres","2008","salud",942
"518","Colima","Mujeres","2008","salud",504
"519","Chiapas","Mujeres","2008","salud",3287
"520","Chihuahua","Mujeres","2008","salud",2301
"521","Distrito Federal","Mujeres","2008","salud",7747
"522","Durango","Mujeres","2008","salud",732
"523","Guanajuato","Mujeres","2008","salud",5155
"524","Guerrero","Mujeres","2008","salud",3808
"525","Hidalgo","Mujeres","2008","salud",2584
"526","Jalisco","Mujeres","2008","salud",5161
"527","Mexico","Mujeres","2008","salud",12470
"528","Michoacan","Mujeres","2008","salud",2381
"529","Morelos","Mujeres","2008","salud",1814
"530","Nayarit","Mujeres","2008","salud",756
"531","Nuevo Leon","Mujeres","2008","salud",1934
"532","Oaxaca","Mujeres","2008","salud",3811
"533","Puebla","Mujeres","2008","salud",2598
"534","Queretaro","Mujeres","2008","salud",1146
"535","Quintana Roo","Mujeres","2008","salud",719
"536","San Luis Potosi","Mujeres","2008","salud",2598
"537","Sinaloa","Mujeres","2008","salud",4548
"538","Sonora","Mujeres","2008","salud",1487
"539","Tabasco","Mujeres","2008","salud",2363
"540","Tamaulipas","Mujeres","2008","salud",2785
"541","Tlaxcala","Mujeres","2008","salud",1015
"542","Veracruz","Mujeres","2008","salud",6003
"543","Yucatan","Mujeres","2008","salud",1589
"544","Zacatecas","Mujeres","2008","salud",1072
"545","Aguscalientes","Mujeres","2009","salud",980
"546","Baja California","Mujeres","2009","salud",2364
"547","Baja California Sur","Mujeres","2009","salud",321
"548","Campeche","Mujeres","2009","salud",738
"549","Coahuila","Mujeres","2009","salud",1124
"550","Colima","Mujeres","2009","salud",533
"551","Chiapas","Mujeres","2009","salud",3206
"552","Chihuahua","Mujeres","2009","salud",2619
"553","Distrito Federal","Mujeres","2009","salud",7095
"554","Durango","Mujeres","2009","salud",618
"555","Guanajuato","Mujeres","2009","salud",4810
"556","Guerrero","Mujeres","2009","salud",3559
"557","Hidalgo","Mujeres","2009","salud",2313
"558","Jalisco","Mujeres","2009","salud",4203
"559","Mexico","Mujeres","2009","salud",13715
"560","Michoacan","Mujeres","2009","salud",2551
"561","Morelos","Mujeres","2009","salud",1810
"562","Nayarit","Mujeres","2009","salud",649
"563","Nuevo Leon","Mujeres","2009","salud",1557
"564","Oaxaca","Mujeres","2009","salud",3395
"565","Puebla","Mujeres","2009","salud",2187
"566","Queretaro","Mujeres","2009","salud",1276
"567","Quintana Roo","Mujeres","2009","salud",706
"568","San Luis Potosi","Mujeres","2009","salud",2223
"569","Sinaloa","Mujeres","2009","salud",4171
"570","Sonora","Mujeres","2009","salud",1147
"571","Tabasco","Mujeres","2009","salud",2111
"572","Tamaulipas","Mujeres","2009","salud",2591
"573","Tlaxcala","Mujeres","2009","salud",849
"574","Veracruz","Mujeres","2009","salud",4708
"575","Yucatan","Mujeres","2009","salud",1469
"576","Zacatecas","Mujeres","2009","salud",1167
"577","Aguscalientes","Mujeres","2010","salud",1072
"578","Baja California","Mujeres","2010","salud",2538
"579","Baja California Sur","Mujeres","2010","salud",342
"580","Campeche","Mujeres","2010","salud",788
"581","Coahuila","Mujeres","2010","salud",696
"582","Colima","Mujeres","2010","salud",487
"583","Chiapas","Mujeres","2010","salud",3132
"584","Chihuahua","Mujeres","2010","salud",2715
"585","Distrito Federal","Mujeres","2010","salud",6690
"586","Durango","Mujeres","2010","salud",870
"587","Guanajuato","Mujeres","2010","salud",5049
"588","Guerrero","Mujeres","2010","salud",3595
"589","Hidalgo","Mujeres","2010","salud",2215
"590","Jalisco","Mujeres","2010","salud",4594
"591","Mexico","Mujeres","2010","salud",14739
"592","Michoacan","Mujeres","2010","salud",2210
"593","Morelos","Mujeres","2010","salud",1554
"594","Nayarit","Mujeres","2010","salud",587
"595","Nuevo Leon","Mujeres","2010","salud",1798
"596","Oaxaca","Mujeres","2010","salud",4140
"597","Puebla","Mujeres","2010","salud",2233
"598","Queretaro","Mujeres","2010","salud",1676
"599","Quintana Roo","Mujeres","2010","salud",636
"600","San Luis Potosi","Mujeres","2010","salud",2442
"601","Sinaloa","Mujeres","2010","salud",3870
"602","Sonora","Mujeres","2010","salud",1417
