"","estado","genero","fecha","mes","casos"
"1","Aguscalientes","General","2003","ene",268
"2","Baja California","General","2003","ene",1049
"3","Baja California Sur","General","2003","ene",171
"4","Campeche","General","2003","ene",206
"5","Coahuila","General","2003","ene",1299
"6","Colima","General","2003","ene",174
"7","Chiapas","General","2003","ene",929
"8","Chihuahua","General","2003","ene",1399
"9","Distrito Federal","General","2003","ene",4181
"10","Durango","General","2003","ene",1016
"11","Guanajuato","General","2003","ene",1388
"12","Guerrero","General","2003","ene",1185
"13","Hidalgo","General","2003","ene",458
"14","Jalisco","General","2003","ene",1990
"15","Mexico","General","2003","ene",3427
"16","Michoacan","General","2003","ene",946
"17","Morelos","General","2003","ene",707
"18","Nayarit","General","2003","ene",361
"19","Nuevo Leon","General","2003","ene",1084
"20","Oaxaca","General","2003","ene",725
"21","Puebla","General","2003","ene",1288
"22","Queretaro","General","2003","ene",446
"23","Quintana Roo","General","2003","ene",175
"24","San Luis Potosi","General","2003","ene",671
"25","Sinaloa","General","2003","ene",751
"26","Sonora","General","2003","ene",721
"27","Tabasco","General","2003","ene",578
"28","Tamaulipas","General","2003","ene",1058
"29","Tlaxcala","General","2003","ene",266
"30","Veracruz","General","2003","ene",1271
"31","Yucatan","General","2003","ene",594
"32","Zacatecas","General","2003","ene",389
"33","Aguscalientes","General","2004","ene",501
"34","Baja California","General","2004","ene",945
"35","Baja California Sur","General","2004","ene",232
"36","Campeche","General","2004","ene",180
"37","Coahuila","General","2004","ene",1179
"38","Colima","General","2004","ene",105
"39","Chiapas","General","2004","ene",858
"40","Chihuahua","General","2004","ene",1182
"41","Distrito Federal","General","2004","ene",3371
"42","Durango","General","2004","ene",766
"43","Guanajuato","General","2004","ene",1242
"44","Guerrero","General","2004","ene",1226
"45","Hidalgo","General","2004","ene",460
"46","Jalisco","General","2004","ene",3267
"47","Mexico","General","2004","ene",3473
"48","Michoacan","General","2004","ene",719
"49","Morelos","General","2004","ene",803
"50","Nayarit","General","2004","ene",224
"51","Nuevo Leon","General","2004","ene",1024
"52","Oaxaca","General","2004","ene",781
"53","Puebla","General","2004","ene",1352
"54","Queretaro","General","2004","ene",428
"55","Quintana Roo","General","2004","ene",112
"56","San Luis Potosi","General","2004","ene",771
"57","Sinaloa","General","2004","ene",965
"58","Sonora","General","2004","ene",850
"59","Tabasco","General","2004","ene",508
"60","Tamaulipas","General","2004","ene",949
"61","Tlaxcala","General","2004","ene",232
"62","Veracruz","General","2004","ene",1153
"63","Yucatan","General","2004","ene",825
"64","Zacatecas","General","2004","ene",349
"65","Aguscalientes","General","2005","ene",372
"66","Baja California","General","2005","ene",938
"67","Baja California Sur","General","2005","ene",171
"68","Campeche","General","2005","ene",272
"69","Coahuila","General","2005","ene",1358
"70","Colima","General","2005","ene",174
"71","Chiapas","General","2005","ene",1105
"72","Chihuahua","General","2005","ene",939
"73","Distrito Federal","General","2005","ene",3207
"74","Durango","General","2005","ene",998
"75","Guanajuato","General","2005","ene",1316
"76","Guerrero","General","2005","ene",1196
"77","Hidalgo","General","2005","ene",422
"78","Jalisco","General","2005","ene",2926
"79","Mexico","General","2005","ene",3639
"80","Michoacan","General","2005","ene",652
"81","Morelos","General","2005","ene",599
"82","Nayarit","General","2005","ene",330
"83","Nuevo Leon","General","2005","ene",1094
"84","Oaxaca","General","2005","ene",834
"85","Puebla","General","2005","ene",1739
"86","Queretaro","General","2005","ene",348
"87","Quintana Roo","General","2005","ene",150
"88","San Luis Potosi","General","2005","ene",691
"89","Sinaloa","General","2005","ene",1035
"90","Sonora","General","2005","ene",806
"91","Tabasco","General","2005","ene",498
"92","Tamaulipas","General","2005","ene",1089
"93","Tlaxcala","General","2005","ene",230
"94","Veracruz","General","2005","ene",1555
"95","Yucatan","General","2005","ene",672
"96","Zacatecas","General","2005","ene",347
"97","Aguscalientes","General","2006","ene",402
"98","Baja California","General","2006","ene",1116
"99","Baja California Sur","General","2006","ene",137
"100","Campeche","General","2006","ene",195
"101","Coahuila","General","2006","ene",1430
"102","Colima","General","2006","ene",203
"103","Chiapas","General","2006","ene",929
"104","Chihuahua","General","2006","ene",1413
"105","Distrito Federal","General","2006","ene",3889
"106","Durango","General","2006","ene",1048
"107","Guanajuato","General","2006","ene",1990
"108","Guerrero","General","2006","ene",1320
"109","Hidalgo","General","2006","ene",540
"110","Jalisco","General","2006","ene",3391
"111","Mexico","General","2006","ene",4539
"112","Michoacan","General","2006","ene",943
"113","Morelos","General","2006","ene",1011
"114","Nayarit","General","2006","ene",370
"115","Nuevo Leon","General","2006","ene",1317
"116","Oaxaca","General","2006","ene",1135
"117","Puebla","General","2006","ene",1866
"118","Queretaro","General","2006","ene",357
"119","Quintana Roo","General","2006","ene",158
"120","San Luis Potosi","General","2006","ene",1044
"121","Sinaloa","General","2006","ene",1386
"122","Sonora","General","2006","ene",807
"123","Tabasco","General","2006","ene",692
"124","Tamaulipas","General","2006","ene",1200
"125","Tlaxcala","General","2006","ene",338
"126","Veracruz","General","2006","ene",1568
"127","Yucatan","General","2006","ene",860
"128","Zacatecas","General","2006","ene",322
"129","Aguscalientes","General","2007","ene",528
"130","Baja California","General","2007","ene",1103
"131","Baja California Sur","General","2007","ene",159
"132","Campeche","General","2007","ene",363
"133","Coahuila","General","2007","ene",1418
"134","Colima","General","2007","ene",196
"135","Chiapas","General","2007","ene",961
"136","Chihuahua","General","2007","ene",1199
"137","Distrito Federal","General","2007","ene",3674
"138","Durango","General","2007","ene",727
"139","Guanajuato","General","2007","ene",1696
"140","Guerrero","General","2007","ene",1074
"141","Hidalgo","General","2007","ene",490
"142","Jalisco","General","2007","ene",2743
"143","Mexico","General","2007","ene",4503
"144","Michoacan","General","2007","ene",1109
"145","Morelos","General","2007","ene",1277
"146","Nayarit","General","2007","ene",308
"147","Nuevo Leon","General","2007","ene",1275
"148","Oaxaca","General","2007","ene",1105
"149","Puebla","General","2007","ene",1757
"150","Queretaro","General","2007","ene",363
"151","Quintana Roo","General","2007","ene",181
"152","San Luis Potosi","General","2007","ene",896
"153","Sinaloa","General","2007","ene",1325
"154","Sonora","General","2007","ene",810
"155","Tabasco","General","2007","ene",550
"156","Tamaulipas","General","2007","ene",1314
"157","Tlaxcala","General","2007","ene",303
"158","Veracruz","General","2007","ene",1783
"159","Yucatan","General","2007","ene",762
"160","Zacatecas","General","2007","ene",335
"161","Aguscalientes","General","2008","ene",278
"162","Baja California","General","2008","ene",843
"163","Baja California Sur","General","2008","ene",132
"164","Campeche","General","2008","ene",168
"165","Coahuila","General","2008","ene",904
"166","Colima","General","2008","ene",154
"167","Chiapas","General","2008","ene",759
"168","Chihuahua","General","2008","ene",1155
"169","Distrito Federal","General","2008","ene",2538
"170","Durango","General","2008","ene",564
"171","Guanajuato","General","2008","ene",1083
"172","Guerrero","General","2008","ene",1128
"173","Hidalgo","General","2008","ene",455
"174","Jalisco","General","2008","ene",2584
"175","Mexico","General","2008","ene",3427
"176","Michoacan","General","2008","ene",965
"177","Morelos","General","2008","ene",782
"178","Nayarit","General","2008","ene",395
"179","Nuevo Leon","General","2008","ene",1025
"180","Oaxaca","General","2008","ene",988
"181","Puebla","General","2008","ene",1292
"182","Queretaro","General","2008","ene",352
"183","Quintana Roo","General","2008","ene",229
"184","San Luis Potosi","General","2008","ene",784
"185","Sinaloa","General","2008","ene",1078
"186","Sonora","General","2008","ene",818
"187","Tabasco","General","2008","ene",464
"188","Tamaulipas","General","2008","ene",875
"189","Tlaxcala","General","2008","ene",274
"190","Veracruz","General","2008","ene",1627
"191","Yucatan","General","2008","ene",736
"192","Zacatecas","General","2008","ene",239
"193","Aguscalientes","General","2009","ene",387
"194","Baja California","General","2009","ene",966
"195","Baja California Sur","General","2009","ene",184
"196","Campeche","General","2009","ene",180
"197","Coahuila","General","2009","ene",1526
"198","Colima","General","2009","ene",154
"199","Chiapas","General","2009","ene",953
"200","Chihuahua","General","2009","ene",1489
"201","Distrito Federal","General","2009","ene",2823
"202","Durango","General","2009","ene",433
"203","Guanajuato","General","2009","ene",1507
"204","Guerrero","General","2009","ene",1117
"205","Hidalgo","General","2009","ene",483
"206","Jalisco","General","2009","ene",2616
"207","Mexico","General","2009","ene",4620
"208","Michoacan","General","2009","ene",1077
"209","Morelos","General","2009","ene",942
"210","Nayarit","General","2009","ene",419
